scale,method,label,n_seeds,success_count,success_rate_pct,final_best_mean,final_best_std,first_feasible_mean,first_feasible_median,first_feasible_min,first_feasible_max,first_feasible_values
18-D,hsbo,HSBO,10,10,100.0000,121.4600,47.6200,3.0000,1.0000,1.0000,21.0000,"1,1,1,1,1,1,21,1,1,1"
18-D,greedy_reward_density,G-RD,10,9,90.0000,37.3900,31.3200,18.1000,15.0000,2.0000,38.0000,"15,26,2,6,35,11,4,26,38"
18-D,pso,PSO,10,9,90.0000,33.0600,30.4100,33.1000,29.0000,5.0000,98.0000,"17,40,98,16,5,29,17,33,43"
18-D,greedy_distance,G-D,10,9,90.0000,25.3100,20.8300,30.6000,18.0000,1.0000,117.0000,"29,26,14,1,61,18,117,6,3"
18-D,random,RS,10,10,100.0000,25.3300,19.4300,53.5000,31.0000,5.0000,145.0000,"17,111,73,16,5,29,17,33,145,89"
18-D,ga,GA,10,7,70.0000,20.3900,26.2400,26.4000,17.0000,5.0000,68.0000,"17,16,5,29,17,33,68"
18-D,bo,BO,10,5,50.0000,11.8900,20.6700,56.8000,66.0000,1.0000,129.0000,"5,129,1,83,66"
40-D,hsbo,HSBO,10,9,90.0000,99.5800,66.4300,5.8000,1.0000,1.0000,24.0000,"21,1,1,1,1,1,1,1,24"
40-D,greedy_reward_density,G-RD,10,0,0.0000,0.0000,0.0000,,,,,
40-D,pso,PSO,10,0,0.0000,0.0000,0.0000,,,,,
40-D,greedy_distance,G-D,10,0,0.0000,0.0000,0.0000,,,,,
40-D,random,RS,10,0,0.0000,0.0000,0.0000,,,,,
40-D,ga,GA,10,0,0.0000,0.0000,0.0000,,,,,
40-D,bo,BO,10,0,0.0000,0.0000,0.0000,,,,,
80-D,hsbo,HSBO,5,3,60.0000,26.8400,29.4800,167.7000,161.0000,141.0000,201.0000,"141,201,161"
80-D,greedy_reward_density,G-RD,5,0,0.0000,0.0000,0.0000,,,,,
80-D,pso,PSO,5,0,0.0000,0.0000,0.0000,,,,,
80-D,greedy_distance,G-D,5,0,0.0000,0.0000,0.0000,,,,,
80-D,random,RS,5,0,0.0000,0.0000,0.0000,,,,,
80-D,ga,GA,5,0,0.0000,0.0000,0.0000,,,,,
80-D,bo,BO,5,0,0.0000,0.0000,0.0000,,,,,
