eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,4,0,0,1,0,1,318.0195881074191,0.0,0.003428600000916049,full_space_bo,8,large,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
2,0.0,0,0.0,False,False,3,0,0,0,0,3,402.91502942602233,0.0,0.005692100006854162,full_space_bo,8,large,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
3,0.0,0,0.0,False,False,2,0,0,1,0,2,310.6027915716947,0.0,0.00866729998961091,full_space_bo,8,large,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
4,0.0,0,0.0,False,False,4,0,0,0,0,0,404.50620303384784,0.0,0.01159810001263395,full_space_bo,8,large,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
5,0.0,0,0.0,False,False,1,0,0,0,0,3,364.2485811568966,0.0,0.014450599992414936,full_space_bo,8,large,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
6,0.0,0,0.0,False,False,0,0,0,0,0,3,359.5303598847957,0.0,0.01652740000281483,full_space_bo,8,large,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
7,0.0,0,0.0,False,False,4,0,0,0,0,0,449.37811438512256,0.0,0.018842099991161376,full_space_bo,8,large,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
8,0.0,0,0.0,False,False,3,0,0,1,0,1,344.0112827058926,0.0,0.02107310001156293,full_space_bo,8,large,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
9,0.0,0,0.0,False,False,4,0,0,0,0,1,397.25696667976575,0.0,0.02307309999014251,full_space_bo,8,large,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
10,0.0,0,0.0,False,False,4,0,0,0,0,3,316.4439628219013,0.0,0.025197400012984872,full_space_bo,8,large,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
11,0.0,0,0.0,False,False,3,0,0,0,0,3,312.08913949773654,0.0,0.028055400005541742,full_space_bo,8,large,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
