eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,198.62490578297198,0.0,0.0013621000034618191,full_space_bo,8,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
2,0.0,0,0.0,False,False,5,0,0,0,0,1,286.0211401884259,0.0,0.0025991000002250075,full_space_bo,8,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
3,0.0,0,0.0,False,False,1,0,0,0,0,1,221.09154280981974,0.0,0.0038266000046860427,full_space_bo,8,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
4,0.0,0,0.0,False,False,0,0,0,0,0,1,198.94016229428928,0.0,0.005044999998062849,full_space_bo,8,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
5,0.0,0,0.0,False,False,4,0,0,0,0,0,200.47594636521296,0.0,0.006489500003226567,full_space_bo,8,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
6,0.0,0,0.0,False,False,3,0,0,0,0,2,217.6995024991854,0.0,0.007735200000752229,full_space_bo,8,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
7,0.0,0,0.0,False,False,1,0,0,0,0,0,240.76332433734126,0.0,0.008940600004279986,full_space_bo,8,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
8,0.0,0,0.0,False,False,1,0,0,1,0,0,175.58450466333653,0.0,0.010134000003745314,full_space_bo,8,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
9,0.0,0,0.0,False,False,1,0,0,0,0,1,240.6492857457852,0.0,0.011319000004732516,full_space_bo,8,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
10,0.0,0,0.0,False,False,3,0,0,0,0,1,236.4471356497682,0.0,0.012507300001743715,full_space_bo,8,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
11,0.0,0,0.0,False,False,1,0,0,0,0,1,228.29682385311665,0.0,0.01376140000502346,full_space_bo,8,medium,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
