"eval_idx","utility","served_count","served_ratio","success_flag","first_feasible_flag","window_feasible_attempts","rate_feasible_attempts","transmission_feasible_attempts","outage_count","duplicate_count","conflict_count","energy_cost","best_so_far","runtime_sec","method","seed","scale","iteration","current_reward","best_reward","feasible","served_tasks","best_served_tasks","channel_model","window_width","rate_threshold_mbps","experiment","budget"
"1","0.0","0","0.0","False","False","2","0","0","1","0","0","203.32853052491356","0.0","0.0010900000052060932","full_space_bo","2","medium","1","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"2","0.0","0","0.0","False","False","1","0","0","0","0","1","257.25878841272635","0.0","0.0021351000032154843","full_space_bo","2","medium","2","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"3","0.0","0","0.0","False","False","1","0","0","1","0","0","141.13096556137754","0.0","0.003757200000109151","full_space_bo","2","medium","3","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"4","0.0","0","0.0","False","False","2","0","0","0","0","0","241.19732740365038","0.0","0.0049343999999109656","full_space_bo","2","medium","4","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"5","0.0","0","0.0","False","False","2","0","0","0","0","0","272.7975886470211","0.0","0.006067599999369122","full_space_bo","2","medium","5","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"6","0.0","0","0.0","False","False","0","0","0","0","0","0","215.80142347466136","0.0","0.0071376999985659495","full_space_bo","2","medium","6","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"7","0.0","0","0.0","False","False","1","0","0","0","0","0","201.36633658632752","0.0","0.008159600001818035","full_space_bo","2","medium","7","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"8","0.0","0","0.0","False","False","0","0","0","0","0","0","160.28243213349518","0.0","0.00956850000511622","full_space_bo","2","medium","8","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"9","0.0","0","0.0","False","False","0","0","0","0","0","1","240.1770586375504","0.0","0.010583499999484047","full_space_bo","2","medium","9","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"10","0.0","0","0.0","False","False","1","0","0","0","0","0","314.6280665220911","0.0","0.011583500003325753","full_space_bo","2","medium","10","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"11","0.0","0","0.0","False","False","1","0","0","0","0","0","229.72228085816732","0.0","0.012647800002014264","full_space_bo","2","medium","11","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"12","0.0","0","0.0","False","False","2","0","0","0","0","0","141.50168110248197","0.0","0.01375009999901522","full_space_bo","2","medium","12","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"13","0.0","0","0.0","False","False","1","0","0","0","0","0","268.3435331657595","0.0","0.015360199999122415","full_space_bo","2","medium","13","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"14","0.0","0","0.0","False","False","1","0","0","0","0","0","285.59690382209965","0.0","0.016614000000117812","full_space_bo","2","medium","14","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"15","0.0","0","0.0","False","False","0","0","0","0","0","0","245.0913588129496","0.0","0.017837700004747603","full_space_bo","2","medium","15","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"16","0.0","0","0.0","False","False","4","0","0","1","0","1","279.8754554769186","0.0","0.019027900001674425","full_space_bo","2","medium","16","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"17","0.0","0","0.0","False","False","1","0","0","0","0","0","190.63552265117988","0.0","0.020203699998091906","full_space_bo","2","medium","17","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"18","0.0","0","0.0","False","False","0","0","0","0","0","1","190.73659012071482","0.0","0.021669100002327468","full_space_bo","2","medium","18","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"19","0.0","0","0.0","False","False","1","0","0","0","0","1","235.6843942942687","0.0","0.022762600005080458","full_space_bo","2","medium","19","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"20","0.0","0","0.0","False","False","4","0","0","0","0","1","201.40462901444906","0.0","0.02384100000199396","full_space_bo","2","medium","20","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"21","0.0","0","0.0","False","False","2","0","0","0","0","0","203.73288602606456","0.0","0.025221800002327655","full_space_bo","2","medium","21","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"22","0.0","0","0.0","False","False","1","0","0","0","0","0","242.06143747092446","0.0","0.02634119999856921","full_space_bo","2","medium","22","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"23","0.0","0","0.0","False","False","2","0","0","0","0","1","291.5493232842259","0.0","0.027818100003059953","full_space_bo","2","medium","23","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"24","0.0","0","0.0","False","False","1","0","0","0","0","0","275.73950881866494","0.0","0.028941000004124362","full_space_bo","2","medium","24","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"25","0.0","0","0.0","False","False","2","0","0","0","0","0","230.5305044807902","0.0","0.03011050000350224","full_space_bo","2","medium","25","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"26","0.0","0","0.0","False","False","3","0","0","0","0","1","298.69495561808867","0.0","0.03119449999940116","full_space_bo","2","medium","26","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"27","0.0","0","0.0","False","False","0","0","0","0","0","1","282.3735582772998","0.0","0.03227270000206772","full_space_bo","2","medium","27","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"28","0.0","0","0.0","False","False","0","0","0","0","0","0","143.13104602140731","0.0","0.033793900001910515","full_space_bo","2","medium","28","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"29","0.0","0","0.0","False","False","3","0","0","0","0","1","221.20987441313207","0.0","0.03519190000224626","full_space_bo","2","medium","29","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"30","0.0","0","0.0","False","False","1","0","0","0","0","0","295.577517778911","0.0","0.036319999999250285","full_space_bo","2","medium","30","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"31","0.0","0","0.0","False","False","4","0","0","1","0","0","203.97511431412363","0.0","0.03747809999913443","full_space_bo","2","medium","31","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"32","0.0","0","0.0","False","False","2","0","0","0","0","1","217.13809203380777","0.0","0.03866980000020703","full_space_bo","2","medium","32","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"33","0.0","0","0.0","False","False","2","0","0","0","0","0","244.76086697478414","0.0","0.04040710000117542","full_space_bo","2","medium","33","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"34","0.0","0","0.0","False","False","1","0","0","0","0","0","199.28277935241724","0.0","0.04164100000343751","full_space_bo","2","medium","34","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"35","0.0","0","0.0","False","False","1","0","0","0","0","1","148.57522205607097","0.0","0.04279490000044461","full_space_bo","2","medium","35","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"36","0.0","0","0.0","False","False","1","0","0","0","0","1","221.69050581724298","0.0","0.04388730000209762","full_space_bo","2","medium","36","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"37","0.0","0","0.0","False","False","1","0","0","0","0","0","184.72266629645196","0.0","0.04530479999812087","full_space_bo","2","medium","37","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"38","0.0","0","0.0","False","False","1","0","0","0","0","1","237.69240696245558","0.0","0.04665670000395039","full_space_bo","2","medium","38","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"39","0.0","0","0.0","False","False","0","0","0","0","0","0","184.69834272497127","0.0","0.04775779999908991","full_space_bo","2","medium","39","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"40","0.0","0","0.0","False","False","0","0","0","0","0","0","183.1321720094378","0.0","0.04922839999926509","full_space_bo","2","medium","40","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"41","0.0","0","0.0","False","False","3","0","0","1","0","0","215.60590216568662","0.0","0.050311800005147234","full_space_bo","2","medium","41","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"42","0.0","0","0.0","False","False","6","0","0","1","0","0","184.1251977093047","0.0","0.05194380000466481","full_space_bo","2","medium","42","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"43","0.0","0","0.0","False","False","2","0","0","0","0","0","158.8021080329142","0.0","0.053157499998633284","full_space_bo","2","medium","43","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"44","0.0","0","0.0","False","False","2","0","0","0","0","0","278.4573564779413","0.0","0.05439660000411095","full_space_bo","2","medium","44","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
