eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.000803899994934909,full_space_bo,0,medium,1,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0012894999963464215,full_space_bo,0,medium,2,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.0017029000009642914,full_space_bo,0,medium,3,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0021142999903531745,full_space_bo,0,medium,4,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.002522700000554323,full_space_bo,0,medium,5,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0029454000032274053,full_space_bo,0,medium,6,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0033700999920256436,full_space_bo,0,medium,7,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.0038034000026527792,full_space_bo,0,medium,8,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.004246099997544661,full_space_bo,0,medium,9,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.0046999999904073775,full_space_bo,0,medium,10,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
11,8.335344174717873,1,0.05,True,True,3,1,1,0,0,1,138.4604604845721,8.335344174717873,0.005191399992327206,full_space_bo,0,medium,11,8.335344174717873,8.335344174717873,True,1,1,distance,30.0,8.0,rate_low,300
12,0.0,0,0.0,False,False,1,0,0,1,0,0,251.61358356084529,8.335344174717873,0.0056902999931480736,full_space_bo,0,medium,12,0.0,8.335344174717873,False,0,1,distance,30.0,8.0,rate_low,300
13,9.344912251707688,1,0.05,True,False,5,1,1,0,0,0,237.50365278559067,9.344912251707688,0.006223699994734488,full_space_bo,0,medium,13,9.344912251707688,9.344912251707688,True,1,1,distance,30.0,8.0,rate_low,300
14,0.0,0,0.0,False,False,1,0,0,0,0,1,207.25310211972038,9.344912251707688,0.006754899994120933,full_space_bo,0,medium,14,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
15,0.0,0,0.0,False,False,1,0,0,0,0,1,210.70490546285146,9.344912251707688,0.0072982999990927055,full_space_bo,0,medium,15,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
16,0.0,0,0.0,False,False,0,0,0,0,0,1,164.5244262720842,9.344912251707688,0.007852700000512414,full_space_bo,0,medium,16,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
17,0.0,0,0.0,False,False,3,0,0,0,0,0,249.36305873166162,9.344912251707688,0.008435099996859208,full_space_bo,0,medium,17,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
18,0.0,0,0.0,False,False,1,0,0,0,0,2,245.03773387627876,9.344912251707688,0.008993099996587262,full_space_bo,0,medium,18,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
19,0.0,0,0.0,False,False,2,0,0,0,0,0,191.44776588177146,9.344912251707688,0.009521200001472607,full_space_bo,0,medium,19,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
20,0.0,0,0.0,False,False,5,0,0,0,0,1,223.0999249916693,9.344912251707688,0.010037799991550855,full_space_bo,0,medium,20,0.0,9.344912251707688,False,0,1,distance,30.0,8.0,rate_low,300
