eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.0006083000043872744,full_space_bo,0,medium,1,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0010352999961469322,full_space_bo,0,medium,2,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.0014648000069428235,full_space_bo,0,medium,3,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0018969999946421012,full_space_bo,0,medium,4,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.0023357000027317554,full_space_bo,0,medium,5,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0027799999952549115,full_space_bo,0,medium,6,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0032386999955633655,full_space_bo,0,medium,7,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.003687100004754029,full_space_bo,0,medium,8,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.004151999994064681,full_space_bo,0,medium,9,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.005233999996562488,full_space_bo,0,medium,10,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
11,0.0,0,0.0,False,False,3,0,0,1,0,1,138.4604604845721,0.0,0.00578940000559669,full_space_bo,0,medium,11,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
12,0.0,0,0.0,False,False,1,0,0,1,0,0,251.61358356084529,0.0,0.006263200004468672,full_space_bo,0,medium,12,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
13,0.0,0,0.0,False,False,5,0,0,1,0,0,237.50365278559067,0.0,0.006714400005876087,full_space_bo,0,medium,13,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
14,0.0,0,0.0,False,False,1,0,0,0,0,1,207.25310211972038,0.0,0.007159300002967939,full_space_bo,0,medium,14,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
15,0.0,0,0.0,False,False,1,0,0,0,0,1,210.70490546285146,0.0,0.007605699996929616,full_space_bo,0,medium,15,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
16,0.0,0,0.0,False,False,0,0,0,0,0,1,164.5244262720842,0.0,0.008053400000790134,full_space_bo,0,medium,16,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
17,0.0,0,0.0,False,False,3,0,0,0,0,0,249.36305873166162,0.0,0.008502900003804825,full_space_bo,0,medium,17,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
18,0.0,0,0.0,False,False,1,0,0,0,0,2,245.03773387627876,0.0,0.008953800002927892,full_space_bo,0,medium,18,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
19,0.0,0,0.0,False,False,2,0,0,0,0,0,191.44776588177146,0.0,0.009381700001540594,full_space_bo,0,medium,19,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
20,0.0,0,0.0,False,False,5,0,0,0,0,1,223.0999249916693,0.0,0.009810200004721992,full_space_bo,0,medium,20,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
21,0.0,0,0.0,False,False,2,0,0,1,0,2,240.67620690108777,0.0,0.010291200000210665,full_space_bo,0,medium,21,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
22,0.0,0,0.0,False,False,0,0,0,0,0,0,208.2970651259713,0.0,0.010728099994594231,full_space_bo,0,medium,22,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
23,0.0,0,0.0,False,False,3,0,0,0,0,1,246.37501718059355,0.0,0.011149300000397488,full_space_bo,0,medium,23,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
24,0.0,0,0.0,False,False,0,0,0,0,0,0,201.42385873763362,0.0,0.011564999993424863,full_space_bo,0,medium,24,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
25,0.0,0,0.0,False,False,0,0,0,0,0,1,227.30344152166973,0.0,0.011967800004640594,full_space_bo,0,medium,25,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
26,0.0,0,0.0,False,False,3,0,0,1,0,0,162.10803791334922,0.0,0.012357400002656505,full_space_bo,0,medium,26,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
27,0.0,0,0.0,False,False,0,0,0,0,0,0,170.26196074283183,0.0,0.01274550000380259,full_space_bo,0,medium,27,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
28,0.0,0,0.0,False,False,0,0,0,0,0,1,208.77722150689627,0.0,0.013119700000970624,full_space_bo,0,medium,28,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
29,0.0,0,0.0,False,False,0,0,0,0,0,1,221.1787865063581,0.0,0.013487500007613562,full_space_bo,0,medium,29,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
30,0.0,0,0.0,False,False,2,0,0,0,0,0,217.68468889205207,0.0,0.013845699999365024,full_space_bo,0,medium,30,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
31,0.0,0,0.0,False,False,2,0,0,0,0,0,217.47142252708255,0.0,0.014197800002875738,full_space_bo,0,medium,31,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
32,0.0,0,0.0,False,False,1,0,0,0,0,3,181.36363395548688,0.0,0.014545099998940714,full_space_bo,0,medium,32,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
33,0.0,0,0.0,False,False,0,0,0,0,0,0,192.81215273397612,0.0,0.014883900003042072,full_space_bo,0,medium,33,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
34,0.0,0,0.0,False,False,1,0,0,0,0,0,106.88678790884684,0.0,0.015212199999950826,full_space_bo,0,medium,34,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
35,0.0,0,0.0,False,False,2,0,0,0,0,0,233.2720741122853,0.0,0.015540000007604249,full_space_bo,0,medium,35,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
36,0.0,0,0.0,False,False,0,0,0,0,0,1,258.35499844020524,0.0,0.015860200001043268,full_space_bo,0,medium,36,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
37,6.844824398611847,1,0.05,True,True,3,1,1,0,0,0,199.19511440069877,6.844824398611847,0.01618580000649672,full_space_bo,0,medium,37,6.844824398611847,6.844824398611847,True,1,1,distance,30.0,12.0,rate_medium,300
38,0.0,0,0.0,False,False,2,0,0,1,0,1,183.5454563136775,6.844824398611847,0.09831869999470655,full_space_bo,0,medium,38,0.0,6.844824398611847,False,0,1,distance,30.0,12.0,rate_medium,300
