eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,0,0,0,0,0,0,259.5872020365416,0.0,0.00036279999767430127,full_space_bo,9,medium,1,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
2,0.0,0,0.0,False,False,2,0,0,0,0,1,255.4384176167938,0.0,0.0006201999931363389,full_space_bo,9,medium,2,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
3,0.0,0,0.0,False,False,2,0,0,0,0,0,235.74442638084255,0.0,0.0008501999982399866,full_space_bo,9,medium,3,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
4,0.0,0,0.0,False,False,1,0,0,0,0,0,252.68849829915152,0.0,0.0010716999968281016,full_space_bo,9,medium,4,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
5,0.0,0,0.0,False,False,1,0,0,1,0,0,235.69954584621684,0.0,0.001287199993385002,full_space_bo,9,medium,5,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
6,0.0,0,0.0,False,False,0,0,0,0,0,0,312.3382695706321,0.0,0.0015063999890116975,full_space_bo,9,medium,6,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
7,0.0,0,0.0,False,False,0,0,0,0,0,0,327.26524659891084,0.0,0.0017246999923372641,full_space_bo,9,medium,7,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
8,0.0,0,0.0,False,False,0,0,0,0,0,1,211.8031852899355,0.0,0.0019380999874556437,full_space_bo,9,medium,8,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
9,0.0,0,0.0,False,False,1,0,0,0,0,1,228.82315863378963,0.0,0.0021505999902728945,full_space_bo,9,medium,9,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
10,0.0,0,0.0,False,False,1,0,0,0,0,0,280.7245547854807,0.0,0.0023658999998588115,full_space_bo,9,medium,10,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
11,0.0,0,0.0,False,False,0,0,0,0,0,1,174.51470596551582,0.0,0.002582099987193942,full_space_bo,9,medium,11,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
12,0.0,0,0.0,False,False,1,0,0,0,0,3,243.48573218154763,0.0,0.0027902000001631677,full_space_bo,9,medium,12,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
13,0.0,0,0.0,False,False,1,0,0,0,0,2,249.76147794270022,0.0,0.0029971999902045354,full_space_bo,9,medium,13,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
14,0.0,0,0.0,False,False,1,0,0,0,0,0,172.665662679848,0.0,0.0032051999878603965,full_space_bo,9,medium,14,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
15,0.0,0,0.0,False,False,1,0,0,0,0,0,261.2896036343019,0.0,0.003419699991354719,full_space_bo,9,medium,15,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
16,0.0,0,0.0,False,False,0,0,0,0,0,0,264.08481570864745,0.0,0.0036320999934105203,full_space_bo,9,medium,16,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
17,0.0,0,0.0,False,False,0,0,0,0,0,2,150.17446155860205,0.0,0.0038400999910663813,full_space_bo,9,medium,17,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
18,0.0,0,0.0,False,False,0,0,0,0,0,0,174.36958036215975,0.0,0.004047299997182563,full_space_bo,9,medium,18,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
19,0.0,0,0.0,False,False,1,0,0,0,0,0,206.7953439951791,0.0,0.004253499995684251,full_space_bo,9,medium,19,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
20,0.0,0,0.0,False,False,0,0,0,0,0,0,176.36200053948775,0.0,0.004467199993086979,full_space_bo,9,medium,20,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
21,0.0,0,0.0,False,False,0,0,0,0,0,0,194.0191105329496,0.0,0.004713599992101081,full_space_bo,9,medium,21,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
