eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,0,0,0,259.5872020365416,0.0,0.0015708999999333173,full_space_bo,9,medium,1,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
2,0.0,0,0.0,False,False,6,0,0,0,0,1,255.4384176167938,0.0,0.0031706000008853152,full_space_bo,9,medium,2,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
3,0.0,0,0.0,False,False,4,0,0,0,0,0,235.74442638084255,0.0,0.004312100005336106,full_space_bo,9,medium,3,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
4,0.0,0,0.0,False,False,2,0,0,0,0,0,252.68849829915152,0.0,0.005496199999470264,full_space_bo,9,medium,4,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
5,0.0,0,0.0,False,False,4,0,0,1,0,0,235.69954584621684,0.0,0.00673609999648761,full_space_bo,9,medium,5,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
6,0.0,0,0.0,False,False,1,0,0,0,0,0,312.3382695706321,0.0,0.007968699996126816,full_space_bo,9,medium,6,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
7,0.0,0,0.0,False,False,0,0,0,0,0,0,327.26524659891084,0.0,0.009557400000630878,full_space_bo,9,medium,7,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
8,0.0,0,0.0,False,False,0,0,0,0,0,1,211.8031852899355,0.0,0.010968000002321787,full_space_bo,9,medium,8,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
9,0.0,0,0.0,False,False,1,0,0,0,0,1,228.82315863378963,0.0,0.012066499999491498,full_space_bo,9,medium,9,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
10,0.0,0,0.0,False,False,1,0,0,0,0,0,280.7245547854807,0.0,0.013163099996745586,full_space_bo,9,medium,10,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
11,0.0,0,0.0,False,False,3,0,0,0,0,1,174.51470596551582,0.0,0.01423820000491105,full_space_bo,9,medium,11,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
12,0.0,0,0.0,False,False,3,0,0,0,0,3,243.48573218154763,0.0,0.01561990000482183,full_space_bo,9,medium,12,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
13,0.0,0,0.0,False,False,4,0,0,0,0,2,249.76147794270022,0.0,0.016749999995226972,full_space_bo,9,medium,13,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
