eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.00041280000004917383,rs,0,medium,1,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0006570999976247549,rs,0,medium,2,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.00088339999638265,rs,0,medium,3,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0010955999969155528,rs,0,medium,4,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.0013094000023556873,rs,0,medium,5,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0015292999960365705,rs,0,medium,6,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0017428999999538064,rs,0,medium,7,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.0019492999999783933,rs,0,medium,8,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.00215609999577282,rs,0,medium,9,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.00236130000121193,rs,0,medium,10,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,2000
11,8.335344174717873,1,0.05,True,True,3,1,1,0,0,1,138.4604604845721,8.335344174717873,0.0025764000019989908,rs,0,medium,11,8.335344174717873,8.335344174717873,True,1,1,distance,30.0,1.0,pilot,2000
12,8.77494567978864,1,0.05,True,False,1,1,1,0,0,0,251.61358356084529,8.77494567978864,0.0027890999990631826,rs,0,medium,12,8.77494567978864,8.77494567978864,True,1,1,distance,30.0,1.0,pilot,2000
13,9.344912251707688,1,0.05,True,False,5,1,1,0,0,0,237.50365278559067,9.344912251707688,0.003002600002218969,rs,0,medium,13,9.344912251707688,9.344912251707688,True,1,1,distance,30.0,1.0,pilot,2000
14,0.0,0,0.0,False,False,1,0,0,0,0,1,207.25310211972038,9.344912251707688,0.003209700000297744,rs,0,medium,14,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
15,0.0,0,0.0,False,False,1,0,0,0,0,1,210.70490546285146,9.344912251707688,0.0034159999995608814,rs,0,medium,15,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
16,0.0,0,0.0,False,False,0,0,0,0,0,1,164.5244262720842,9.344912251707688,0.0036216000007698312,rs,0,medium,16,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
17,0.0,0,0.0,False,False,3,0,0,0,0,0,249.36305873166162,9.344912251707688,0.003835700001218356,rs,0,medium,17,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
18,0.0,0,0.0,False,False,1,0,0,0,0,2,245.03773387627876,9.344912251707688,0.004051800002343953,rs,0,medium,18,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
19,0.0,0,0.0,False,False,2,0,0,0,0,0,191.44776588177146,9.344912251707688,0.004265800002031028,rs,0,medium,19,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
20,0.0,0,0.0,False,False,5,0,0,0,0,1,223.0999249916693,9.344912251707688,0.004472200002055615,rs,0,medium,20,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
21,2.430013473607957,1,0.05,True,False,2,1,1,0,0,2,240.67620690108777,9.344912251707688,0.004681300000811461,rs,0,medium,21,2.430013473607957,9.344912251707688,True,1,1,distance,30.0,1.0,pilot,2000
22,0.0,0,0.0,False,False,0,0,0,0,0,0,208.2970651259713,9.344912251707688,0.0048859000016818754,rs,0,medium,22,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
23,0.0,0,0.0,False,False,3,0,0,0,0,1,246.37501718059355,9.344912251707688,0.005091400002129376,rs,0,medium,23,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
24,0.0,0,0.0,False,False,0,0,0,0,0,0,201.42385873763362,9.344912251707688,0.005296800001815427,rs,0,medium,24,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
25,0.0,0,0.0,False,False,0,0,0,0,0,1,227.30344152166973,9.344912251707688,0.005501499996171333,rs,0,medium,25,0.0,9.344912251707688,False,0,1,distance,30.0,1.0,pilot,2000
26,9.6700011362636,1,0.05,True,False,3,1,1,0,0,0,162.10803791334922,9.6700011362636,0.005716200001188554,rs,0,medium,26,9.6700011362636,9.6700011362636,True,1,1,distance,30.0,1.0,pilot,2000
27,0.0,0,0.0,False,False,0,0,0,0,0,0,170.26196074283183,9.6700011362636,0.005923500000790227,rs,0,medium,27,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
28,0.0,0,0.0,False,False,0,0,0,0,0,1,208.77722150689627,9.6700011362636,0.006127000000560656,rs,0,medium,28,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
29,0.0,0,0.0,False,False,0,0,0,0,0,1,221.1787865063581,9.6700011362636,0.00633160000143107,rs,0,medium,29,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
30,0.0,0,0.0,False,False,2,0,0,0,0,0,217.68468889205207,9.6700011362636,0.006535300002724398,rs,0,medium,30,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
31,0.0,0,0.0,False,False,2,0,0,0,0,0,217.47142252708255,9.6700011362636,0.006819599999289494,rs,0,medium,31,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
32,0.0,0,0.0,False,False,1,0,0,0,0,3,181.36363395548688,9.6700011362636,0.007023699996352661,rs,0,medium,32,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
33,0.0,0,0.0,False,False,0,0,0,0,0,0,192.81215273397612,9.6700011362636,0.0072282999972230755,rs,0,medium,33,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
34,0.0,0,0.0,False,False,1,0,0,0,0,0,106.88678790884684,9.6700011362636,0.007441599998855963,rs,0,medium,34,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
35,0.0,0,0.0,False,False,2,0,0,0,0,0,233.2720741122853,9.6700011362636,0.007823100000678096,rs,0,medium,35,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
36,0.0,0,0.0,False,False,0,0,0,0,0,1,258.35499844020524,9.6700011362636,0.008240399998612702,rs,0,medium,36,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
37,6.844824398611847,1,0.05,True,False,3,1,1,0,0,0,199.19511440069877,9.6700011362636,0.008660100000270177,rs,0,medium,37,6.844824398611847,9.6700011362636,True,1,1,distance,30.0,1.0,pilot,2000
38,0.0,0,0.0,False,False,3,0,0,0,0,0,218.0585233766595,9.6700011362636,0.008905399998184294,rs,0,medium,38,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
39,0.0,0,0.0,False,False,0,0,0,0,0,0,214.8335539209707,9.6700011362636,0.009241300002031494,rs,0,medium,39,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
40,0.0,0,0.0,False,False,2,0,0,0,0,0,215.8599229722883,9.6700011362636,0.009485199996561278,rs,0,medium,40,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
41,0.0,0,0.0,False,False,1,0,0,0,0,0,271.3383632912417,9.6700011362636,0.009706099997856654,rs,0,medium,41,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
42,0.0,0,0.0,False,False,2,0,0,0,0,0,213.90721141958272,9.6700011362636,0.009919500000250991,rs,0,medium,42,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
43,0.0,0,0.0,False,False,1,0,0,0,0,0,236.75512151963906,9.6700011362636,0.010126799999852665,rs,0,medium,43,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
44,0.0,0,0.0,False,False,1,0,0,0,0,1,206.39479435532107,9.6700011362636,0.010332899997592904,rs,0,medium,44,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
45,0.0,0,0.0,False,False,1,0,0,0,0,0,225.9751333233676,9.6700011362636,0.010537399997701868,rs,0,medium,45,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
46,0.0,0,0.0,False,False,1,0,0,0,0,1,109.9386952577731,9.6700011362636,0.010745400002633687,rs,0,medium,46,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
47,0.0,0,0.0,False,False,3,0,0,0,0,0,232.90964653802115,9.6700011362636,0.010950800002319738,rs,0,medium,47,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
48,0.0,0,0.0,False,False,0,0,0,0,0,0,195.2335351779016,9.6700011362636,0.011156900000059977,rs,0,medium,48,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
49,0.0,0,0.0,False,False,1,0,0,0,0,1,189.43752438712247,9.6700011362636,0.011362199998984579,rs,0,medium,49,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
50,0.0,0,0.0,False,False,2,0,0,0,0,0,134.9122064354188,9.6700011362636,0.011568699999770615,rs,0,medium,50,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
51,0.0,0,0.0,False,False,2,0,0,0,0,2,267.9558984990688,9.6700011362636,0.011773899997933768,rs,0,medium,51,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
52,0.0,0,0.0,False,False,1,0,0,0,0,1,149.09294603457084,9.6700011362636,0.011977000001934357,rs,0,medium,52,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
53,0.0,0,0.0,False,False,2,0,0,0,0,2,194.40260511516874,9.6700011362636,0.012183500002720393,rs,0,medium,53,0.0,9.6700011362636,False,0,1,distance,30.0,1.0,pilot,2000
