eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,0,0,3,422.6627696897742,0.0,0.0005548000044655055,rs,0,large,1,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
2,0.0,0,0.0,False,False,4,0,0,0,0,4,387.0658583872597,0.0,0.0009927999999490567,rs,0,large,2,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
3,0.0,0,0.0,False,False,6,0,0,1,0,2,380.207555947126,0.0,0.0014229000007617287,rs,0,large,3,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
4,0.0,0,0.0,False,False,4,0,0,0,0,3,382.7497557493467,0.0,0.0018478999991202727,rs,0,large,4,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
5,0.0,0,0.0,False,False,1,0,0,1,0,1,379.0105351057121,0.0,0.0022683999995933846,rs,0,large,5,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
6,0.0,0,0.0,False,False,2,0,0,0,0,1,358.79558149925003,0.0,0.002742900003795512,rs,0,large,6,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
7,0.0,0,0.0,False,False,3,0,0,1,0,2,372.31592330489644,0.0,0.0031703999993624166,rs,0,large,7,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
8,0.0,0,0.0,False,False,3,0,0,0,0,2,304.54050793925956,0.0,0.0035963999980594963,rs,0,large,8,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
9,0.0,0,0.0,False,False,5,0,0,0,0,3,424.45213541731124,0.0,0.004386799999338109,rs,0,large,9,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
10,0.0,0,0.0,False,False,1,0,0,0,0,6,386.39211475068277,0.0,0.004842800000915304,rs,0,large,10,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
11,0.0,0,0.0,False,False,4,0,0,0,0,2,378.34916410628534,0.0,0.005290200002491474,rs,0,large,11,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
12,0.0,0,0.0,False,False,2,0,0,0,0,0,380.28041292467054,0.0,0.005738699997891672,rs,0,large,12,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
13,0.0,0,0.0,False,False,2,0,0,0,0,2,386.18983949518196,0.0,0.006219200004125014,rs,0,large,13,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
14,0.0,0,0.0,False,False,5,0,0,1,0,1,286.5380729103176,0.0,0.0067299000002094544,rs,0,large,14,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
15,0.0,0,0.0,False,False,2,0,0,1,0,0,400.6192340703718,0.0,0.007171900004323106,rs,0,large,15,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
16,0.0,0,0.0,False,False,4,0,0,0,0,3,336.587278794535,0.0,0.007604899998113979,rs,0,large,16,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
17,0.0,0,0.0,False,False,9,0,0,0,0,0,291.0460074770073,0.0,0.00803520000044955,rs,0,large,17,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
18,0.0,0,0.0,False,False,3,0,0,0,0,3,348.0362664853388,0.0,0.008505300000251736,rs,0,large,18,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
19,0.0,0,0.0,False,False,5,0,0,0,0,1,363.93498385877945,0.0,0.009165800001937896,rs,0,large,19,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
20,0.0,0,0.0,False,False,8,0,0,0,0,0,338.25231307272406,0.0,0.009709500001918059,rs,0,large,20,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
21,0.0,0,0.0,False,False,4,0,0,0,0,0,424.8164792446231,0.0,0.010445799998706207,rs,0,large,21,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
22,0.0,0,0.0,False,False,1,0,0,0,0,2,373.9506609175012,0.0,0.010912700003245845,rs,0,large,22,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
23,13.318646411604217,2,0.05,True,True,3,2,2,0,0,2,341.17343392852393,13.318646411604217,0.011357200004567858,rs,0,large,23,13.318646411604217,13.318646411604217,True,2,2,distance,30.0,14.0,sparsity,2000
24,0.0,0,0.0,False,False,2,0,0,0,0,1,359.9707498252508,13.318646411604217,0.011809700001322199,rs,0,large,24,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
25,0.0,0,0.0,False,False,1,0,0,0,0,0,308.47166739295494,13.318646411604217,0.01225440000416711,rs,0,large,25,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
26,0.0,0,0.0,False,False,7,0,0,0,0,4,371.9155324316479,13.318646411604217,0.012703699998382945,rs,0,large,26,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
27,0.0,0,0.0,False,False,4,0,0,0,0,3,284.1875474169699,13.318646411604217,0.013142900003003888,rs,0,large,27,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
28,0.0,0,0.0,False,False,4,0,0,1,0,2,346.05681551622956,13.318646411604217,0.013573500000347849,rs,0,large,28,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
29,0.0,0,0.0,False,False,2,0,0,0,0,2,308.74592920590476,13.318646411604217,0.013995699999213684,rs,0,large,29,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
30,0.0,0,0.0,False,False,5,0,0,0,0,0,281.78961264701826,13.318646411604217,0.014424599998164922,rs,0,large,30,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
31,0.0,0,0.0,False,False,6,0,0,3,0,3,286.16693190423024,13.318646411604217,0.015006000001449138,rs,0,large,31,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
32,0.0,0,0.0,False,False,3,0,0,0,0,0,314.04762545775213,13.318646411604217,0.015465700002096128,rs,0,large,32,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
33,0.0,0,0.0,False,False,5,0,0,2,0,4,382.21389952256476,13.318646411604217,0.015892000003077555,rs,0,large,33,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
34,0.0,0,0.0,False,False,5,0,0,0,0,2,389.74670075257364,13.318646411604217,0.01634139999805484,rs,0,large,34,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
35,0.0,0,0.0,False,False,5,0,0,0,0,4,338.1044730064631,13.318646411604217,0.016777400000137277,rs,0,large,35,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
36,0.0,0,0.0,False,False,2,0,0,0,0,0,412.0900620263639,13.318646411604217,0.017223000002559274,rs,0,large,36,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
37,0.0,0,0.0,False,False,5,0,0,1,0,1,409.45389908428245,13.318646411604217,0.01763790000404697,rs,0,large,37,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
38,0.0,0,0.0,False,False,2,0,0,0,0,2,345.8557144184236,13.318646411604217,0.01804400000401074,rs,0,large,38,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
39,0.0,0,0.0,False,False,2,0,0,1,0,1,326.28880623444854,13.318646411604217,0.018459500002791174,rs,0,large,39,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
40,0.0,0,0.0,False,False,2,0,0,1,0,1,382.1959351993544,13.318646411604217,0.01886680000461638,rs,0,large,40,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
41,0.0,0,0.0,False,False,1,0,0,1,0,0,309.4618781537323,13.318646411604217,0.019276600003649946,rs,0,large,41,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
42,0.0,0,0.0,False,False,5,0,0,0,0,3,369.9034497768014,13.318646411604217,0.019867499999236315,rs,0,large,42,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
43,0.0,0,0.0,False,False,4,0,0,0,0,3,357.8698551093811,13.318646411604217,0.02033330000267597,rs,0,large,43,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
44,0.0,0,0.0,False,False,3,0,0,0,0,2,352.6524128187661,13.318646411604217,0.020990000004530884,rs,0,large,44,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
45,0.0,0,0.0,False,False,5,0,0,0,0,2,349.8177256132514,13.318646411604217,0.02149970000027679,rs,0,large,45,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
46,0.0,0,0.0,False,False,1,0,0,0,0,1,245.26524655918854,13.318646411604217,0.021982600002957042,rs,0,large,46,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
47,0.0,0,0.0,False,False,1,0,0,0,0,1,304.98123074339287,13.318646411604217,0.022415799998270813,rs,0,large,47,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
48,0.0,0,0.0,False,False,5,0,0,0,0,1,319.074844637458,13.318646411604217,0.022842600003059488,rs,0,large,48,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
49,0.0,0,0.0,False,False,4,0,0,0,0,3,323.960799625479,13.318646411604217,0.023268600001756568,rs,0,large,49,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
50,0.0,0,0.0,False,False,5,0,0,0,0,1,385.48965504115824,13.318646411604217,0.023694900002737995,rs,0,large,50,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
51,0.0,0,0.0,False,False,3,0,0,1,0,2,289.5516209801457,13.318646411604217,0.02412200000253506,rs,0,large,51,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
52,0.0,0,0.0,False,False,4,0,0,0,0,0,344.7225893605253,13.318646411604217,0.024548400004277937,rs,0,large,52,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
53,0.0,0,0.0,False,False,3,0,0,0,0,2,307.2284021415746,13.318646411604217,0.024972300001536496,rs,0,large,53,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
54,0.0,0,0.0,False,False,1,0,0,0,0,3,383.8096136576678,13.318646411604217,0.025392800002009608,rs,0,large,54,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
55,0.0,0,0.0,False,False,3,0,0,0,0,3,338.2048524748916,13.318646411604217,0.025814100001298357,rs,0,large,55,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
56,0.0,0,0.0,False,False,4,0,0,0,0,0,406.1171717475226,13.318646411604217,0.026235099998302758,rs,0,large,56,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
57,0.0,0,0.0,False,False,3,0,0,0,0,3,337.1101385903637,13.318646411604217,0.026651200001651887,rs,0,large,57,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
58,0.0,0,0.0,False,False,1,0,0,0,0,1,461.69030614026565,13.318646411604217,0.027239300005021505,rs,0,large,58,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
59,0.0,0,0.0,False,False,4,0,0,1,0,1,330.2913832667729,13.318646411604217,0.027686800000083167,rs,0,large,59,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
60,0.0,0,0.0,False,False,3,0,0,1,0,1,427.4013846588924,13.318646411604217,0.028101600000809412,rs,0,large,60,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
61,0.0,0,0.0,False,False,5,0,0,1,0,1,418.9663604231877,13.318646411604217,0.02862920000188751,rs,0,large,61,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
62,0.0,0,0.0,False,False,4,0,0,1,0,3,386.6092608303194,13.318646411604217,0.02908449999813456,rs,0,large,62,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
63,0.0,0,0.0,False,False,6,0,0,0,0,4,357.47129540099445,13.318646411604217,0.029605100004118867,rs,0,large,63,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
64,0.0,0,0.0,False,False,6,0,0,1,0,2,332.63320470433973,13.318646411604217,0.030078299998422153,rs,0,large,64,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
65,0.0,0,0.0,False,False,3,0,0,0,0,2,326.34963123541377,13.318646411604217,0.030518799998390023,rs,0,large,65,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
66,0.0,0,0.0,False,False,1,0,0,0,0,1,323.3511760254928,13.318646411604217,0.030943999998271465,rs,0,large,66,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
67,0.0,0,0.0,False,False,1,0,0,0,0,1,421.5723995828889,13.318646411604217,0.03136449999874458,rs,0,large,67,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
68,0.0,0,0.0,False,False,4,0,0,2,0,1,258.32405937173127,13.318646411604217,0.031778399999893736,rs,0,large,68,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
69,0.0,0,0.0,False,False,2,0,0,0,0,1,343.70335805627116,13.318646411604217,0.03218439999909606,rs,0,large,69,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
70,0.0,0,0.0,False,False,3,0,0,1,0,1,431.4176855073394,13.318646411604217,0.03259210000396706,rs,0,large,70,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
71,0.0,0,0.0,False,False,2,0,0,0,0,3,392.1524796137717,13.318646411604217,0.03301540000393288,rs,0,large,71,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
72,0.0,0,0.0,False,False,6,0,0,0,0,1,367.28572584356266,13.318646411604217,0.03345170000102371,rs,0,large,72,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
73,0.0,0,0.0,False,False,4,0,0,1,0,2,335.6721900339775,13.318646411604217,0.03386550000141142,rs,0,large,73,0.0,13.318646411604217,False,0,2,distance,30.0,14.0,sparsity,2000
