eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.0007781000022077933,rs,0,medium,1,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0010969000068143941,rs,0,medium,2,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.0013360000011743978,rs,0,medium,3,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.001624900003662333,rs,0,medium,4,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.0018611000050441362,rs,0,medium,5,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0020811000067624263,rs,0,medium,6,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0022939000045880675,rs,0,medium,7,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.0025070000046980567,rs,0,medium,8,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.002721200005908031,rs,0,medium,9,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.002932900002633687,rs,0,medium,10,0.0,0.0,False,0,0,distance,30.0,1.0,pilot,50
11,8.335344174717873,1,0.05,True,True,3,1,1,0,0,1,138.4604604845721,8.335344174717873,0.0031559000053675845,rs,0,medium,11,8.335344174717873,8.335344174717873,True,1,1,distance,30.0,1.0,pilot,50
12,8.77494567978864,1,0.05,True,False,1,1,1,0,0,0,251.61358356084529,8.77494567978864,0.0033774000039556995,rs,0,medium,12,8.77494567978864,8.77494567978864,True,1,1,distance,30.0,1.0,pilot,50
