eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,4,279.6533052444658,0.0,0.024355100002139807,de_rp,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,4,0,0,0,0,0,187.117307914403,0.0,0.041977400003816,de_rp,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,8,0,0,3,0,4,226.66634196788328,0.0,0.05832340000051772,de_rp,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,1,0,0,0,0,3,229.91458075521547,0.0,0.07753490000322927,de_rp,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,3,0,0,0,0,2,242.78731208908033,0.0,0.0936098000020138,de_rp,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,2,0,0,0,0,1,256.9375247700236,0.0,0.10265939999953844,de_rp,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,3,0,0,0,0,0,226.0671543519981,0.0,0.11244580000493443,de_rp,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,3,0,0,0,0,4,263.754595788293,0.0,0.12296120000246447,de_rp,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,2,0,0,0,0,2,236.85736425347932,0.0,0.14019520000147168,de_rp,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,8.365057915641701,1,0.05,True,True,2,1,1,0,0,1,250.59251592451324,8.365057915641701,0.15814839999802643,de_rp,0,medium,10,8.365057915641701,8.365057915641701,True,1,1,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,7,0,0,2,0,4,138.4604604845721,8.365057915641701,0.16937529999995604,de_rp,0,medium,11,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
