eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,0,0,0,233.6726900255,0.0,1.1044011999983923,full_space_bo,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,0,0,0,0,0,0,214.88800078356223,0.0,1.1058755999983987,full_space_bo,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,0,0,0,0,0,1,252.73416209013524,0.0,1.1083677999995416,full_space_bo,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,0,0,0,0,0,0,211.02799162716877,0.0,1.1109760000035749,full_space_bo,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,0,0,0,0,0,1,192.325067240299,0.0,1.1124968000003719,full_space_bo,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,1,0,0,0,0,0,281.3350467206083,0.0,1.114942100000917,full_space_bo,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,4,0,0,0,0,2,239.0300927983206,0.0,1.117286900000181,full_space_bo,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,1,0,0,0,0,0,283.1559751010675,0.0,1.1188962000014726,full_space_bo,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,2,0,0,0,0,1,198.99513734792518,0.0,1.1214139000003343,full_space_bo,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,3,0,0,0,0,1,171.4848661013915,0.0,1.1235955000011018,full_space_bo,0,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
