eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,13,0,0,2,0,1,291.0,0.0,0.012160700003732927,max_rate_greedy,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,12,0,0,3,0,0,297.3402520943879,0.0,0.023022700006549712,max_rate_greedy,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,9,0,0,1,0,2,299.5916584875641,0.0,0.03574990000197431,max_rate_greedy,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,8,0,0,0,0,1,293.0061362799934,0.0,0.048494700000446755,max_rate_greedy,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,6,0,0,0,0,1,287.5465140305462,0.0,0.058951000006345566,max_rate_greedy,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,7,0,0,1,0,4,284.3204425661511,0.0,0.07082220000302186,max_rate_greedy,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,6,0,0,1,0,1,291.5789800082724,0.0,0.09027400000195485,max_rate_greedy,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,7,0,0,1,0,2,291.37081336628415,0.0,0.10550050000165356,max_rate_greedy,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,8,0,0,0,0,0,290.1748024869047,0.0,0.11572480000177165,max_rate_greedy,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,8,0,0,0,0,1,279.1480268568279,0.0,0.12603980000130832,max_rate_greedy,0,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,8,0,0,0,0,4,286.9811976665238,0.0,0.1373031000039191,max_rate_greedy,0,medium,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,7,0,0,2,0,2,289.05458525740784,0.0,0.14872990000003483,max_rate_greedy,0,medium,12,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,6,0,0,1,0,2,282.3907741752196,0.0,0.15922649999993155,max_rate_greedy,0,medium,13,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,5,0,0,1,0,1,291.8398509435942,0.0,0.17484940000576898,max_rate_greedy,0,medium,14,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,5,0,0,2,0,0,301.21277191999894,0.0,0.18654320000496227,max_rate_greedy,0,medium,15,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,11,0,0,2,0,2,298.5530910534637,0.0,0.19659620000311406,max_rate_greedy,0,medium,16,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,6,0,0,1,0,2,289.3349473009412,0.0,0.20825230000627926,max_rate_greedy,0,medium,17,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,6,0,0,2,0,2,290.9956345738647,0.0,0.2190591000035056,max_rate_greedy,0,medium,18,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,7,0,0,1,0,0,287.2151666757911,0.0,0.2296554000058677,max_rate_greedy,0,medium,19,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,7,0,0,1,0,0,288.1817974113165,0.0,0.24206220000633039,max_rate_greedy,0,medium,20,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,8,0,0,1,0,2,308.8446237388611,0.0,0.2622768000001088,max_rate_greedy,0,medium,21,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,5,0,0,1,0,3,291.5830274477151,0.0,0.2738640000025043,max_rate_greedy,0,medium,22,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,5,0,0,1,0,2,284.43348565214086,0.0,0.2846220999999787,max_rate_greedy,0,medium,23,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,2,0,0,0,0,0,276.4905303838845,0.0,0.3004648000060115,max_rate_greedy,0,medium,24,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,5,0,0,0,0,2,302.7510910734126,0.0,0.31239869999990333,max_rate_greedy,0,medium,25,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,6,0,0,0,0,2,285.8120112627801,0.0,0.3235417000032612,max_rate_greedy,0,medium,26,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,5,0,0,0,0,2,291.3552588720834,0.0,0.33420110000588465,max_rate_greedy,0,medium,27,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,5,0,0,0,0,3,297.3872714407134,0.0,0.34578890000557294,max_rate_greedy,0,medium,28,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,8,0,0,0,0,1,298.6612889955119,0.0,0.3570002000051318,max_rate_greedy,0,medium,29,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,4,0,0,0,0,2,277.98312516279316,0.0,0.36752330000308575,max_rate_greedy,0,medium,30,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
31,0.0,0,0.0,False,False,5,0,0,1,0,2,273.8342331600423,0.0,0.37754010000207927,max_rate_greedy,0,medium,31,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
32,0.0,0,0.0,False,False,9,0,0,0,0,1,296.0755016134533,0.0,0.39050270000007004,max_rate_greedy,0,medium,32,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
