eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,38.08148689778473,4,0.2,True,True,14,4,4,6,0,1,141.88491319659926,38.08148689778473,0.043486100003065076,edf_rate_greedy,0,medium,1,38.08148689778473,38.08148689778473,True,4,4,distance,30.0,15.0,main,40
2,1.3545238897089629,1,0.05,True,False,8,1,1,1,0,3,148.22516529098718,38.08148689778473,0.08171980000042822,edf_rate_greedy,0,medium,2,1.3545238897089629,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
3,6.215183062721961,1,0.05,True,False,10,1,1,5,0,2,150.47657168416342,38.08148689778473,0.12052959999709856,edf_rate_greedy,0,medium,3,6.215183062721961,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
4,5.397865047852907,1,0.05,True,False,9,1,1,6,0,1,143.89104947659277,38.08148689778473,0.16177559999778168,edf_rate_greedy,0,medium,4,5.397865047852907,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,7,0,0,7,0,3,138.4314272271455,38.08148689778473,0.20681519999925513,edf_rate_greedy,0,medium,5,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
6,1.4847219849913307,1,0.05,True,False,7,1,1,2,0,3,135.2053557627504,38.08148689778473,0.25531369999953313,edf_rate_greedy,0,medium,6,1.4847219849913307,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,7,0,0,5,0,2,142.97145604601573,38.08148689778473,0.29317570000421256,edf_rate_greedy,0,medium,7,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
8,3.41421827699,1,0.05,True,False,9,1,1,6,0,2,142.25572656288347,38.08148689778473,0.3316010999988066,edf_rate_greedy,0,medium,8,3.41421827699,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,10,0,0,7,0,0,141.77320960293125,38.08148689778473,0.3701717000003555,edf_rate_greedy,0,medium,9,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
10,5.5340337064997165,1,0.05,True,False,9,1,1,5,0,1,130.27418361191184,38.08148689778473,0.4087063999977545,edf_rate_greedy,0,medium,10,5.5340337064997165,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,10,0,0,6,0,4,139.2620001596101,38.08148689778473,0.4511863000006997,edf_rate_greedy,0,medium,11,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,7,0,0,6,0,0,139.93949845400715,38.08148689778473,0.49721880000288365,edf_rate_greedy,0,medium,12,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,6,0,0,4,0,1,133.27568737181883,38.08148689778473,0.5339074000003166,edf_rate_greedy,0,medium,13,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,5,0,0,0,0,0,142.72476414019349,38.08148689778473,0.5724134999982198,edf_rate_greedy,0,medium,14,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
15,5.315798691452852,1,0.05,True,False,4,1,1,0,0,1,152.09768511659823,38.08148689778473,0.5852874999982305,edf_rate_greedy,0,medium,15,5.315798691452852,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,12,0,0,7,0,2,149.43800425006302,38.08148689778473,0.6304587999984506,edf_rate_greedy,0,medium,16,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
17,5.434576937643429,1,0.05,True,False,7,1,1,2,0,1,140.2198604975405,38.08148689778473,0.6851448000015807,edf_rate_greedy,0,medium,17,5.434576937643429,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,5,0,0,3,0,1,141.88054777046398,38.08148689778473,0.7346992000020691,edf_rate_greedy,0,medium,18,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,4,0,0,1,0,2,138.1000798723904,38.08148689778473,0.7873209000026691,edf_rate_greedy,0,medium,19,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
20,5.4442788533045015,1,0.05,True,False,7,1,1,5,0,1,139.2496689314333,38.08148689778473,0.8259159000008367,edf_rate_greedy,0,medium,20,5.4442788533045015,38.08148689778473,True,1,4,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,5,0,0,1,0,3,159.7295369354604,38.08148689778473,0.8796252000029199,edf_rate_greedy,0,medium,21,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,7,0,0,5,0,3,142.46794064431435,38.08148689778473,0.9194243000019924,edf_rate_greedy,0,medium,22,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,4,0,0,3,0,1,135.59263086344643,38.08148689778473,0.9696451999989222,edf_rate_greedy,0,medium,23,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,4,0,0,3,0,1,130.01306935598163,38.08148689778473,1.009251100003894,edf_rate_greedy,0,medium,24,0.0,38.08148689778473,False,0,4,distance,30.0,15.0,main,40
