eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,1,0,0,184.67198449812474,0.0,0.0333630999957677,ft_hsbo_no_presearch,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,0.0,0.03407850000075996,ft_hsbo_no_presearch,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,1,0,0,1,0,1,184.67198449812474,0.0,0.03472909999982221,ft_hsbo_no_presearch,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,3,0,0,1,0,2,184.67198449812474,0.0,0.03521329999784939,ft_hsbo_no_presearch,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,1,0,0,0,0,2,184.67198449812474,0.0,0.03563139999459963,ft_hsbo_no_presearch,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,3,0,0,1,0,0,184.67198449812474,0.0,0.03604510000150185,ft_hsbo_no_presearch,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,0.0,0.03644759999588132,ft_hsbo_no_presearch,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,9.444361670415844,1,0.05,True,True,1,1,1,0,0,0,184.67198449812474,9.444361670415844,0.036880999999993946,ft_hsbo_no_presearch,0,medium,8,9.444361670415844,9.444361670415844,True,1,1,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,3,0,0,1,0,1,184.67198449812474,9.444361670415844,0.0373018999962369,ft_hsbo_no_presearch,0,medium,9,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,1,0,0,0,0,1,184.67198449812474,9.444361670415844,0.03773739999451209,ft_hsbo_no_presearch,0,medium,10,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,9.444361670415844,0.08452079999551643,ft_hsbo_no_presearch,0,medium,11,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,2,0,0,1,0,0,184.67198449812474,9.444361670415844,0.08504700000048615,ft_hsbo_no_presearch,0,medium,12,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,0,0,0,0,0,1,184.67198449812474,9.444361670415844,0.08557049999944866,ft_hsbo_no_presearch,0,medium,13,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,1,0,0,0,0,0,184.67198449812474,9.444361670415844,0.0860504999945988,ft_hsbo_no_presearch,0,medium,14,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,9.444361670415844,0.11135769999964396,ft_hsbo_no_presearch,0,medium,15,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,3,0,0,0,0,0,184.67198449812474,9.444361670415844,0.11169890000019222,ft_hsbo_no_presearch,0,medium,16,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,0,0,0,0,0,1,184.67198449812474,9.444361670415844,0.11202829999820096,ft_hsbo_no_presearch,0,medium,17,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,1,0,0,0,0,0,184.67198449812474,9.444361670415844,0.11236110000027111,ft_hsbo_no_presearch,0,medium,18,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,2,0,0,0,0,0,184.67198449812474,9.444361670415844,0.1295830999952159,ft_hsbo_no_presearch,0,medium,19,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,1,0,0,1,0,0,184.67198449812474,9.444361670415844,0.12985679999837885,ft_hsbo_no_presearch,0,medium,20,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,9.444361670415844,0.13016670000070008,ft_hsbo_no_presearch,0,medium,21,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,0,0,0,0,0,0,231.6750614188166,9.444361670415844,0.1304348999983631,ft_hsbo_no_presearch,0,medium,22,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,9.444361670415844,0.13072429999738233,ft_hsbo_no_presearch,0,medium,23,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,1,0,0,1,0,0,231.6750614188166,9.444361670415844,0.13101199999800883,ft_hsbo_no_presearch,0,medium,24,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,0,0,0,0,0,1,231.6750614188166,9.444361670415844,0.13139999999839347,ft_hsbo_no_presearch,0,medium,25,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,2,0,0,0,0,1,231.6750614188166,9.444361670415844,0.13171080000029178,ft_hsbo_no_presearch,0,medium,26,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,2,0,0,1,0,0,231.6750614188166,9.444361670415844,0.13194239999575075,ft_hsbo_no_presearch,0,medium,27,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,2,0,0,0,0,1,231.6750614188166,9.444361670415844,0.13216589999501593,ft_hsbo_no_presearch,0,medium,28,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,9.444361670415844,0.13238709999859566,ft_hsbo_no_presearch,0,medium,29,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,1,0,0,1,0,0,231.6750614188166,9.444361670415844,0.13260779999836814,ft_hsbo_no_presearch,0,medium,30,0.0,9.444361670415844,False,0,1,distance,30.0,15.0,main,40
