iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0012166000014985912,greedy_reward_density,2,medium
2,0.0,0.0,False,0,0,0.002300300002389122,greedy_reward_density,2,medium
3,0.0,0.0,False,1,0,0.0033183000050485134,greedy_reward_density,2,medium
4,0.0,0.0,False,0,0,0.004616400001395959,greedy_reward_density,2,medium
5,0.0,0.0,False,0,0,0.005730199998652097,greedy_reward_density,2,medium
6,0.0,0.0,False,0,0,0.006855200001155026,greedy_reward_density,2,medium
7,0.0,0.0,False,0,0,0.007977599998412188,greedy_reward_density,2,medium
8,0.0,0.0,False,0,0,0.009112600004300475,greedy_reward_density,2,medium
9,0.0,0.0,False,0,0,0.010375600002589636,greedy_reward_density,2,medium
10,0.0,0.0,False,0,0,0.01148290000128327,greedy_reward_density,2,medium
11,0.0,0.0,False,0,0,0.012539800001832191,greedy_reward_density,2,medium
12,0.0,0.0,False,0,0,0.013630400004331023,greedy_reward_density,2,medium
13,0.0,0.0,False,0,0,0.014740200000233017,greedy_reward_density,2,medium
14,0.0,0.0,False,0,0,0.01585740000155056,greedy_reward_density,2,medium
15,0.0,0.0,False,0,0,0.018640700000105426,greedy_reward_density,2,medium
16,0.0,0.0,False,0,0,0.02179469999828143,greedy_reward_density,2,medium
17,0.0,0.0,False,0,0,0.023354600001766812,greedy_reward_density,2,medium
18,0.0,0.0,False,0,0,0.02453300000343006,greedy_reward_density,2,medium
19,0.0,0.0,False,0,0,0.0256779000046663,greedy_reward_density,2,medium
20,0.0,0.0,False,0,0,0.026711400001659058,greedy_reward_density,2,medium
21,0.0,0.0,False,0,0,0.02779960000043502,greedy_reward_density,2,medium
22,0.0,0.0,False,0,0,0.029261800002132077,greedy_reward_density,2,medium
23,0.0,0.0,False,0,0,0.030490800003462937,greedy_reward_density,2,medium
24,0.0,0.0,False,0,0,0.031582600000547245,greedy_reward_density,2,medium
25,0.0,0.0,False,0,0,0.03265829999872949,greedy_reward_density,2,medium
26,0.0,0.0,False,0,0,0.03375890000461368,greedy_reward_density,2,medium
27,0.0,0.0,False,0,0,0.03520030000072438,greedy_reward_density,2,medium
28,0.0,0.0,False,0,0,0.0363809000045876,greedy_reward_density,2,medium
29,0.0,0.0,False,0,0,0.037517100005061366,greedy_reward_density,2,medium
30,0.0,0.0,False,0,0,0.03865180000138935,greedy_reward_density,2,medium
31,0.0,0.0,False,0,0,0.039711900004476774,greedy_reward_density,2,medium
32,0.0,0.0,False,1,0,0.04105890000209911,greedy_reward_density,2,medium
33,0.0,0.0,False,0,0,0.04225080000469461,greedy_reward_density,2,medium
34,0.0,0.0,False,0,0,0.04333469999983208,greedy_reward_density,2,medium
35,0.0,0.0,False,0,0,0.04439450000063516,greedy_reward_density,2,medium
36,0.0,0.0,False,0,0,0.04546200000186218,greedy_reward_density,2,medium
37,0.0,0.0,False,0,0,0.04663309999887133,greedy_reward_density,2,medium
38,0.0,0.0,False,0,0,0.047797500003071036,greedy_reward_density,2,medium
39,0.0,0.0,False,0,0,0.048860399998375215,greedy_reward_density,2,medium
40,0.0,0.0,False,0,0,0.04993649999960326,greedy_reward_density,2,medium
41,0.0,0.0,False,0,0,0.05111179999948945,greedy_reward_density,2,medium
42,0.0,0.0,False,0,0,0.05225020000216318,greedy_reward_density,2,medium
43,0.0,0.0,False,0,0,0.05354320000333246,greedy_reward_density,2,medium
44,0.0,0.0,False,0,0,0.05459540000447305,greedy_reward_density,2,medium
45,0.0,0.0,False,0,0,0.055617400001210626,greedy_reward_density,2,medium
46,0.0,0.0,False,0,0,0.05666449999989709,greedy_reward_density,2,medium
47,0.0,0.0,False,0,0,0.057717900002899114,greedy_reward_density,2,medium
48,0.0,0.0,False,0,0,0.05908840000483906,greedy_reward_density,2,medium
49,0.0,0.0,False,1,0,0.06019860000378685,greedy_reward_density,2,medium
50,0.0,0.0,False,0,0,0.061227900005178526,greedy_reward_density,2,medium
51,0.0,0.0,False,0,0,0.06233520000387216,greedy_reward_density,2,medium
52,0.0,0.0,False,0,0,0.06338400000095135,greedy_reward_density,2,medium
53,0.0,0.0,False,0,0,0.06440840000141179,greedy_reward_density,2,medium
54,0.0,0.0,False,1,0,0.06569699999818113,greedy_reward_density,2,medium
55,0.0,0.0,False,0,0,0.06682420000288403,greedy_reward_density,2,medium
56,0.0,0.0,False,0,0,0.06789890000072774,greedy_reward_density,2,medium
57,0.0,0.0,False,0,0,0.06901189999916824,greedy_reward_density,2,medium
58,0.0,0.0,False,0,0,0.07014780000463361,greedy_reward_density,2,medium
59,0.0,0.0,False,0,0,0.07215150000411086,greedy_reward_density,2,medium
60,0.0,0.0,False,0,0,0.07428970000182744,greedy_reward_density,2,medium
61,0.0,0.0,False,0,0,0.07543699999951059,greedy_reward_density,2,medium
62,0.0,0.0,False,0,0,0.07652450000023236,greedy_reward_density,2,medium
63,0.0,0.0,False,0,0,0.0791289000044344,greedy_reward_density,2,medium
64,0.0,0.0,False,0,0,0.08029260000330396,greedy_reward_density,2,medium
65,0.0,0.0,False,0,0,0.08134019999852171,greedy_reward_density,2,medium
66,0.0,0.0,False,0,0,0.08242420000169659,greedy_reward_density,2,medium
67,0.0,0.0,False,0,0,0.08384830000431975,greedy_reward_density,2,medium
68,0.0,0.0,False,0,0,0.08499899999878835,greedy_reward_density,2,medium
69,0.0,0.0,False,0,0,0.08614110000053188,greedy_reward_density,2,medium
70,0.0,0.0,False,0,0,0.08719009999913396,greedy_reward_density,2,medium
71,0.0,0.0,False,1,0,0.0882705000040005,greedy_reward_density,2,medium
72,0.0,0.0,False,0,0,0.08940219999931287,greedy_reward_density,2,medium
73,0.0,0.0,False,2,0,0.09057169999869075,greedy_reward_density,2,medium
74,0.0,0.0,False,0,0,0.0916337000016938,greedy_reward_density,2,medium
75,0.0,0.0,False,0,0,0.09264120000443654,greedy_reward_density,2,medium
76,0.0,0.0,False,0,0,0.09367600000405218,greedy_reward_density,2,medium
77,0.0,0.0,False,0,0,0.09476620000350522,greedy_reward_density,2,medium
78,0.0,0.0,False,0,0,0.09600240000145277,greedy_reward_density,2,medium
