iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,83.51850446952812,83.51850446952812,True,3,3,0.006344300003547687,hsbo,2,medium
2,0.0,83.51850446952812,False,1,3,0.006517200003145263,hsbo,2,medium
3,0.0,83.51850446952812,False,0,3,0.0066719000024022534,hsbo,2,medium
4,0.0,83.51850446952812,False,0,3,0.006820300004619639,hsbo,2,medium
5,0.0,83.51850446952812,False,0,3,0.006964400003198534,hsbo,2,medium
6,0.0,83.51850446952812,False,1,3,0.007113500003470108,hsbo,2,medium
7,0.0,83.51850446952812,False,0,3,0.0072580000050948,hsbo,2,medium
8,0.0,83.51850446952812,False,0,3,0.007401599999866448,hsbo,2,medium
9,0.0,83.51850446952812,False,1,3,0.007545500004198402,hsbo,2,medium
10,0.0,83.51850446952812,False,1,3,0.007692600003792904,hsbo,2,medium
11,0.0,83.51850446952812,False,1,3,0.07067390000156593,hsbo,2,medium
12,0.0,83.51850446952812,False,0,3,0.07083740000234684,hsbo,2,medium
13,0.0,83.51850446952812,False,0,3,0.070990600004734,hsbo,2,medium
14,0.0,83.51850446952812,False,0,3,0.07114090000686701,hsbo,2,medium
15,0.0,83.51850446952812,False,0,3,0.10936420000507496,hsbo,2,medium
16,0.0,83.51850446952812,False,0,3,0.10951700000441633,hsbo,2,medium
17,0.0,83.51850446952812,False,1,3,0.1096631000036723,hsbo,2,medium
18,0.0,83.51850446952812,False,0,3,0.10981070000707405,hsbo,2,medium
19,0.0,83.51850446952812,False,0,3,0.14683030000014696,hsbo,2,medium
20,0.0,83.51850446952812,False,0,3,0.14698780000617262,hsbo,2,medium
21,0.0,83.51850446952812,False,0,3,0.15141070000390755,hsbo,2,medium
22,0.0,83.51850446952812,False,0,3,0.15156560000468744,hsbo,2,medium
23,0.0,83.51850446952812,False,0,3,0.15171290000580484,hsbo,2,medium
24,0.0,83.51850446952812,False,0,3,0.15185480000218377,hsbo,2,medium
25,0.0,83.51850446952812,False,1,3,0.1520035000066855,hsbo,2,medium
26,0.0,83.51850446952812,False,0,3,0.15214970000670291,hsbo,2,medium
27,0.0,83.51850446952812,False,0,3,0.15229140000155894,hsbo,2,medium
28,0.0,83.51850446952812,False,0,3,0.152434000003268,hsbo,2,medium
29,0.0,83.51850446952812,False,0,3,0.1525748000058229,hsbo,2,medium
30,0.0,83.51850446952812,False,1,3,0.1527189000044018,hsbo,2,medium
31,0.0,83.51850446952812,False,1,3,0.1635221000033198,hsbo,2,medium
32,0.0,83.51850446952812,False,0,3,0.16367060000629863,hsbo,2,medium
33,0.0,83.51850446952812,False,0,3,0.1638156000044546,hsbo,2,medium
34,0.0,83.51850446952812,False,0,3,0.16395660000125645,hsbo,2,medium
35,0.0,83.51850446952812,False,0,3,0.17478800000390038,hsbo,2,medium
36,0.0,83.51850446952812,False,0,3,0.17493550000654068,hsbo,2,medium
37,0.0,83.51850446952812,False,0,3,0.17507940000359667,hsbo,2,medium
38,0.0,83.51850446952812,False,0,3,0.1752212000064901,hsbo,2,medium
39,0.0,83.51850446952812,False,1,3,0.18602210000244668,hsbo,2,medium
40,0.0,83.51850446952812,False,0,3,0.18617010000161827,hsbo,2,medium
41,0.0,83.51850446952812,False,0,3,0.19018870000581956,hsbo,2,medium
42,0.0,83.51850446952812,False,0,3,0.19033090000448283,hsbo,2,medium
43,0.0,83.51850446952812,False,0,3,0.19047060000593774,hsbo,2,medium
44,0.0,83.51850446952812,False,0,3,0.19061230000079377,hsbo,2,medium
45,0.0,83.51850446952812,False,0,3,0.19075230000453303,hsbo,2,medium
46,0.0,83.51850446952812,False,0,3,0.1908971000011661,hsbo,2,medium
47,0.0,83.51850446952812,False,0,3,0.1910451000003377,hsbo,2,medium
48,0.0,83.51850446952812,False,0,3,0.1911846000002697,hsbo,2,medium
49,0.0,83.51850446952812,False,0,3,0.19132460000400897,hsbo,2,medium
50,0.0,83.51850446952812,False,0,3,0.19146490000275662,hsbo,2,medium
51,0.0,83.51850446952812,False,0,3,0.20236320000549313,hsbo,2,medium
52,0.0,83.51850446952812,False,0,3,0.20251120000466472,hsbo,2,medium
53,0.0,83.51850446952812,False,0,3,0.2026549000001978,hsbo,2,medium
54,0.0,83.51850446952812,False,0,3,0.20279470000241417,hsbo,2,medium
55,0.0,83.51850446952812,False,0,3,0.21351860000140732,hsbo,2,medium
56,0.0,83.51850446952812,False,0,3,0.2136608000000706,hsbo,2,medium
57,0.0,83.51850446952812,False,0,3,0.213803700004064,hsbo,2,medium
58,0.0,83.51850446952812,False,0,3,0.21394660000078147,hsbo,2,medium
59,0.0,83.51850446952812,False,0,3,0.22482750000199303,hsbo,2,medium
60,0.0,83.51850446952812,False,0,3,0.22497040000598645,hsbo,2,medium
61,0.0,83.51850446952812,False,0,3,0.22902150000300026,hsbo,2,medium
62,0.0,83.51850446952812,False,0,3,0.22917120000056457,hsbo,2,medium
63,0.0,83.51850446952812,False,0,3,0.22931480000261217,hsbo,2,medium
64,0.0,83.51850446952812,False,0,3,0.22945720000279834,hsbo,2,medium
65,0.0,83.51850446952812,False,0,3,0.22959940000146162,hsbo,2,medium
66,0.0,83.51850446952812,False,0,3,0.2297487000032561,hsbo,2,medium
67,0.0,83.51850446952812,False,0,3,0.2298949000032735,hsbo,2,medium
68,0.0,83.51850446952812,False,1,3,0.2300418000013451,hsbo,2,medium
69,0.0,83.51850446952812,False,0,3,0.23018500000034692,hsbo,2,medium
70,0.0,83.51850446952812,False,0,3,0.2303260000044247,hsbo,2,medium
71,0.0,83.51850446952812,False,0,3,0.2411363000064739,hsbo,2,medium
72,0.0,83.51850446952812,False,0,3,0.24128330000530696,hsbo,2,medium
73,0.0,83.51850446952812,False,0,3,0.24142580000625458,hsbo,2,medium
74,0.0,83.51850446952812,False,0,3,0.24156850000144914,hsbo,2,medium
75,0.0,83.51850446952812,False,0,3,0.25316210000164574,hsbo,2,medium
76,0.0,83.51850446952812,False,0,3,0.2533169000016642,hsbo,2,medium
77,0.0,83.51850446952812,False,0,3,0.2534656000061659,hsbo,2,medium
78,0.0,83.51850446952812,False,0,3,0.2536272000070312,hsbo,2,medium
79,0.0,83.51850446952812,False,0,3,0.26505680000263965,hsbo,2,medium
80,0.0,83.51850446952812,False,0,3,0.2652137000040966,hsbo,2,medium
81,0.0,83.51850446952812,False,1,3,0.26963180000166176,hsbo,2,medium
82,0.0,83.51850446952812,False,1,3,0.26980100000218954,hsbo,2,medium
83,0.0,83.51850446952812,False,0,3,0.26995260000694543,hsbo,2,medium
84,0.0,83.51850446952812,False,0,3,0.27010530000552535,hsbo,2,medium
85,0.0,83.51850446952812,False,0,3,0.2702516000063042,hsbo,2,medium
86,0.0,83.51850446952812,False,0,3,0.27039970000623725,hsbo,2,medium
