iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.15704819999518804,bo,3,medium
2,0.0,0.0,False,0,0,0.16403059999720426,bo,3,medium
3,0.0,0.0,False,0,0,0.168250499998976,bo,3,medium
4,0.0,0.0,False,1,0,0.17515659999480704,bo,3,medium
5,0.0,0.0,False,0,0,0.1814881999962381,bo,3,medium
6,0.0,0.0,False,0,0,0.1883929999967222,bo,3,medium
7,0.0,0.0,False,0,0,0.19466519999696175,bo,3,medium
8,0.0,0.0,False,0,0,0.20003369999903953,bo,3,medium
9,0.0,0.0,False,0,0,0.20505199999752222,bo,3,medium
10,0.0,0.0,False,0,0,0.2117763999995077,bo,3,medium
11,0.0,0.0,False,1,0,0.21901339999749325,bo,3,medium
12,0.0,0.0,False,0,0,0.2257711999991443,bo,3,medium
13,0.0,0.0,False,0,0,0.23319869999977527,bo,3,medium
14,0.0,0.0,False,0,0,0.2408136999947601,bo,3,medium
15,0.0,0.0,False,0,0,0.24816969999665162,bo,3,medium
16,0.0,0.0,False,0,0,0.25495239999872865,bo,3,medium
17,0.0,0.0,False,0,0,0.2631175999995321,bo,3,medium
18,0.0,0.0,False,0,0,0.2714422999997623,bo,3,medium
19,0.0,0.0,False,0,0,0.27899979999347124,bo,3,medium
20,0.0,0.0,False,0,0,0.6251475999961258,bo,3,medium
21,0.0,0.0,False,0,0,0.8928726999947685,bo,3,medium
22,0.0,0.0,False,0,0,1.2127885999943828,bo,3,medium
23,0.0,0.0,False,0,0,1.4921650999967824,bo,3,medium
24,0.0,0.0,False,0,0,1.8094544999985374,bo,3,medium
25,0.0,0.0,False,0,0,2.0738077999994857,bo,3,medium
26,0.0,0.0,False,0,0,2.395163199995295,bo,3,medium
27,0.0,0.0,False,0,0,2.7297965999969165,bo,3,medium
28,0.0,0.0,False,0,0,3.022667699995509,bo,3,medium
29,0.0,0.0,False,0,0,3.2481341999955475,bo,3,medium
30,0.0,0.0,False,0,0,3.5383822999938275,bo,3,medium
31,0.0,0.0,False,0,0,3.875752999992983,bo,3,medium
32,0.0,0.0,False,0,0,4.172946599996067,bo,3,medium
33,0.0,0.0,False,0,0,4.445896899997024,bo,3,medium
34,0.0,0.0,False,0,0,4.693898399993486,bo,3,medium
35,0.0,0.0,False,0,0,5.0556956000000355,bo,3,medium
36,0.0,0.0,False,0,0,5.3867224999994505,bo,3,medium
37,0.0,0.0,False,0,0,5.680698699994537,bo,3,medium
38,0.0,0.0,False,1,0,6.016892099993129,bo,3,medium
39,0.0,0.0,False,0,0,6.296848899997713,bo,3,medium
40,0.0,0.0,False,0,0,6.580324899994594,bo,3,medium
41,0.0,0.0,False,0,0,6.919733399998222,bo,3,medium
42,0.0,0.0,False,0,0,7.169803899996623,bo,3,medium
43,0.0,0.0,False,0,0,7.5756685999949696,bo,3,medium
44,0.0,0.0,False,0,0,8.004415499999595,bo,3,medium
45,0.0,0.0,False,0,0,8.305539599998156,bo,3,medium
46,0.0,0.0,False,0,0,8.591864399997576,bo,3,medium
47,0.0,0.0,False,0,0,8.889559699993697,bo,3,medium
48,0.0,0.0,False,0,0,9.189869599998929,bo,3,medium
49,0.0,0.0,False,0,0,9.526319899996452,bo,3,medium
50,0.0,0.0,False,1,0,9.89272599999822,bo,3,medium
51,0.0,0.0,False,0,0,10.323457899998175,bo,3,medium
52,0.0,0.0,False,0,0,10.678690899992944,bo,3,medium
53,0.0,0.0,False,0,0,11.033204399995157,bo,3,medium
54,0.0,0.0,False,0,0,11.458791299999575,bo,3,medium
55,0.0,0.0,False,0,0,11.807128399996145,bo,3,medium
56,0.0,0.0,False,0,0,12.189602899998135,bo,3,medium
57,0.0,0.0,False,1,0,12.625507599994307,bo,3,medium
58,0.0,0.0,False,0,0,12.994737799999712,bo,3,medium
59,0.0,0.0,False,1,0,13.435955699998885,bo,3,medium
60,0.0,0.0,False,0,0,13.852487499993003,bo,3,medium
61,0.0,0.0,False,0,0,14.27337269999407,bo,3,medium
62,0.0,0.0,False,0,0,14.673665499998606,bo,3,medium
63,0.0,0.0,False,0,0,15.221201099993777,bo,3,medium
64,0.0,0.0,False,0,0,15.658311899998807,bo,3,medium
65,0.0,0.0,False,0,0,16.159864799999923,bo,3,medium
66,0.0,0.0,False,1,0,16.68274539999402,bo,3,medium
67,0.0,0.0,False,0,0,17.198910299994168,bo,3,medium
68,0.0,0.0,False,0,0,17.67455229999905,bo,3,medium
69,0.0,0.0,False,0,0,18.24850609999703,bo,3,medium
70,0.0,0.0,False,0,0,18.819898099995044,bo,3,medium
71,0.0,0.0,False,0,0,19.489357200000086,bo,3,medium
72,0.0,0.0,False,0,0,20.109576099996048,bo,3,medium
73,0.0,0.0,False,0,0,20.77895439999702,bo,3,medium
74,0.0,0.0,False,0,0,21.363827199995285,bo,3,medium
75,0.0,0.0,False,0,0,21.911133099994913,bo,3,medium
76,0.0,0.0,False,0,0,22.590420299995458,bo,3,medium
77,0.0,0.0,False,1,0,23.29474439999467,bo,3,medium
78,0.0,0.0,False,0,0,23.89543489999778,bo,3,medium
79,0.0,0.0,False,0,0,24.567956299993966,bo,3,medium
80,0.0,0.0,False,0,0,25.189881099999184,bo,3,medium
81,0.0,0.0,False,0,0,25.821414999998524,bo,3,medium
82,0.0,0.0,False,0,0,26.54831999999442,bo,3,medium
83,0.0,0.0,False,0,0,27.206703500000003,bo,3,medium
84,0.0,0.0,False,0,0,27.919345799993607,bo,3,medium
85,0.0,0.0,False,0,0,28.602080299999216,bo,3,medium
86,0.0,0.0,False,0,0,29.156046299998707,bo,3,medium
87,0.0,0.0,False,0,0,29.88382719999936,bo,3,medium
88,0.0,0.0,False,0,0,30.588312899999437,bo,3,medium
