iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0011620000004768372,greedy_distance,1,medium
2,0.0,0.0,False,0,0,0.00223089999781223,greedy_distance,1,medium
3,0.0,0.0,False,0,0,0.0032429999992018566,greedy_distance,1,medium
4,0.0,0.0,False,0,0,0.004249300000083167,greedy_distance,1,medium
5,0.0,0.0,False,0,0,0.0053006000016466714,greedy_distance,1,medium
6,0.0,0.0,False,0,0,0.00639239999873098,greedy_distance,1,medium
7,0.0,0.0,False,0,0,0.007343600002059247,greedy_distance,1,medium
8,0.0,0.0,False,0,0,0.008309999997436535,greedy_distance,1,medium
9,0.0,0.0,False,0,0,0.009279099998821039,greedy_distance,1,medium
10,0.0,0.0,False,1,0,0.01060979999601841,greedy_distance,1,medium
11,0.0,0.0,False,0,0,0.011610699999437202,greedy_distance,1,medium
12,0.0,0.0,False,0,0,0.012631199999304954,greedy_distance,1,medium
13,0.0,0.0,False,0,0,0.013619899997138418,greedy_distance,1,medium
14,0.0,0.0,False,0,0,0.014624199997342657,greedy_distance,1,medium
15,0.0,0.0,False,0,0,0.015582799998810515,greedy_distance,1,medium
16,0.0,0.0,False,0,0,0.01664159999927506,greedy_distance,1,medium
17,0.0,0.0,False,0,0,0.018930400001408998,greedy_distance,1,medium
18,0.0,0.0,False,0,0,0.02033099999971455,greedy_distance,1,medium
19,0.0,0.0,False,0,0,0.02138849999755621,greedy_distance,1,medium
20,0.0,0.0,False,0,0,0.02249419999861857,greedy_distance,1,medium
21,0.0,0.0,False,0,0,0.02376959999674,greedy_distance,1,medium
22,0.0,0.0,False,0,0,0.024785900001006667,greedy_distance,1,medium
23,0.0,0.0,False,0,0,0.025786300000618212,greedy_distance,1,medium
24,0.0,0.0,False,0,0,0.02676919999794336,greedy_distance,1,medium
25,0.0,0.0,False,0,0,0.027759799995692447,greedy_distance,1,medium
26,0.0,0.0,False,0,0,0.028877299999294337,greedy_distance,1,medium
27,0.0,0.0,False,0,0,0.029835100001946557,greedy_distance,1,medium
28,0.0,0.0,False,0,0,0.030825599998934194,greedy_distance,1,medium
29,0.0,0.0,False,0,0,0.031783200000063516,greedy_distance,1,medium
30,0.0,0.0,False,0,0,0.03276969999569701,greedy_distance,1,medium
31,0.0,0.0,False,0,0,0.03376649999700021,greedy_distance,1,medium
32,0.0,0.0,False,0,0,0.035262799996417016,greedy_distance,1,medium
33,0.0,0.0,False,0,0,0.036330199996882584,greedy_distance,1,medium
34,0.0,0.0,False,0,0,0.03738779999548569,greedy_distance,1,medium
