iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00026509999588597566,random,2,medium
2,0.0,0.0,False,0,0,0.0004309999931138009,random,2,medium
3,0.0,0.0,False,0,0,0.0005863999977009371,random,2,medium
4,0.0,0.0,False,0,0,0.000738499998988118,random,2,medium
5,0.0,0.0,False,0,0,0.0008894999991753139,random,2,medium
6,0.0,0.0,False,0,0,0.0010393999982625246,random,2,medium
7,0.0,0.0,False,0,0,0.001190299997688271,random,2,medium
8,0.0,0.0,False,0,0,0.0013401999967754818,random,2,medium
9,0.0,0.0,False,0,0,0.001491600000008475,random,2,medium
10,0.0,0.0,False,0,0,0.0016460999977425672,random,2,medium
11,0.0,0.0,False,0,0,0.0017982999997911975,random,2,medium
12,0.0,0.0,False,0,0,0.0019475999943097122,random,2,medium
13,0.0,0.0,False,0,0,0.0020978999964427203,random,2,medium
14,0.0,0.0,False,0,0,0.0022479999970528297,random,2,medium
15,0.0,0.0,False,0,0,0.0023963999992702156,random,2,medium
16,0.0,0.0,False,0,0,0.0025451999972574413,random,2,medium
17,0.0,0.0,False,0,0,0.0026930999956675805,random,2,medium
18,0.0,0.0,False,0,0,0.0028415999986464158,random,2,medium
19,0.0,0.0,False,0,0,0.0029904999973950908,random,2,medium
20,0.0,0.0,False,0,0,0.0031387999988510273,random,2,medium
21,0.0,0.0,False,0,0,0.003285999999206979,random,2,medium
22,0.0,0.0,False,0,0,0.0034350999994785525,random,2,medium
23,0.0,0.0,False,0,0,0.003584099998988677,random,2,medium
24,0.0,0.0,False,0,0,0.00373139999283012,random,2,medium
25,0.0,0.0,False,0,0,0.0038796999942860566,random,2,medium
26,0.0,0.0,False,0,0,0.00402879999455763,random,2,medium
27,0.0,0.0,False,0,0,0.00417629999719793,random,2,medium
28,0.0,0.0,False,0,0,0.004338899998401757,random,2,medium
29,0.0,0.0,False,0,0,0.004492699998081662,random,2,medium
30,0.0,0.0,False,1,0,0.004651799994462635,random,2,medium
31,0.0,0.0,False,0,0,0.00481039999431232,random,2,medium
32,0.0,0.0,False,0,0,0.004971699992893264,random,2,medium
33,0.0,0.0,False,0,0,0.005127699994773138,random,2,medium
34,0.0,0.0,False,0,0,0.005278999997244682,random,2,medium
35,0.0,0.0,False,0,0,0.005429199998616241,random,2,medium
36,0.0,0.0,False,0,0,0.005578099997364916,random,2,medium
37,0.0,0.0,False,0,0,0.00572709999687504,random,2,medium
38,0.0,0.0,False,0,0,0.005880699995032046,random,2,medium
39,0.0,0.0,False,0,0,0.006031199998687953,random,2,medium
40,0.0,0.0,False,0,0,0.006181799995829351,random,2,medium
41,0.0,0.0,False,0,0,0.006332299999485258,random,2,medium
42,0.0,0.0,False,0,0,0.006480499992903788,random,2,medium
43,0.0,0.0,False,0,0,0.006629199997405522,random,2,medium
44,0.0,0.0,False,0,0,0.006777499998861458,random,2,medium
45,0.0,0.0,False,0,0,0.006926599999133032,random,2,medium
46,0.0,0.0,False,0,0,0.007075299996358808,random,2,medium
47,0.0,0.0,False,0,0,0.007225499997730367,random,2,medium
48,0.0,0.0,False,0,0,0.007376399997156113,random,2,medium
49,0.0,0.0,False,0,0,0.007525899993197527,random,2,medium
50,0.0,0.0,False,0,0,0.008200699994631577,random,2,medium
51,0.0,0.0,False,0,0,0.00837889999820618,random,2,medium
52,0.0,0.0,False,0,0,0.008535299995855894,random,2,medium
53,0.0,0.0,False,0,0,0.00868629999604309,random,2,medium
54,0.0,0.0,False,0,0,0.008838199995807372,random,2,medium
55,0.0,0.0,False,0,0,0.008990399997856002,random,2,medium
56,0.0,0.0,False,0,0,0.009142399998381734,random,2,medium
57,0.0,0.0,False,1,0,0.009299399993324187,random,2,medium
58,0.0,0.0,False,0,0,0.009454299994104076,random,2,medium
59,0.0,0.0,False,0,0,0.0096203999928548,random,2,medium
60,0.0,0.0,False,0,0,0.009779199994227383,random,2,medium
61,0.0,0.0,False,0,0,0.009932999993907288,random,2,medium
62,0.0,0.0,False,0,0,0.01008719999663299,random,2,medium
63,0.0,0.0,False,0,0,0.0102370999957202,random,2,medium
64,0.0,0.0,False,1,0,0.010392099997261539,random,2,medium
65,0.0,0.0,False,0,0,0.01054409999778727,random,2,medium
66,0.0,0.0,False,0,0,0.01069409999763593,random,2,medium
67,0.0,0.0,False,0,0,0.010844799995538779,random,2,medium
68,0.0,0.0,False,0,0,0.010994999996910337,random,2,medium
69,0.0,0.0,False,0,0,0.011142999996081926,random,2,medium
70,0.0,0.0,False,0,0,0.011286399996606633,random,2,medium
71,0.0,0.0,False,0,0,0.0114322999943397,random,2,medium
72,0.0,0.0,False,0,0,0.011581699996895622,random,2,medium
73,0.0,0.0,False,0,0,0.01173209999979008,random,2,medium
74,0.0,0.0,False,0,0,0.011881299993547145,random,2,medium
75,0.0,0.0,False,0,0,0.012029499994241633,random,2,medium
76,0.0,0.0,False,0,0,0.012173799994343426,random,2,medium
77,0.0,0.0,False,0,0,0.01231809999444522,random,2,medium
78,0.0,0.0,False,0,0,0.012461599995731376,random,2,medium
79,0.0,0.0,False,0,0,0.012603899995156098,random,2,medium
80,0.0,0.0,False,1,0,0.012750299996696413,random,2,medium
81,0.0,0.0,False,0,0,0.01289839999662945,random,2,medium
82,0.0,0.0,False,0,0,0.013048999993770849,random,2,medium
83,0.0,0.0,False,1,0,0.013202699999965262,random,2,medium
84,0.0,0.0,False,0,0,0.013354299997445196,random,2,medium
85,0.0,0.0,False,0,0,0.013503999995009508,random,2,medium
86,0.0,0.0,False,0,0,0.013654699992912356,random,2,medium
87,0.0,0.0,False,0,0,0.013807299998006783,random,2,medium
88,0.0,0.0,False,0,0,0.013964099998702295,random,2,medium
89,0.0,0.0,False,0,0,0.014125999994575977,random,2,medium
90,0.0,0.0,False,0,0,0.014283599994087126,random,2,medium
91,0.0,0.0,False,0,0,0.014434199998504482,random,2,medium
92,0.0,0.0,False,0,0,0.014584299999114592,random,2,medium
93,0.0,0.0,False,0,0,0.014735400000063237,random,2,medium
94,0.0,0.0,False,0,0,0.014884699994581752,random,2,medium
95,0.0,0.0,False,0,0,0.015033399999083485,random,2,medium
96,0.0,0.0,False,1,0,0.015187399993010331,random,2,medium
97,0.0,0.0,False,0,0,0.015340399993874598,random,2,medium
