iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.004417999996803701,cmaes,1,large
2,0.0,0.0,False,0,1,0.004733000001579057,cmaes,1,large
3,0.0,0.0,False,0,1,0.005041700002038851,cmaes,1,large
4,0.0,0.0,False,0,1,0.005339099996490404,cmaes,1,large
5,0.0,0.0,False,0,1,0.0056677999964449555,cmaes,1,large
6,0.0,0.0,False,0,1,0.005961199996818323,cmaes,1,large
7,0.0,0.0,False,0,1,0.006257799999730196,cmaes,1,large
8,0.0,0.0,False,0,1,0.006543700001202524,cmaes,1,large
9,0.0,0.0,False,0,1,0.006829500001913402,cmaes,1,large
10,0.0,0.0,False,0,1,0.007129799996619113,cmaes,1,large
11,0.0,0.0,False,0,1,0.007448199998179916,cmaes,1,large
12,0.0,0.0,False,0,1,0.007741000001260545,cmaes,1,large
13,0.0,0.0,False,0,1,0.008026900002732873,cmaes,1,large
14,0.0,0.0,False,0,1,0.008314799997606315,cmaes,1,large
15,0.0,0.0,False,0,1,0.008595799998147413,cmaes,1,large
16,0.0,0.0,False,0,1,0.008893799997167662,cmaes,1,large
17,0.0,0.0,False,0,1,0.009182599998894148,cmaes,1,large
18,0.0,0.0,False,0,1,0.010277299996232614,cmaes,1,large
19,0.0,0.0,False,0,1,0.01058760000159964,cmaes,1,large
20,0.0,0.0,False,1,1,0.010903800000960473,cmaes,1,large
21,0.0,0.0,False,0,1,0.011202900001080707,cmaes,1,large
22,0.0,0.0,False,1,1,0.011493300000438467,cmaes,1,large
23,0.0,0.0,False,0,1,0.011778599997342099,cmaes,1,large
24,0.0,0.0,False,1,1,0.01207550000253832,cmaes,1,large
25,0.0,0.0,False,0,1,0.012367000002996065,cmaes,1,large
26,0.0,0.0,False,0,1,0.012667700000747573,cmaes,1,large
27,0.0,0.0,False,0,1,0.012956099999428261,cmaes,1,large
28,0.0,0.0,False,0,1,0.0132685999997193,cmaes,1,large
29,0.0,0.0,False,0,1,0.013564699998823926,cmaes,1,large
30,0.0,0.0,False,0,1,0.0138611000002129,cmaes,1,large
31,0.0,0.0,False,0,1,0.014157199999317527,cmaes,1,large
32,0.0,0.0,False,0,1,0.014459199999691918,cmaes,1,large
33,0.0,0.0,False,0,1,0.014749199996003881,cmaes,1,large
34,0.0,0.0,False,1,1,0.015077399999427143,cmaes,1,large
35,0.0,0.0,False,0,1,0.01558649999788031,cmaes,1,large
36,0.0,0.0,False,0,1,0.016077000000223052,cmaes,1,large
37,0.0,0.0,False,0,1,0.017353700000967365,cmaes,1,large
38,0.0,0.0,False,0,1,0.017869499999505933,cmaes,1,large
39,0.0,0.0,False,0,1,0.01841730000160169,cmaes,1,large
40,0.0,0.0,False,0,1,0.018877900001825765,cmaes,1,large
41,0.0,0.0,False,0,1,0.019342899999173824,cmaes,1,large
42,0.0,0.0,False,0,1,0.01978180000151042,cmaes,1,large
43,0.0,0.0,False,0,1,0.020231299997249153,cmaes,1,large
44,0.0,0.0,False,0,1,0.020686199997726362,cmaes,1,large
45,0.0,0.0,False,0,1,0.021156700000574347,cmaes,1,large
46,0.0,0.0,False,0,1,0.0216253999969922,cmaes,1,large
47,0.0,0.0,False,0,1,0.022058800001104828,cmaes,1,large
48,0.0,0.0,False,0,1,0.0225399999981164,cmaes,1,large
49,0.0,0.0,False,0,1,0.02303399999800604,cmaes,1,large
50,0.0,0.0,False,0,1,0.02352450000034878,cmaes,1,large
51,0.0,0.0,False,0,1,0.023971499998879153,cmaes,1,large
52,0.0,0.0,False,0,1,0.024423399998340756,cmaes,1,large
53,0.0,0.0,False,0,1,0.024870799999916926,cmaes,1,large
54,0.0,0.0,False,0,1,0.025345100002596155,cmaes,1,large
55,0.0,0.0,False,0,1,0.02585009999893373,cmaes,1,large
56,0.0,0.0,False,0,1,0.026305799998226576,cmaes,1,large
57,0.0,0.0,False,0,1,0.02674760000081733,cmaes,1,large
58,0.0,0.0,False,0,1,0.027183999998669606,cmaes,1,large
59,0.0,0.0,False,0,1,0.027638400002615526,cmaes,1,large
60,0.0,0.0,False,0,1,0.028141800001321826,cmaes,1,large
61,0.0,0.0,False,0,1,0.02862040000036359,cmaes,1,large
62,0.0,0.0,False,0,1,0.029112399999576155,cmaes,1,large
63,0.0,0.0,False,0,1,0.02967029999854276,cmaes,1,large
64,0.0,0.0,False,1,1,0.03025809999962803,cmaes,1,large
65,0.0,0.0,False,0,1,0.03078020000248216,cmaes,1,large
66,0.0,0.0,False,0,1,0.031304999996791594,cmaes,1,large
67,0.0,0.0,False,0,1,0.03181229999609059,cmaes,1,large
68,0.0,0.0,False,1,1,0.03231010000308743,cmaes,1,large
69,0.0,0.0,False,0,1,0.0328663999971468,cmaes,1,large
70,0.0,0.0,False,0,1,0.03337150000152178,cmaes,1,large
71,0.0,0.0,False,0,1,0.033898499998031184,cmaes,1,large
72,0.0,0.0,False,0,1,0.03444599999784259,cmaes,1,large
73,0.0,0.0,False,0,1,0.034795300001860596,cmaes,1,large
