iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.008401300001423806,cmaes_repair_seeded,1,large
2,0.0,0.0,False,2,0,0.008866000003763475,cmaes_repair_seeded,1,large
3,0.0,0.0,False,1,0,0.009303900005761534,cmaes_repair_seeded,1,large
4,0.0,0.0,False,2,0,0.009716100001242012,cmaes_repair_seeded,1,large
5,0.0,0.0,False,0,0,0.010113900003489107,cmaes_repair_seeded,1,large
6,0.0,0.0,False,0,0,0.010530700004892424,cmaes_repair_seeded,1,large
7,0.0,0.0,False,0,0,0.010930700002063531,cmaes_repair_seeded,1,large
8,0.0,0.0,False,0,0,0.01132020000659395,cmaes_repair_seeded,1,large
9,0.0,0.0,False,0,0,0.011705800003255717,cmaes_repair_seeded,1,large
10,0.0,0.0,False,0,0,0.012184500003058929,cmaes_repair_seeded,1,large
11,0.0,0.0,False,1,0,0.01263440000184346,cmaes_repair_seeded,1,large
12,0.0,0.0,False,1,0,0.013033000002906192,cmaes_repair_seeded,1,large
13,0.0,0.0,False,0,0,0.013424400000076275,cmaes_repair_seeded,1,large
14,0.0,0.0,False,1,0,0.013816700004099403,cmaes_repair_seeded,1,large
15,0.0,0.0,False,0,0,0.014209100001608022,cmaes_repair_seeded,1,large
16,0.0,0.0,False,0,0,0.014600700000301003,cmaes_repair_seeded,1,large
17,0.0,0.0,False,0,0,0.014992000003985595,cmaes_repair_seeded,1,large
18,0.0,0.0,False,0,0,0.01617919999989681,cmaes_repair_seeded,1,large
19,0.0,0.0,False,1,0,0.01660670000273967,cmaes_repair_seeded,1,large
20,0.0,0.0,False,0,0,0.01701640000101179,cmaes_repair_seeded,1,large
21,0.0,0.0,False,1,0,0.01743180000630673,cmaes_repair_seeded,1,large
22,0.0,0.0,False,0,0,0.01782680000178516,cmaes_repair_seeded,1,large
23,0.0,0.0,False,1,0,0.018441500003973488,cmaes_repair_seeded,1,large
24,0.0,0.0,False,0,0,0.01889320000191219,cmaes_repair_seeded,1,large
25,0.0,0.0,False,1,0,0.01931680000416236,cmaes_repair_seeded,1,large
26,0.0,0.0,False,0,0,0.019804300005489495,cmaes_repair_seeded,1,large
27,0.0,0.0,False,1,0,0.020274100003007334,cmaes_repair_seeded,1,large
