iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0067505999977584,de_seeded,4,large
2,0.0,0.0,False,0,0,0.007387700003164355,de_seeded,4,large
3,0.0,0.0,False,0,0,0.00792879999789875,de_seeded,4,large
4,0.0,0.0,False,0,0,0.008576599997468293,de_seeded,4,large
5,0.0,0.0,False,0,0,0.008924599998863414,de_seeded,4,large
6,0.0,0.0,False,0,0,0.009618899995984975,de_seeded,4,large
7,0.0,0.0,False,0,0,0.009948300001269672,de_seeded,4,large
8,0.0,0.0,False,0,0,0.010251799998513889,de_seeded,4,large
9,0.0,0.0,False,2,0,0.010567500001343433,de_seeded,4,large
10,0.0,0.0,False,0,0,0.011085699996328913,de_seeded,4,large
11,0.0,0.0,False,0,0,0.011402500000258442,de_seeded,4,large
12,0.0,0.0,False,0,0,0.011706899997079745,de_seeded,4,large
13,0.0,0.0,False,0,0,0.012014699997962452,de_seeded,4,large
14,0.0,0.0,False,1,0,0.012826699996367097,de_seeded,4,large
15,0.0,0.0,False,0,0,0.013153100000636186,de_seeded,4,large
16,0.0,0.0,False,0,0,0.013875299999199342,de_seeded,4,large
17,0.0,0.0,False,0,0,0.014247099999920465,de_seeded,4,large
18,0.0,0.0,False,1,0,0.014569699997082353,de_seeded,4,large
19,0.0,0.0,False,0,0,0.014877299996442162,de_seeded,4,large
20,0.0,0.0,False,0,0,0.01518190000206232,de_seeded,4,large
21,0.0,0.0,False,0,0,0.015499799999815878,de_seeded,4,large
22,0.0,0.0,False,0,0,0.01614500000141561,de_seeded,4,large
23,0.0,0.0,False,0,0,0.01659050000307616,de_seeded,4,large
24,0.0,0.0,False,0,0,0.016910500002268236,de_seeded,4,large
25,0.0,0.0,False,0,0,0.01721420000103535,de_seeded,4,large
26,0.0,0.0,False,0,0,0.017520599998533726,de_seeded,4,large
27,0.0,0.0,False,0,0,0.017825599999923725,de_seeded,4,large
28,0.0,0.0,False,0,0,0.018127399998775218,de_seeded,4,large
29,0.0,0.0,False,0,0,0.01843209999788087,de_seeded,4,large
30,0.0,0.0,False,0,0,0.018737500002316665,de_seeded,4,large
31,0.0,0.0,False,1,0,0.019049700000323355,de_seeded,4,large
32,0.0,0.0,False,0,0,0.019356899996637367,de_seeded,4,large
33,0.0,0.0,False,0,0,0.019667399996251334,de_seeded,4,large
34,0.0,0.0,False,1,0,0.01998219999950379,de_seeded,4,large
35,0.0,0.0,False,0,0,0.02028989999962505,de_seeded,4,large
36,0.0,0.0,False,2,0,0.020605899997462984,de_seeded,4,large
37,0.0,0.0,False,0,0,0.020909500002744608,de_seeded,4,large
38,0.0,0.0,False,0,0,0.021212899999227375,de_seeded,4,large
39,0.0,0.0,False,0,0,0.021520399997825734,de_seeded,4,large
40,0.0,0.0,False,0,0,0.02182609999726992,de_seeded,4,large
41,0.0,0.0,False,0,0,0.022129700002551544,de_seeded,4,large
42,0.0,0.0,False,0,0,0.02244290000089677,de_seeded,4,large
43,0.0,0.0,False,0,0,0.022848599997814745,de_seeded,4,large
44,0.0,0.0,False,0,0,0.023274699997273274,de_seeded,4,large
45,0.0,0.0,False,0,0,0.023647299996810034,de_seeded,4,large
46,0.0,0.0,False,0,0,0.02428209999925457,de_seeded,4,large
47,0.0,0.0,False,1,0,0.024619900003017392,de_seeded,4,large
48,0.0,0.0,False,0,0,0.02493759999924805,de_seeded,4,large
49,0.0,0.0,False,0,0,0.02524979999725474,de_seeded,4,large
50,0.0,0.0,False,0,0,0.025577000000339467,de_seeded,4,large
51,0.0,0.0,False,0,0,0.026095000001078006,de_seeded,4,large
52,0.0,0.0,False,0,0,0.026649499995983206,de_seeded,4,large
53,0.0,0.0,False,0,0,0.02717570000095293,de_seeded,4,large
54,0.0,0.0,False,0,0,0.027497199997014832,de_seeded,4,large
55,0.0,0.0,False,0,0,0.027799299998150673,de_seeded,4,large
56,0.0,0.0,False,0,0,0.02832029999990482,de_seeded,4,large
57,0.0,0.0,False,0,0,0.028727600001730025,de_seeded,4,large
58,0.0,0.0,False,0,0,0.029117300000507385,de_seeded,4,large
59,0.0,0.0,False,0,0,0.029475800001819152,de_seeded,4,large
60,0.0,0.0,False,0,0,0.02995579999696929,de_seeded,4,large
61,0.0,0.0,False,0,0,0.030445600001257844,de_seeded,4,large
62,0.0,0.0,False,0,0,0.03097909999632975,de_seeded,4,large
63,0.0,0.0,False,0,0,0.0313800000003539,de_seeded,4,large
64,0.0,0.0,False,0,0,0.03181149999727495,de_seeded,4,large
65,0.0,0.0,False,0,0,0.0322052999981679,de_seeded,4,large
66,0.0,0.0,False,0,0,0.0326675999967847,de_seeded,4,large
67,0.0,0.0,False,0,0,0.03303849999792874,de_seeded,4,large
68,0.0,0.0,False,0,0,0.03337930000270717,de_seeded,4,large
69,0.0,0.0,False,0,0,0.033794199996918906,de_seeded,4,large
70,0.0,0.0,False,0,0,0.03413939999882132,de_seeded,4,large
71,0.0,0.0,False,1,0,0.03448249999928521,de_seeded,4,large
72,0.0,0.0,False,0,0,0.03481630000169389,de_seeded,4,large
73,0.0,0.0,False,0,0,0.035147199996572454,de_seeded,4,large
74,0.0,0.0,False,0,0,0.03547930000058841,de_seeded,4,large
75,0.0,0.0,False,0,0,0.03581409999605967,de_seeded,4,large
76,0.0,0.0,False,0,0,0.03615980000176933,de_seeded,4,large
77,0.0,0.0,False,0,0,0.036491699996986426,de_seeded,4,large
78,0.0,0.0,False,0,0,0.0368291999984649,de_seeded,4,large
79,0.0,0.0,False,0,0,0.037166800000704825,de_seeded,4,large
80,0.0,0.0,False,0,0,0.03760519999923417,de_seeded,4,large
81,0.0,0.0,False,0,0,0.038234499996178783,de_seeded,4,large
82,0.0,0.0,False,0,0,0.0392370999979903,de_seeded,4,large
83,0.0,0.0,False,0,0,0.03981119999662042,de_seeded,4,large
84,0.0,0.0,False,0,0,0.040193699998781085,de_seeded,4,large
85,0.0,0.0,False,0,0,0.040537200002290774,de_seeded,4,large
86,0.0,0.0,False,0,0,0.0408679000029224,de_seeded,4,large
87,0.0,0.0,False,0,0,0.04120069999771658,de_seeded,4,large
88,0.0,0.0,False,0,0,0.04152330000215443,de_seeded,4,large
89,0.0,0.0,False,0,0,0.04184189999796217,de_seeded,4,large
90,0.0,0.0,False,0,0,0.04217190000053961,de_seeded,4,large
91,0.0,0.0,False,0,0,0.04249610000260873,de_seeded,4,large
92,0.0,0.0,False,1,0,0.04281800000171643,de_seeded,4,large
93,0.0,0.0,False,0,0,0.043135799998708535,de_seeded,4,large
94,0.0,0.0,False,0,0,0.04346369999984745,de_seeded,4,large
95,0.0,0.0,False,0,0,0.04378970000107074,de_seeded,4,large
96,0.0,0.0,False,0,0,0.044128299996373244,de_seeded,4,large
97,0.0,0.0,False,0,0,0.04462280000007013,de_seeded,4,large
98,0.0,0.0,False,0,0,0.0449910999959684,de_seeded,4,large
99,0.0,0.0,False,0,0,0.04534099999727914,de_seeded,4,large
100,0.0,0.0,False,0,0,0.04567749999841908,de_seeded,4,large
101,0.0,0.0,False,0,0,0.04602100000192877,de_seeded,4,large
102,0.0,0.0,False,0,0,0.04636259999824688,de_seeded,4,large
103,0.0,0.0,False,0,0,0.046699999998963904,de_seeded,4,large
104,0.0,0.0,False,0,0,0.04704440000205068,de_seeded,4,large
105,0.0,0.0,False,0,0,0.047398599999723956,de_seeded,4,large
106,0.0,0.0,False,0,0,0.04775079999672016,de_seeded,4,large
107,0.0,0.0,False,0,0,0.0481011000010767,de_seeded,4,large
108,0.0,0.0,False,0,0,0.04845219999697292,de_seeded,4,large
109,0.0,0.0,False,0,0,0.048795000002428424,de_seeded,4,large
110,0.0,0.0,False,0,0,0.049133699998492375,de_seeded,4,large
111,0.0,0.0,False,0,0,0.049462499999208376,de_seeded,4,large
112,0.0,0.0,False,1,0,0.04980310000246391,de_seeded,4,large
113,0.0,0.0,False,0,0,0.050142699998104945,de_seeded,4,large
114,0.0,0.0,False,0,0,0.0504815000022063,de_seeded,4,large
115,0.0,0.0,False,1,0,0.05083279999962542,de_seeded,4,large
116,0.0,0.0,False,0,0,0.05117610000161221,de_seeded,4,large
117,0.0,0.0,False,0,0,0.0515157999980147,de_seeded,4,large
118,0.0,0.0,False,0,0,0.05185250000067754,de_seeded,4,large
119,0.0,0.0,False,1,0,0.05217760000232374,de_seeded,4,large
120,0.0,0.0,False,0,0,0.052513700000417884,de_seeded,4,large
121,0.0,0.0,False,0,0,0.052843099998426624,de_seeded,4,large
122,0.0,0.0,False,0,0,0.053161900003033224,de_seeded,4,large
123,0.0,0.0,False,0,0,0.05348979999689618,de_seeded,4,large
124,0.0,0.0,False,0,0,0.05381820000184234,de_seeded,4,large
125,0.0,0.0,False,0,0,0.054146900001796894,de_seeded,4,large
126,0.0,0.0,False,0,0,0.054476199999044184,de_seeded,4,large
127,0.0,0.0,False,0,0,0.05480399999942165,de_seeded,4,large
128,0.0,0.0,False,0,0,0.05512589999852935,de_seeded,4,large
129,0.0,0.0,False,0,0,0.055455200003052596,de_seeded,4,large
130,0.0,0.0,False,0,0,0.05578129999776138,de_seeded,4,large
131,0.0,0.0,False,0,0,0.056111300000338815,de_seeded,4,large
132,0.0,0.0,False,0,0,0.05644719999691006,de_seeded,4,large
133,0.0,0.0,False,0,0,0.05677960000321036,de_seeded,4,large
134,0.0,0.0,False,0,0,0.057108399996650405,de_seeded,4,large
135,0.0,0.0,False,0,0,0.057436800001596566,de_seeded,4,large
136,0.0,0.0,False,0,0,0.0577631999985897,de_seeded,4,large
137,0.0,0.0,False,0,0,0.058088699996005744,de_seeded,4,large
138,0.0,0.0,False,0,0,0.058414999999513384,de_seeded,4,large
139,0.0,0.0,False,0,0,0.05874259999836795,de_seeded,4,large
140,0.0,0.0,False,0,0,0.059069900002214126,de_seeded,4,large
141,0.0,0.0,False,0,0,0.059394600000814535,de_seeded,4,large
142,0.0,0.0,False,0,0,0.060456400002294686,de_seeded,4,large
143,0.0,0.0,False,0,0,0.06105389999720501,de_seeded,4,large
144,0.0,0.0,False,0,0,0.06145709999691462,de_seeded,4,large
145,0.0,0.0,False,0,0,0.06180289999610977,de_seeded,4,large
146,0.0,0.0,False,0,0,0.06214629999885801,de_seeded,4,large
147,0.0,0.0,False,0,0,0.06248559999949066,de_seeded,4,large
148,0.0,0.0,False,0,0,0.06281199999648379,de_seeded,4,large
149,0.0,0.0,False,0,0,0.06319639999856008,de_seeded,4,large
150,0.0,0.0,False,0,0,0.06353739999758545,de_seeded,4,large
151,0.0,0.0,False,0,0,0.06387230000109412,de_seeded,4,large
152,0.0,0.0,False,0,0,0.06420419999631122,de_seeded,4,large
153,0.0,0.0,False,0,0,0.06453319999855012,de_seeded,4,large
154,0.0,0.0,False,0,0,0.06485539999994216,de_seeded,4,large
155,0.0,0.0,False,0,0,0.06518379999761237,de_seeded,4,large
156,0.0,0.0,False,0,0,0.06551320000289707,de_seeded,4,large
157,0.0,0.0,False,0,0,0.06584779999684542,de_seeded,4,large
158,0.0,0.0,False,0,0,0.06673389999923529,de_seeded,4,large
159,0.0,0.0,False,0,0,0.06724479999684263,de_seeded,4,large
160,0.0,0.0,False,0,0,0.06760519999807002,de_seeded,4,large
161,0.0,0.0,False,0,0,0.06794369999988703,de_seeded,4,large
162,0.0,0.0,False,0,0,0.06828069999755826,de_seeded,4,large
163,0.0,0.0,False,0,0,0.06861580000258982,de_seeded,4,large
164,0.0,0.0,False,0,0,0.06895239999721525,de_seeded,4,large
165,0.0,0.0,False,0,0,0.06928429999970831,de_seeded,4,large
166,0.0,0.0,False,0,0,0.06961610000143992,de_seeded,4,large
167,0.0,0.0,False,0,0,0.06995160000224132,de_seeded,4,large
168,0.0,0.0,False,0,0,0.07030059999669902,de_seeded,4,large
169,0.0,0.0,False,0,0,0.07064379999792436,de_seeded,4,large
170,0.0,0.0,False,0,0,0.07098810000024969,de_seeded,4,large
171,0.0,0.0,False,0,0,0.07139189999725204,de_seeded,4,large
172,0.0,0.0,False,0,0,0.07185919999756152,de_seeded,4,large
173,0.0,0.0,False,0,0,0.07256359999882989,de_seeded,4,large
174,0.0,0.0,False,1,0,0.07353290000173729,de_seeded,4,large
175,0.0,0.0,False,0,0,0.07424180000089109,de_seeded,4,large
176,0.0,0.0,False,0,0,0.07469919999857666,de_seeded,4,large
177,0.0,0.0,False,0,0,0.07518529999651946,de_seeded,4,large
178,0.0,0.0,False,0,0,0.07555439999850933,de_seeded,4,large
179,0.0,0.0,False,0,0,0.07590049999998882,de_seeded,4,large
180,0.0,0.0,False,0,0,0.07624650000070687,de_seeded,4,large
181,0.0,0.0,False,0,0,0.0765973000015947,de_seeded,4,large
182,0.0,0.0,False,0,0,0.07694359999732114,de_seeded,4,large
183,0.0,0.0,False,0,0,0.0772893000030308,de_seeded,4,large
184,0.0,0.0,False,0,0,0.07763020000129472,de_seeded,4,large
185,0.0,0.0,False,0,0,0.07797630000277422,de_seeded,4,large
186,0.0,0.0,False,0,0,0.07832649999909336,de_seeded,4,large
187,0.0,0.0,False,0,0,0.07867570000234991,de_seeded,4,large
188,0.0,0.0,False,0,0,0.07901259999925969,de_seeded,4,large
189,0.0,0.0,False,0,0,0.07936070000141626,de_seeded,4,large
190,0.0,0.0,False,1,0,0.07971209999959683,de_seeded,4,large
191,0.0,0.0,False,0,0,0.08052440000028582,de_seeded,4,large
192,0.0,0.0,False,0,0,0.08155689999694005,de_seeded,4,large
193,0.0,0.0,False,0,0,0.08251230000314536,de_seeded,4,large
194,0.0,0.0,False,0,0,0.08303149999846937,de_seeded,4,large
195,0.0,0.0,False,0,0,0.08342629999970086,de_seeded,4,large
196,0.0,0.0,False,0,0,0.08375420000083977,de_seeded,4,large
197,0.0,0.0,False,0,0,0.08408139999664854,de_seeded,4,large
198,0.0,0.0,False,0,0,0.08440300000074785,de_seeded,4,large
199,0.0,0.0,False,0,0,0.08472110000002431,de_seeded,4,large
200,0.0,0.0,False,0,0,0.08503229999769246,de_seeded,4,large
201,0.0,0.0,False,0,0,0.08534510000026785,de_seeded,4,large
202,0.0,0.0,False,0,0,0.08565919999819016,de_seeded,4,large
203,0.0,0.0,False,0,0,0.08601420000195503,de_seeded,4,large
204,0.0,0.0,False,0,0,0.08636419999675127,de_seeded,4,large
205,0.0,0.0,False,0,0,0.08673969999654219,de_seeded,4,large
206,0.0,0.0,False,0,0,0.08708070000284351,de_seeded,4,large
207,0.0,0.0,False,0,0,0.08742139999958454,de_seeded,4,large
208,0.0,0.0,False,0,0,0.08776180000131717,de_seeded,4,large
209,0.0,0.0,False,0,0,0.08809320000000298,de_seeded,4,large
210,0.0,0.0,False,0,0,0.0884135000014794,de_seeded,4,large
211,0.0,0.0,False,0,0,0.08873229999881005,de_seeded,4,large
212,0.0,0.0,False,0,0,0.08904729999630945,de_seeded,4,large
213,0.0,0.0,False,0,0,0.08936179999727756,de_seeded,4,large
214,0.0,0.0,False,0,0,0.08967580000171438,de_seeded,4,large
215,0.0,0.0,False,0,0,0.08998740000242833,de_seeded,4,large
216,0.0,0.0,False,0,0,0.09030029999848921,de_seeded,4,large
217,0.0,0.0,False,0,0,0.09061300000030315,de_seeded,4,large
218,0.0,0.0,False,0,0,0.0909243999994942,de_seeded,4,large
219,0.0,0.0,False,0,0,0.09123050000198418,de_seeded,4,large
220,0.0,0.0,False,0,0,0.09155319999990752,de_seeded,4,large
