iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.003454600002442021,cmaes_repair,3,medium
2,0.0,0.0,False,0,1,0.0036770000006072223,cmaes_repair,3,medium
3,0.0,0.0,False,1,1,0.00388810000004014,cmaes_repair,3,medium
4,0.0,0.0,False,0,1,0.004095000003871974,cmaes_repair,3,medium
5,0.0,0.0,False,0,1,0.0043043000041507185,cmaes_repair,3,medium
6,0.0,0.0,False,1,1,0.004664600004616659,cmaes_repair,3,medium
7,0.0,0.0,False,1,1,0.005049100000178441,cmaes_repair,3,medium
8,0.0,0.0,False,0,1,0.005416200001491234,cmaes_repair,3,medium
9,0.0,0.0,False,0,1,0.005777200000011362,cmaes_repair,3,medium
10,0.0,0.0,False,0,1,0.00599010000587441,cmaes_repair,3,medium
11,0.0,0.0,False,0,1,0.006195600006321911,cmaes_repair,3,medium
12,0.0,0.0,False,1,1,0.006405200001609046,cmaes_repair,3,medium
13,0.0,0.0,False,0,1,0.006611100005102344,cmaes_repair,3,medium
14,0.0,0.0,False,0,1,0.006818800000473857,cmaes_repair,3,medium
15,0.0,0.0,False,0,1,0.007026500003121328,cmaes_repair,3,medium
16,0.0,0.0,False,0,1,0.00794060000043828,cmaes_repair,3,medium
17,0.0,0.0,False,0,1,0.00815100000181701,cmaes_repair,3,medium
18,0.0,0.0,False,1,1,0.008365100002265535,cmaes_repair,3,medium
19,0.0,0.0,False,0,1,0.008572800004913006,cmaes_repair,3,medium
20,0.0,0.0,False,0,1,0.008779100004176144,cmaes_repair,3,medium
21,0.0,0.0,False,0,1,0.008983100000477862,cmaes_repair,3,medium
22,0.0,0.0,False,0,1,0.009187700001348276,cmaes_repair,3,medium
23,0.0,0.0,False,1,1,0.009396300003572833,cmaes_repair,3,medium
24,0.0,0.0,False,0,1,0.009600600002158899,cmaes_repair,3,medium
25,0.0,0.0,False,0,1,0.009799700004805345,cmaes_repair,3,medium
26,0.0,0.0,False,0,1,0.010005500000261236,cmaes_repair,3,medium
27,0.0,0.0,False,0,1,0.010211000000708736,cmaes_repair,3,medium
28,0.0,0.0,False,1,1,0.010420200000226032,cmaes_repair,3,medium
29,0.0,0.0,False,1,1,0.010627800002112053,cmaes_repair,3,medium
30,0.0,0.0,False,0,1,0.010833100001036655,cmaes_repair,3,medium
31,0.0,0.0,False,0,1,0.011037800002668519,cmaes_repair,3,medium
