iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.005230199996731244,cmaes_repair_seeded,9,medium
2,0.0,0.0,False,1,0,0.005464800000481773,cmaes_repair_seeded,9,medium
3,0.0,0.0,False,0,0,0.005684399999154266,cmaes_repair_seeded,9,medium
4,0.0,0.0,False,1,0,0.005899600000702776,cmaes_repair_seeded,9,medium
5,0.0,0.0,False,1,0,0.0061260000002221204,cmaes_repair_seeded,9,medium
6,0.0,0.0,False,0,0,0.006367699999827892,cmaes_repair_seeded,9,medium
7,0.0,0.0,False,0,0,0.006666100001893938,cmaes_repair_seeded,9,medium
8,0.0,0.0,False,2,0,0.007017500000074506,cmaes_repair_seeded,9,medium
9,0.0,0.0,False,0,0,0.00738689999707276,cmaes_repair_seeded,9,medium
10,0.0,0.0,False,1,0,0.007673200001590885,cmaes_repair_seeded,9,medium
11,0.0,0.0,False,0,0,0.007907999999588355,cmaes_repair_seeded,9,medium
12,0.0,0.0,False,1,0,0.008128000001306646,cmaes_repair_seeded,9,medium
13,0.0,0.0,False,1,0,0.008346399998117704,cmaes_repair_seeded,9,medium
14,0.0,0.0,False,0,0,0.008562000002712011,cmaes_repair_seeded,9,medium
15,0.0,0.0,False,1,0,0.008783899997069966,cmaes_repair_seeded,9,medium
16,0.0,0.0,False,2,0,0.009902799996780232,cmaes_repair_seeded,9,medium
17,0.0,0.0,False,1,0,0.010133299998415168,cmaes_repair_seeded,9,medium
18,0.0,0.0,False,0,0,0.010349600001063664,cmaes_repair_seeded,9,medium
19,0.0,0.0,False,0,0,0.010565399999904912,cmaes_repair_seeded,9,medium
20,0.0,0.0,False,1,0,0.01078129999950761,cmaes_repair_seeded,9,medium
21,0.0,0.0,False,0,0,0.010995099997671787,cmaes_repair_seeded,9,medium
22,0.0,0.0,False,0,0,0.011207900002773385,cmaes_repair_seeded,9,medium
23,0.0,0.0,False,0,0,0.011420700000599027,cmaes_repair_seeded,9,medium
24,0.0,0.0,False,0,0,0.011633399997663219,cmaes_repair_seeded,9,medium
25,0.0,0.0,False,2,0,0.011885899999469984,cmaes_repair_seeded,9,medium
26,0.0,0.0,False,0,0,0.01211390000389656,cmaes_repair_seeded,9,medium
27,0.0,0.0,False,0,0,0.012334099999861792,cmaes_repair_seeded,9,medium
28,0.0,0.0,False,1,0,0.012557599999126978,cmaes_repair_seeded,9,medium
