iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.004336699996201787,cmaes_seeded,6,medium
2,0.0,0.0,False,0,1,0.004599100000632461,cmaes_seeded,6,medium
3,0.0,0.0,False,0,1,0.004769699997268617,cmaes_seeded,6,medium
4,0.0,0.0,False,1,1,0.0049270000017713755,cmaes_seeded,6,medium
5,0.0,0.0,False,1,1,0.0050788000007742085,cmaes_seeded,6,medium
6,0.0,0.0,False,0,1,0.005227599998761434,cmaes_seeded,6,medium
7,0.0,0.0,False,0,1,0.005372999999963213,cmaes_seeded,6,medium
8,0.0,0.0,False,1,1,0.0055305999994743615,cmaes_seeded,6,medium
9,0.0,0.0,False,0,1,0.005682900002284441,cmaes_seeded,6,medium
10,0.0,0.0,False,0,1,0.005827000000863336,cmaes_seeded,6,medium
11,0.0,0.0,False,0,1,0.005972400002065115,cmaes_seeded,6,medium
12,0.0,0.0,False,0,1,0.006115600001066923,cmaes_seeded,6,medium
13,0.0,0.0,False,0,1,0.006269700003031176,cmaes_seeded,6,medium
14,0.0,0.0,False,0,1,0.006412499998987187,cmaes_seeded,6,medium
15,0.0,0.0,False,1,1,0.006558100001711864,cmaes_seeded,6,medium
16,0.0,0.0,False,0,1,0.0072942999977385625,cmaes_seeded,6,medium
17,0.0,0.0,False,0,1,0.0074397999997017905,cmaes_seeded,6,medium
18,0.0,0.0,False,0,1,0.007581699996080715,cmaes_seeded,6,medium
19,0.0,0.0,False,0,1,0.007721299996774178,cmaes_seeded,6,medium
20,0.0,0.0,False,0,1,0.007860400000936352,cmaes_seeded,6,medium
21,0.0,0.0,False,0,1,0.007998399996722583,cmaes_seeded,6,medium
22,0.0,0.0,False,1,1,0.008139799996570218,cmaes_seeded,6,medium
23,0.0,0.0,False,0,1,0.008288799996080343,cmaes_seeded,6,medium
24,0.0,0.0,False,1,1,0.008430900001258124,cmaes_seeded,6,medium
25,0.0,0.0,False,0,1,0.008571400001528673,cmaes_seeded,6,medium
26,0.0,0.0,False,0,1,0.008709100002306513,cmaes_seeded,6,medium
27,0.0,0.0,False,0,1,0.008847199998854194,cmaes_seeded,6,medium
28,0.0,0.0,False,1,1,0.008985399996163324,cmaes_seeded,6,medium
29,0.0,0.0,False,0,1,0.009125199998379685,cmaes_seeded,6,medium
30,0.0,0.0,False,0,1,0.009262899999157526,cmaes_seeded,6,medium
31,0.0,0.0,False,1,1,0.009402900002896786,cmaes_seeded,6,medium
32,0.0,0.0,False,0,1,0.009541699997498654,cmaes_seeded,6,medium
33,0.0,0.0,False,0,1,0.009679900002083741,cmaes_seeded,6,medium
34,0.0,0.0,False,0,1,0.009820499995839782,cmaes_seeded,6,medium
35,0.0,0.0,False,1,1,0.009963099997548852,cmaes_seeded,6,medium
36,0.0,0.0,False,0,1,0.010100599996803794,cmaes_seeded,6,medium
37,0.0,0.0,False,0,1,0.010245600002235733,cmaes_seeded,6,medium
38,0.0,0.0,False,0,1,0.010387599999376107,cmaes_seeded,6,medium
39,0.0,0.0,False,0,1,0.01052950000303099,cmaes_seeded,6,medium
40,0.0,0.0,False,0,1,0.010672500000509899,cmaes_seeded,6,medium
41,0.0,0.0,False,0,1,0.010811699998157565,cmaes_seeded,6,medium
42,0.0,0.0,False,0,1,0.010948700000881217,cmaes_seeded,6,medium
43,0.0,0.0,False,0,1,0.011088200000813231,cmaes_seeded,6,medium
44,0.0,0.0,False,0,1,0.01122639999812236,cmaes_seeded,6,medium
45,0.0,0.0,False,0,1,0.011363199999323115,cmaes_seeded,6,medium
46,0.0,0.0,False,0,1,0.011500799999339506,cmaes_seeded,6,medium
47,0.0,0.0,False,0,1,0.011636700000963174,cmaes_seeded,6,medium
48,0.0,0.0,False,0,1,0.011772899997595232,cmaes_seeded,6,medium
49,0.0,0.0,False,0,1,0.01191110000218032,cmaes_seeded,6,medium
50,0.0,0.0,False,0,1,0.012045900002704002,cmaes_seeded,6,medium
51,0.0,0.0,False,0,1,0.012189000000944361,cmaes_seeded,6,medium
52,0.0,0.0,False,0,1,0.012331300000369083,cmaes_seeded,6,medium
53,0.0,0.0,False,0,1,0.012477600001147948,cmaes_seeded,6,medium
54,0.0,0.0,False,0,1,0.012625900002603885,cmaes_seeded,6,medium
55,0.0,0.0,False,0,1,0.012773000002198387,cmaes_seeded,6,medium
56,0.0,0.0,False,0,1,0.012921699999424163,cmaes_seeded,6,medium
57,0.0,0.0,False,0,1,0.013064500002656132,cmaes_seeded,6,medium
58,0.0,0.0,False,0,1,0.013206700001319405,cmaes_seeded,6,medium
59,0.0,0.0,False,0,1,0.013351200002944097,cmaes_seeded,6,medium
60,0.0,0.0,False,0,1,0.013497100000677165,cmaes_seeded,6,medium
61,0.0,0.0,False,0,1,0.013645699997141492,cmaes_seeded,6,medium
62,0.0,0.0,False,0,1,0.013789299999189097,cmaes_seeded,6,medium
63,0.0,0.0,False,0,1,0.013939500000560656,cmaes_seeded,6,medium
64,0.0,0.0,False,0,1,0.014213499998732004,cmaes_seeded,6,medium
65,0.0,0.0,False,0,1,0.014398799998161849,cmaes_seeded,6,medium
66,0.0,0.0,False,0,1,0.014841600001091138,cmaes_seeded,6,medium
67,0.0,0.0,False,0,1,0.015021599996543955,cmaes_seeded,6,medium
68,0.0,0.0,False,0,1,0.015175100001215469,cmaes_seeded,6,medium
69,0.0,0.0,False,0,1,0.015319400001317263,cmaes_seeded,6,medium
70,0.0,0.0,False,1,1,0.015470899998035748,cmaes_seeded,6,medium
71,0.0,0.0,False,0,1,0.015611900002113543,cmaes_seeded,6,medium
72,0.0,0.0,False,0,1,0.015751599996292498,cmaes_seeded,6,medium
73,0.0,0.0,False,0,1,0.015889399997831788,cmaes_seeded,6,medium
74,0.0,0.0,False,0,1,0.016032499996072147,cmaes_seeded,6,medium
75,0.0,0.0,False,0,1,0.016180500002519693,cmaes_seeded,6,medium
76,0.0,0.0,False,0,1,0.01632969999627676,cmaes_seeded,6,medium
77,0.0,0.0,False,0,1,0.016477999997732695,cmaes_seeded,6,medium
78,0.0,0.0,False,0,1,0.016632300001219846,cmaes_seeded,6,medium
79,0.0,0.0,False,0,1,0.016780600002675783,cmaes_seeded,6,medium
80,0.0,0.0,False,0,1,0.016932500002440065,cmaes_seeded,6,medium
81,0.0,0.0,False,0,1,0.017080699995858595,cmaes_seeded,6,medium
82,0.0,0.0,False,0,1,0.017227500000444707,cmaes_seeded,6,medium
83,0.0,0.0,False,0,1,0.017375800001900643,cmaes_seeded,6,medium
84,0.0,0.0,False,0,1,0.01752390000183368,cmaes_seeded,6,medium
85,0.0,0.0,False,0,1,0.017671299996436574,cmaes_seeded,6,medium
86,0.0,0.0,False,0,1,0.017818300002545584,cmaes_seeded,6,medium
87,0.0,0.0,False,0,1,0.017968000000109896,cmaes_seeded,6,medium
88,0.0,0.0,False,0,1,0.01811689999885857,cmaes_seeded,6,medium
89,0.0,0.0,False,0,1,0.018263300000398885,cmaes_seeded,6,medium
90,0.0,0.0,False,0,1,0.018401699999230914,cmaes_seeded,6,medium
91,0.0,0.0,False,0,1,0.018536900002800394,cmaes_seeded,6,medium
92,0.0,0.0,False,0,1,0.018672099999093916,cmaes_seeded,6,medium
93,0.0,0.0,False,0,1,0.01880879999953322,cmaes_seeded,6,medium
94,0.0,0.0,False,0,1,0.018948500000988133,cmaes_seeded,6,medium
95,0.0,0.0,False,0,1,0.01908499999990454,cmaes_seeded,6,medium
96,0.0,0.0,False,0,1,0.019221100003051106,cmaes_seeded,6,medium
97,0.0,0.0,False,0,1,0.019356899996637367,cmaes_seeded,6,medium
98,0.0,0.0,False,0,1,0.019492499995976686,cmaes_seeded,6,medium
99,0.0,0.0,False,1,1,0.0196321999974316,cmaes_seeded,6,medium
100,0.0,0.0,False,0,1,0.01977459999761777,cmaes_seeded,6,medium
101,0.0,0.0,False,0,1,0.019913700001779944,cmaes_seeded,6,medium
102,0.0,0.0,False,0,1,0.02005240000289632,cmaes_seeded,6,medium
103,0.0,0.0,False,0,1,0.020194999997329433,cmaes_seeded,6,medium
104,0.0,0.0,False,0,1,0.020340900002338458,cmaes_seeded,6,medium
105,0.0,0.0,False,0,1,0.020482400002947543,cmaes_seeded,6,medium
106,0.0,0.0,False,0,1,0.02062619999924209,cmaes_seeded,6,medium
