iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.003526899999997113,cmaes,0,small
2,0.0,0.0,False,0,0,0.0036495000022114255,cmaes,0,small
3,0.0,0.0,False,0,0,0.003734899997652974,cmaes,0,small
4,0.0,0.0,False,1,0,0.0038197999965632334,cmaes,0,small
5,0.0,0.0,False,0,0,0.003901299998688046,cmaes,0,small
6,0.0,0.0,False,0,0,0.003975899999204557,cmaes,0,small
7,0.0,0.0,False,0,0,0.004051099997013807,cmaes,0,small
8,0.0,0.0,False,0,0,0.004123400001844857,cmaes,0,small
9,0.0,0.0,False,0,0,0.0041959000009228475,cmaes,0,small
10,0.0,0.0,False,0,0,0.004271199999493547,cmaes,0,small
11,0.0,0.0,False,0,0,0.004347499998402782,cmaes,0,small
12,0.0,0.0,False,0,0,0.0044254000022192486,cmaes,0,small
13,0.0,0.0,False,0,0,0.0051994000023114495,cmaes,0,small
14,0.0,0.0,False,0,0,0.005284899998514447,cmaes,0,small
15,0.0,0.0,False,0,0,0.0053630999973393045,cmaes,0,small
16,0.0,0.0,False,0,0,0.005439900000055786,cmaes,0,small
17,0.0,0.0,False,0,0,0.005519899998034816,cmaes,0,small
18,0.0,0.0,False,0,0,0.005595700000412762,cmaes,0,small
19,0.0,0.0,False,0,0,0.005669300000590738,cmaes,0,small
20,0.0,0.0,False,0,0,0.005742499997722916,cmaes,0,small
21,0.0,0.0,False,0,0,0.005819500001962297,cmaes,0,small
22,0.0,0.0,False,0,0,0.005893000001378823,cmaes,0,small
23,0.0,0.0,False,0,0,0.0059661999985110015,cmaes,0,small
24,0.0,0.0,False,0,0,0.006038699997588992,cmaes,0,small
25,0.0,0.0,False,0,0,0.006111199996666983,cmaes,0,small
26,0.0,0.0,False,0,0,0.006183899997267872,cmaes,0,small
27,0.0,0.0,False,1,0,0.00626390000252286,cmaes,0,small
28,4.164848422194305,4.164848422194305,True,1,1,0.006343599998217542,cmaes,0,small
29,0.0,4.164848422194305,False,0,1,0.006419199999072589,cmaes,0,small
30,0.0,4.164848422194305,False,0,1,0.006492900000012014,cmaes,0,small
31,0.0,4.164848422194305,False,0,1,0.0065671999982441776,cmaes,0,small
32,0.0,4.164848422194305,False,0,1,0.006641499996476341,cmaes,0,small
33,0.0,4.164848422194305,False,0,1,0.006713800001307391,cmaes,0,small
34,0.0,4.164848422194305,False,0,1,0.006786600002669729,cmaes,0,small
35,0.0,4.164848422194305,False,0,1,0.00685939999675611,cmaes,0,small
36,0.0,4.164848422194305,False,0,1,0.006932099997357,cmaes,0,small
37,0.0,4.164848422194305,False,0,1,0.007005500003288034,cmaes,0,small
38,0.0,4.164848422194305,False,0,1,0.007078399998135865,cmaes,0,small
39,0.0,4.164848422194305,False,0,1,0.007150799996452406,cmaes,0,small
40,0.0,4.164848422194305,False,0,1,0.007224000000860542,cmaes,0,small
41,0.0,4.164848422194305,False,0,1,0.007298099997569807,cmaes,0,small
42,0.0,4.164848422194305,False,0,1,0.007374499997240491,cmaes,0,small
43,0.0,4.164848422194305,False,0,1,0.0074470000035944395,cmaes,0,small
44,0.0,4.164848422194305,False,0,1,0.007521699997596443,cmaes,0,small
45,0.0,4.164848422194305,False,0,1,0.007600899996759836,cmaes,0,small
46,0.0,4.164848422194305,False,0,1,0.007673400003113784,cmaes,0,small
47,0.0,4.164848422194305,False,0,1,0.007744900001853239,cmaes,0,small
48,0.0,4.164848422194305,False,0,1,0.00781719999940833,cmaes,0,small
49,0.0,4.164848422194305,False,0,1,0.007888899999670684,cmaes,0,small
50,0.0,4.164848422194305,False,0,1,0.00796039999841014,cmaes,0,small
51,0.0,4.164848422194305,False,0,1,0.00803240000095684,cmaes,0,small
52,0.0,4.164848422194305,False,0,1,0.008102699997834861,cmaes,0,small
53,0.0,4.164848422194305,False,0,1,0.008175900002242997,cmaes,0,small
54,0.0,4.164848422194305,False,0,1,0.008247899997513741,cmaes,0,small
55,0.0,4.164848422194305,False,0,1,0.008319300002767704,cmaes,0,small
56,0.0,4.164848422194305,False,0,1,0.00839339999947697,cmaes,0,small
57,0.0,4.164848422194305,False,1,1,0.008469000000332016,cmaes,0,small
58,0.0,4.164848422194305,False,1,1,0.008547600002202671,cmaes,0,small
59,0.0,4.164848422194305,False,0,1,0.008622000001196284,cmaes,0,small
60,0.0,4.164848422194305,False,0,1,0.008696099997905549,cmaes,0,small
61,0.0,4.164848422194305,False,0,1,0.008769499996560626,cmaes,0,small
62,0.0,4.164848422194305,False,0,1,0.008847400000377093,cmaes,0,small
63,0.0,4.164848422194305,False,1,1,0.008924299996579066,cmaes,0,small
64,0.0,4.164848422194305,False,0,1,0.00900299999921117,cmaes,0,small
65,0.0,4.164848422194305,False,1,1,0.009081500000320375,cmaes,0,small
66,0.0,4.164848422194305,False,1,1,0.009162000002106652,cmaes,0,small
67,0.0,4.164848422194305,False,0,1,0.009245200002624188,cmaes,0,small
68,0.0,4.164848422194305,False,0,1,0.009323699996457435,cmaes,0,small
69,0.0,4.164848422194305,False,0,1,0.009399900001881178,cmaes,0,small
70,0.0,4.164848422194305,False,0,1,0.009479499996814411,cmaes,0,small
71,0.0,4.164848422194305,False,0,1,0.009555800002999604,cmaes,0,small
72,0.0,4.164848422194305,False,0,1,0.009632699999201577,cmaes,0,small
73,0.0,4.164848422194305,False,0,1,0.009708400000818074,cmaes,0,small
74,0.0,4.164848422194305,False,0,1,0.009782499997527339,cmaes,0,small
75,0.0,4.164848422194305,False,1,1,0.009857899996859487,cmaes,0,small
76,0.0,4.164848422194305,False,0,1,0.009934800000337418,cmaes,0,small
77,0.0,4.164848422194305,False,0,1,0.010008299999753945,cmaes,0,small
78,0.0,4.164848422194305,False,0,1,0.010081400003400631,cmaes,0,small
79,0.0,4.164848422194305,False,1,1,0.01015940000070259,cmaes,0,small
80,0.0,4.164848422194305,False,0,1,0.01023410000198055,cmaes,0,small
81,0.0,4.164848422194305,False,0,1,0.010310799996659625,cmaes,0,small
82,0.0,4.164848422194305,False,0,1,0.010389900002337527,cmaes,0,small
83,0.0,4.164848422194305,False,0,1,0.010469799999555107,cmaes,0,small
84,0.0,4.164848422194305,False,0,1,0.010549500002525747,cmaes,0,small
85,0.0,4.164848422194305,False,0,1,0.01062899999669753,cmaes,0,small
86,0.0,4.164848422194305,False,0,1,0.010706599998229649,cmaes,0,small
87,0.0,4.164848422194305,False,0,1,0.010785099999338854,cmaes,0,small
88,0.0,4.164848422194305,False,0,1,0.010861599999770988,cmaes,0,small
89,0.0,4.164848422194305,False,0,1,0.010937599996395875,cmaes,0,small
90,0.0,4.164848422194305,False,1,1,0.01101339999877382,cmaes,0,small
91,0.0,4.164848422194305,False,0,1,0.011089500003436115,cmaes,0,small
92,0.0,4.164848422194305,False,0,1,0.01116349999938393,cmaes,0,small
93,0.0,4.164848422194305,False,1,1,0.011242799999308772,cmaes,0,small
94,0.0,4.164848422194305,False,0,1,0.011321300000417978,cmaes,0,small
95,0.0,4.164848422194305,False,0,1,0.011397499998565763,cmaes,0,small
96,0.0,4.164848422194305,False,0,1,0.011472899997897912,cmaes,0,small
97,0.0,4.164848422194305,False,0,1,0.011549299997568596,cmaes,0,small
98,0.0,4.164848422194305,False,0,1,0.011623699996562209,cmaes,0,small
99,0.0,4.164848422194305,False,0,1,0.011701399998855777,cmaes,0,small
100,0.0,4.164848422194305,False,0,1,0.011778200001572259,cmaes,0,small
101,0.0,4.164848422194305,False,0,1,0.011854399999720044,cmaes,0,small
102,0.0,4.164848422194305,False,0,1,0.01192789999913657,cmaes,0,small
103,0.0,4.164848422194305,False,0,1,0.012002399998891633,cmaes,0,small
104,0.0,4.164848422194305,False,0,1,0.01207799999974668,cmaes,0,small
105,0.0,4.164848422194305,False,0,1,0.012151700000686105,cmaes,0,small
106,0.0,4.164848422194305,False,0,1,0.01222540000162553,cmaes,0,small
107,0.0,4.164848422194305,False,1,1,0.012313200000789948,cmaes,0,small
108,0.0,4.164848422194305,False,0,1,0.012395500001730397,cmaes,0,small
109,0.0,4.164848422194305,False,0,1,0.012477099997340702,cmaes,0,small
110,0.0,4.164848422194305,False,0,1,0.01255710000259569,cmaes,0,small
111,0.0,4.164848422194305,False,0,1,0.012633699996513315,cmaes,0,small
112,0.0,4.164848422194305,False,0,1,0.012709399998129811,cmaes,0,small
113,0.5938025565808545,4.164848422194305,True,1,1,0.012788799998816103,cmaes,0,small
114,0.0,4.164848422194305,False,0,1,0.01287179999781074,cmaes,0,small
115,0.0,4.164848422194305,False,0,1,0.012946299997565802,cmaes,0,small
116,0.0,4.164848422194305,False,0,1,0.01302630000282079,cmaes,0,small
117,0.0,4.164848422194305,False,1,1,0.013104600002407096,cmaes,0,small
118,0.0,4.164848422194305,False,0,1,0.013183000002754852,cmaes,0,small
119,0.0,4.164848422194305,False,0,1,0.01325879999785684,cmaes,0,small
120,0.0,4.164848422194305,False,0,1,0.01333619999786606,cmaes,0,small
121,0.0,4.164848422194305,False,0,1,0.013416900001175236,cmaes,0,small
122,0.0,4.164848422194305,False,0,1,0.013493999998900108,cmaes,0,small
123,0.0,4.164848422194305,False,0,1,0.013570100003562402,cmaes,0,small
124,0.0,4.164848422194305,False,0,1,0.01364810000086436,cmaes,0,small
125,0.0,4.164848422194305,False,0,1,0.01372770000307355,cmaes,0,small
126,0.0,4.164848422194305,False,0,1,0.01380300000164425,cmaes,0,small
127,0.0,4.164848422194305,False,0,1,0.013877999997930601,cmaes,0,small
128,0.0,4.164848422194305,False,0,1,0.013953200003015809,cmaes,0,small
129,0.0,4.164848422194305,False,0,1,0.014028999998117797,cmaes,0,small
130,0.0,4.164848422194305,False,0,1,0.014106900001934264,cmaes,0,small
131,0.0,4.164848422194305,False,1,1,0.014185400003043469,cmaes,0,small
132,0.0,4.164848422194305,False,0,1,0.014262199998483993,cmaes,0,small
133,0.0,4.164848422194305,False,1,1,0.014341299996885937,cmaes,0,small
134,0.0,4.164848422194305,False,1,1,0.014421200001379475,cmaes,0,small
135,0.0,4.164848422194305,False,0,1,0.014621800000895746,cmaes,0,small
136,0.0,4.164848422194305,False,0,1,0.014779600001929794,cmaes,0,small
137,0.0,4.164848422194305,False,1,1,0.014898000001267064,cmaes,0,small
138,0.0,4.164848422194305,False,1,1,0.014986700000008568,cmaes,0,small
139,0.0,4.164848422194305,False,0,1,0.015065200001117773,cmaes,0,small
140,0.0,4.164848422194305,False,0,1,0.015142900003411341,cmaes,0,small
141,0.0,4.164848422194305,False,0,1,0.015221499998006038,cmaes,0,small
142,0.0,4.164848422194305,False,0,1,0.015302100000553764,cmaes,0,small
143,0.0,4.164848422194305,False,0,1,0.015382600002340041,cmaes,0,small
144,0.0,4.164848422194305,False,0,1,0.015464299998711795,cmaes,0,small
145,0.0,4.164848422194305,False,0,1,0.015544200003205333,cmaes,0,small
146,0.0,4.164848422194305,False,0,1,0.015624500003468711,cmaes,0,small
147,38.07699636771218,38.07699636771218,True,2,2,0.015720900002634153,cmaes,0,small
148,0.0,38.07699636771218,False,0,2,0.015807700001460034,cmaes,0,small
149,0.0,38.07699636771218,False,0,2,0.015886900000623427,cmaes,0,small
150,0.0,38.07699636771218,False,0,2,0.015969599997333717,cmaes,0,small
1,0.0,0.0,False,0,0,0.003594800000428222,cmaes,1,small
2,0.0,0.0,False,0,0,0.003706900002725888,cmaes,1,small
3,0.0,0.0,False,0,0,0.0037987000032444485,cmaes,1,small
4,0.0,0.0,False,0,0,0.003875700000207871,cmaes,1,small
5,0.0,0.0,False,1,0,0.003957000000809785,cmaes,1,small
6,0.0,0.0,False,0,0,0.004034600002341904,cmaes,1,small
7,0.0,0.0,False,0,0,0.004110500005481299,cmaes,1,small
8,0.0,0.0,False,0,0,0.004185700003290549,cmaes,1,small
9,0.0,0.0,False,1,0,0.004263300004822668,cmaes,1,small
10,0.0,0.0,False,0,0,0.004339500002970453,cmaes,1,small
11,0.0,0.0,False,0,0,0.004414100003486965,cmaes,1,small
12,0.0,0.0,False,0,0,0.004488400001719128,cmaes,1,small
13,0.0,0.0,False,0,0,0.00525270000071032,cmaes,1,small
14,0.0,0.0,False,0,0,0.005341300005966332,cmaes,1,small
15,0.0,0.0,False,0,0,0.005422100002760999,cmaes,1,small
16,0.0,0.0,False,0,0,0.005500999999640044,cmaes,1,small
17,0.0,0.0,False,0,0,0.005578700001933612,cmaes,1,small
18,0.0,0.0,False,0,0,0.005655200002365746,cmaes,1,small
19,0.0,0.0,False,0,0,0.0057338000042364,cmaes,1,small
20,0.0,0.0,False,0,0,0.005809700000099838,cmaes,1,small
21,0.0,0.0,False,0,0,0.005923400000028778,cmaes,1,small
22,0.0,0.0,False,0,0,0.006087800000386778,cmaes,1,small
23,0.0,0.0,False,0,0,0.00618870000471361,cmaes,1,small
24,0.0,0.0,False,0,0,0.006268200006161351,cmaes,1,small
25,0.0,0.0,False,0,0,0.006347300004563294,cmaes,1,small
26,0.0,0.0,False,0,0,0.006426400002965238,cmaes,1,small
27,0.0,0.0,False,0,0,0.006504200006020255,cmaes,1,small
28,0.0,0.0,False,0,0,0.0065824000048451126,cmaes,1,small
29,0.0,0.0,False,1,0,0.006667400004516821,cmaes,1,small
30,0.0,0.0,False,0,0,0.006748300002072938,cmaes,1,small
31,0.0,0.0,False,0,0,0.00682539999979781,cmaes,1,small
32,0.0,0.0,False,0,0,0.006903400004375726,cmaes,1,small
33,0.0,0.0,False,0,0,0.00698240000201622,cmaes,1,small
34,0.0,0.0,False,0,0,0.007060500000079628,cmaes,1,small
35,0.0,0.0,False,1,0,0.007143200004065875,cmaes,1,small
36,0.0,0.0,False,0,0,0.007224400003906339,cmaes,1,small
37,0.0,0.0,False,0,0,0.007303800004592631,cmaes,1,small
38,0.0,0.0,False,0,0,0.007382800002233125,cmaes,1,small
39,0.0,0.0,False,0,0,0.007460200002242345,cmaes,1,small
