method_id,method,scale,dimension,evaluation,n_runs,success_rate,mean_best_so_far,std_best_so_far,q25_best_so_far,q75_best_so_far,sem_best_so_far
ft_hsbo,FT-HSBO,large,80-D,1,20,1.0,31.550301034220666,18.914351223192668,18.787567250688703,46.11391615505977,4.22937750853651
ft_hsbo,FT-HSBO,large,80-D,2,20,1.0,31.550301034220666,18.914351223192668,18.787567250688703,46.11391615505977,4.22937750853651
ft_hsbo,FT-HSBO,large,80-D,3,20,1.0,31.550301034220666,18.914351223192668,18.787567250688703,46.11391615505977,4.22937750853651
ft_hsbo,FT-HSBO,large,80-D,4,20,1.0,32.93071909294775,17.742870639296537,23.63579503195156,46.11391615505977,3.9674264865452207
ft_hsbo,FT-HSBO,large,80-D,5,20,1.0,32.93071909294775,17.742870639296537,23.63579503195156,46.11391615505977,3.9674264865452207
ft_hsbo,FT-HSBO,large,80-D,6,20,1.0,32.93071909294775,17.742870639296537,23.63579503195156,46.11391615505977,3.9674264865452207
ft_hsbo,FT-HSBO,large,80-D,7,20,1.0,42.69166869025442,16.895402577594396,32.03097275150584,55.62544793756858,3.7779268670726234
ft_hsbo,FT-HSBO,large,80-D,8,20,1.0,42.69166869025442,16.895402577594396,32.03097275150584,55.62544793756858,3.7779268670726234
ft_hsbo,FT-HSBO,large,80-D,9,20,1.0,42.69166869025442,16.895402577594396,32.03097275150584,55.62544793756858,3.7779268670726234
ft_hsbo,FT-HSBO,large,80-D,10,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,11,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,12,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,13,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,14,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,15,20,1.0,51.66397244729467,10.823820211317846,45.39815631837655,61.647528610591635,2.4202797768742843
ft_hsbo,FT-HSBO,large,80-D,16,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,17,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,18,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,19,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,20,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,21,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,22,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,23,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,24,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,25,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,26,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,27,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,28,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,29,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,30,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,31,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,32,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,33,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,34,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,35,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,36,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,37,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,38,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,39,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,40,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,41,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,42,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,43,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,44,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,45,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,46,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,47,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,48,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,49,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,50,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,51,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,52,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,53,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,54,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,55,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,56,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,57,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,58,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,59,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,60,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,61,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,62,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,63,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,64,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,65,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,66,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,67,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,68,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
