experiment,scale,channel_model,method,budget,num_seeds,mean_utility,std_utility,median_utility,max_utility,success_rate,mean_first_feasible,median_first_feasible,feasible_eval_rate,mean_served_priority,std_served_priority,mean_served_ratio,std_served_ratio,mean_outage_ratio,mean_energy,window_width,rate_threshold_mbps
rate_low,medium,distance,ft_hsbo,300,10,106.79016771356632,22.57146363120967,107.30590202315656,138.4482600887063,1.0,1.0,1.0,0.3793333333333333,109.04099181579932,22.362180197306888,0.525,0.1086533734200441,0.0130038211788211,125.08241022329868,30.0,8.0
rate_medium,medium,distance,ft_hsbo,300,10,64.60872041982294,24.588788634131888,57.67243398217087,109.98370302775028,1.0,1.0,1.0,0.1546666666666666,66.18283795981696,24.34705402981732,0.305,0.1039497741967511,0.1425110241610241,137.4117539994031,30.0,12.0
rate_high,medium,distance,ft_hsbo,300,10,39.06537602143699,12.468554558766591,36.83418767870155,67.2309635820097,1.0,1.0,1.0,0.0436666666666666,40.9220502524248,12.199351522408326,0.1649999999999999,0.0474341649025256,0.199084064084064,145.66742309878043,30.0,15.0
rate_low,medium,distance,max_rate_greedy,300,10,76.95138792066453,29.249626101166776,69.05478938299426,138.4482600887063,1.0,1.0,1.0,0.424,81.01869974925513,28.19372437908829,0.38,0.1273664878302853,0.0221603174603174,166.73118285905915,30.0,8.0
rate_medium,medium,distance,max_rate_greedy,300,10,48.53383758198223,19.51803483303613,44.78119583722156,88.21113830157083,1.0,1.0,1.0,0.1773333333333333,51.19420271459065,19.672341180660386,0.235,0.085146931829632,0.1771207459207459,166.03651326084133,30.0,12.0
rate_high,medium,distance,max_rate_greedy,300,10,30.598806496287807,8.117081781772503,29.764022964428403,42.75925443463416,1.0,1.0,1.0,0.0346666666666666,32.680083954737185,8.49729429868454,0.1349999999999999,0.0337474278855276,0.2336435925185924,168.12774584493815,30.0,15.0
rate_low,medium,distance,edf_rate_greedy,300,10,61.43579306522711,27.36424703992729,61.36540497170598,113.44870735246928,1.0,1.0,1.0,0.4076666666666667,64.54753639035778,26.8466365983567,0.2999999999999999,0.1269295517643985,0.0236008537758537,171.174332513068,30.0,8.0
rate_medium,medium,distance,edf_rate_greedy,300,10,38.94853816525057,22.543493801598025,36.5803279063834,84.24871376370612,1.0,1.2,1.0,0.1516666666666666,41.87653800997463,22.141102561409507,0.195,0.0984603699182795,0.1708438746438746,172.79998447240604,30.0,12.0
rate_high,medium,distance,edf_rate_greedy,300,10,16.742536701471742,11.090356654560672,14.852464823394191,38.08148689778473,1.0,1.6,1.0,0.0266666666666666,19.076394418740644,11.173682956365331,0.085,0.0474341649025256,0.2283919367669367,173.3857717268902,30.0,15.0
rate_low,medium,distance,de_rp,300,10,40.71637268271433,6.5017727882986405,39.9428600446257,53.84482000838668,1.0,1.0,1.0,0.4873333333333333,45.90473397462237,6.577164032757112,0.195,0.0283823106098773,0.00770291005291,178.83612919080434,30.0,8.0
rate_medium,medium,distance,de_rp,300,10,31.42328834569245,5.708105234181637,31.37193355852311,44.99344322291105,1.0,1.0,1.0,0.2706666666666666,36.63967231909716,7.171334436597448,0.1499999999999999,0.0235702260395515,0.0816345478595478,161.63839734047187,30.0,12.0
rate_high,medium,distance,de_rp,300,10,11.657270594661965,5.581003684309956,10.314007379800074,23.79838588248321,1.0,46.0,32.0,0.0336666666666666,15.77275656350451,5.840774160864922,0.065,0.0241522945769823,0.1148103174603174,191.54859688425452,30.0,15.0
rate_low,medium,distance,full_space_bo,300,10,23.35109609943801,4.748102537270554,24.11007790695763,32.243678037877686,1.0,16.5,15.5,0.26,25.858003201895947,4.880516722787211,0.11,0.0210818510677891,0.0111333333333333,210.69071024579347,30.0,8.0
rate_medium,medium,distance,full_space_bo,300,10,10.906107945845807,1.843303008515752,11.421583039809487,13.062546894765587,1.0,61.4,66.0,0.054,13.152368926890102,1.8010221578507468,0.05,7.314236392868129e-18,0.0881888888888888,204.6260981044295,30.0,12.0
rate_high,medium,distance,full_space_bo,300,10,1.8695023199627052,3.256715248347468,0.0,9.154790724863831,0.3,102.0,82.0,0.0016666666666666,3.04387388840416,5.09192494076573,0.015,0.0241522945769824,0.0691111111111111,244.50092643081436,30.0,15.0
