method,method_id,scale,dimension,seed,budget,utility,best_eval_idx,success,first_feasible_index,positive_eval_rate,served_ratio,served_priority,served_count,outage_ratio_mean,energy_at_best,channel_model,window_width,rate_threshold_mbps,source_log
RS,rs,medium,40-D,0,300,7.44017,107,True,107.0,0.003333,0.05,9.799879,1,0.043167,235.970911,distance,30.0,15.0,logs/main/medium/rs/seed_0.csv
RS,rs,medium,40-D,1,300,7.38232,64,True,64.0,0.006667,0.05,11.53866,1,0.085722,215.634032,distance,30.0,15.0,logs/main/medium/rs/seed_1.csv
RS,rs,medium,40-D,2,300,0.0,1,False,,0.0,0.0,0.0,0,0.078611,203.328531,distance,30.0,15.0,logs/main/medium/rs/seed_2.csv
RS,rs,medium,40-D,3,300,9.292545,109,True,109.0,0.003333,0.05,11.300902,1,0.055111,200.835677,distance,30.0,15.0,logs/main/medium/rs/seed_3.csv
RS,rs,medium,40-D,4,300,0.0,1,False,,0.0,0.0,0.0,0,0.081389,327.011527,distance,30.0,15.0,logs/main/medium/rs/seed_4.csv
RS,rs,medium,40-D,5,300,10.176896,106,True,106.0,0.006667,0.05,12.074956,1,0.030278,189.805993,distance,30.0,15.0,logs/main/medium/rs/seed_5.csv
RS,rs,medium,40-D,6,300,0.0,1,False,,0.0,0.0,0.0,0,0.038333,269.93509,distance,30.0,15.0,logs/main/medium/rs/seed_6.csv
RS,rs,medium,40-D,7,300,0.0,1,False,,0.0,0.0,0.0,0,0.052611,225.196931,distance,30.0,15.0,logs/main/medium/rs/seed_7.csv
RS,rs,medium,40-D,8,300,0.0,1,False,,0.0,0.0,0.0,0,0.0515,198.624906,distance,30.0,15.0,logs/main/medium/rs/seed_8.csv
RS,rs,medium,40-D,9,300,4.723561,211,True,211.0,0.003333,0.05,7.195767,1,0.038611,247.220558,distance,30.0,15.0,logs/main/medium/rs/seed_9.csv
RS,rs,medium,40-D,10,300,0.0,1,False,,0.0,0.0,0.0,0,0.0625,279.707801,distance,30.0,15.0,logs/main/medium/rs/seed_10.csv
RS,rs,medium,40-D,11,300,5.599029,176,True,176.0,0.003333,0.05,13.05136,1,0.050556,145.233129,distance,30.0,15.0,logs/main/medium/rs/seed_11.csv
RS,rs,medium,40-D,12,300,7.026488,79,True,79.0,0.003333,0.05,9.19007,1,0.025556,216.358231,distance,30.0,15.0,logs/main/medium/rs/seed_12.csv
RS,rs,medium,40-D,13,300,0.0,1,False,,0.0,0.0,0.0,0,0.034556,271.633159,distance,30.0,15.0,logs/main/medium/rs/seed_13.csv
RS,rs,medium,40-D,14,300,10.392935,180,True,180.0,0.003333,0.05,14.263955,1,0.098611,187.102028,distance,30.0,15.0,logs/main/medium/rs/seed_14.csv
RS,rs,medium,40-D,15,300,0.0,1,False,,0.0,0.0,0.0,0,0.049,242.071706,distance,30.0,15.0,logs/main/medium/rs/seed_15.csv
RS,rs,medium,40-D,16,300,7.110085,286,True,286.0,0.003333,0.05,11.768944,1,0.056444,265.885826,distance,30.0,15.0,logs/main/medium/rs/seed_16.csv
RS,rs,medium,40-D,17,300,2.523067,53,True,53.0,0.003333,0.05,6.713636,1,0.085889,219.056876,distance,30.0,15.0,logs/main/medium/rs/seed_17.csv
RS,rs,medium,40-D,18,300,0.0,1,False,,0.0,0.0,0.0,0,0.046389,241.174941,distance,30.0,15.0,logs/main/medium/rs/seed_18.csv
RS,rs,medium,40-D,19,300,0.0,1,False,,0.0,0.0,0.0,0,0.070556,200.845394,distance,30.0,15.0,logs/main/medium/rs/seed_19.csv
RS,rs,large,80-D,0,300,2.503562,98,True,98.0,0.01,0.025,6.995154,1,0.076437,449.159286,distance,30.0,15.0,logs/main/large/rs/seed_0.csv
RS,rs,large,80-D,1,300,2.133648,116,True,116.0,0.006667,0.025,7.950064,1,0.042952,381.641667,distance,30.0,15.0,logs/main/large/rs/seed_1.csv
RS,rs,large,80-D,2,300,0.0,1,False,,0.0,0.0,0.0,0,0.075389,333.389398,distance,30.0,15.0,logs/main/large/rs/seed_2.csv
RS,rs,large,80-D,3,300,0.0,1,False,,0.0,0.0,0.0,0,0.092488,345.262483,distance,30.0,15.0,logs/main/large/rs/seed_3.csv
RS,rs,large,80-D,4,300,0.0,1,False,,0.0,0.0,0.0,0,0.020583,511.023389,distance,30.0,15.0,logs/main/large/rs/seed_4.csv
RS,rs,large,80-D,5,300,0.0,1,False,,0.0,0.0,0.0,0,0.068103,348.989063,distance,30.0,15.0,logs/main/large/rs/seed_5.csv
RS,rs,large,80-D,6,300,5.301778,223,True,223.0,0.003333,0.025,11.694432,1,0.044234,439.265397,distance,30.0,15.0,logs/main/large/rs/seed_6.csv
RS,rs,large,80-D,7,300,0.0,1,False,,0.0,0.0,0.0,0,0.072827,333.943947,distance,30.0,15.0,logs/main/large/rs/seed_7.csv
RS,rs,large,80-D,8,300,0.0,1,False,,0.0,0.0,0.0,0,0.061058,318.019588,distance,30.0,15.0,logs/main/large/rs/seed_8.csv
RS,rs,large,80-D,9,300,3.926563,114,True,114.0,0.003333,0.025,14.383344,1,0.07654,445.678065,distance,30.0,15.0,logs/main/large/rs/seed_9.csv
RS,rs,large,80-D,10,300,3.243478,293,True,218.0,0.006667,0.025,10.742176,1,0.069865,349.869809,distance,30.0,15.0,logs/main/large/rs/seed_10.csv
RS,rs,large,80-D,11,300,2.435981,87,True,58.0,0.01,0.025,6.156604,1,0.104937,372.062308,distance,30.0,15.0,logs/main/large/rs/seed_11.csv
RS,rs,large,80-D,12,300,11.091775,197,True,124.0,0.006667,0.025,13.720295,1,0.073282,262.852003,distance,30.0,15.0,logs/main/large/rs/seed_12.csv
RS,rs,large,80-D,13,300,6.908361,92,True,92.0,0.006667,0.025,14.340886,1,0.06023,343.252465,distance,30.0,15.0,logs/main/large/rs/seed_13.csv
RS,rs,large,80-D,14,300,2.167645,114,True,114.0,0.006667,0.025,5.724933,1,0.110902,355.728806,distance,30.0,15.0,logs/main/large/rs/seed_14.csv
RS,rs,large,80-D,15,300,6.310544,8,True,8.0,0.003333,0.025,11.609436,1,0.063044,329.889245,distance,30.0,15.0,logs/main/large/rs/seed_15.csv
RS,rs,large,80-D,16,300,0.0,1,False,,0.0,0.0,0.0,0,0.08875,329.991933,distance,30.0,15.0,logs/main/large/rs/seed_16.csv
RS,rs,large,80-D,17,300,0.0,1,False,,0.0,0.0,0.0,0,0.065373,357.146124,distance,30.0,15.0,logs/main/large/rs/seed_17.csv
RS,rs,large,80-D,18,300,0.0,1,False,,0.0,0.0,0.0,0,0.07844,416.333303,distance,30.0,15.0,logs/main/large/rs/seed_18.csv
RS,rs,large,80-D,19,300,5.946902,22,True,22.0,0.01,0.025,9.539364,1,0.085135,359.246189,distance,30.0,15.0,logs/main/large/rs/seed_19.csv
Full BO,full_space_bo,medium,40-D,0,300,0.0,1,False,,0.0,0.0,0.0,0,0.080556,232.442909,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_0.csv
Full BO,full_space_bo,medium,40-D,1,300,0.0,1,False,,0.0,0.0,0.0,0,0.088611,190.475429,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_1.csv
Full BO,full_space_bo,medium,40-D,2,300,0.0,1,False,,0.0,0.0,0.0,0,0.081722,281.762372,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_2.csv
Full BO,full_space_bo,medium,40-D,3,300,9.154791,125,True,67.0,0.01,0.05,11.300902,1,0.107333,214.611127,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_3.csv
Full BO,full_space_bo,medium,40-D,4,300,0.0,1,False,,0.0,0.0,0.0,0,0.0865,215.008947,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_4.csv
Full BO,full_space_bo,medium,40-D,5,300,0.0,1,False,,0.0,0.0,0.0,0,0.039833,256.546703,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_5.csv
Full BO,full_space_bo,medium,40-D,6,300,5.507655,82,True,82.0,0.003333,0.05,12.322298,1,0.065556,281.464278,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_6.csv
Full BO,full_space_bo,medium,40-D,7,300,0.0,1,False,,0.0,0.0,0.0,0,0.049833,287.050355,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_7.csv
Full BO,full_space_bo,medium,40-D,8,300,4.032578,157,True,157.0,0.003333,0.05,6.815539,1,0.047333,278.296163,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_8.csv
Full BO,full_space_bo,medium,40-D,9,300,0.0,1,False,,0.0,0.0,0.0,0,0.043833,207.350981,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_9.csv
Full BO,full_space_bo,medium,40-D,10,300,2.136398,151,True,151.0,0.003333,0.05,6.494149,1,0.089389,235.775109,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_10.csv
Full BO,full_space_bo,medium,40-D,11,300,7.280017,41,True,41.0,0.003333,0.05,11.973611,1,0.099944,269.359365,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_11.csv
Full BO,full_space_bo,medium,40-D,12,300,4.752526,282,True,282.0,0.006667,0.05,9.19007,1,0.069167,243.754437,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_12.csv
Full BO,full_space_bo,medium,40-D,13,300,6.762446,274,True,274.0,0.003333,0.05,9.188298,1,0.042333,242.585235,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_13.csv
Full BO,full_space_bo,medium,40-D,14,300,0.0,1,False,,0.0,0.0,0.0,0,0.0755,214.025643,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_14.csv
Full BO,full_space_bo,medium,40-D,15,300,0.0,1,False,,0.0,0.0,0.0,0,0.034111,237.9642,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_15.csv
Full BO,full_space_bo,medium,40-D,16,300,0.0,1,False,,0.0,0.0,0.0,0,0.055667,276.194531,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_16.csv
Full BO,full_space_bo,medium,40-D,17,300,0.0,1,False,,0.0,0.0,0.0,0,0.079222,233.643425,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_17.csv
Full BO,full_space_bo,medium,40-D,18,300,0.0,1,False,,0.0,0.0,0.0,0,0.043722,277.957363,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_18.csv
Full BO,full_space_bo,medium,40-D,19,300,0.0,1,False,,0.0,0.0,0.0,0,0.068333,270.358701,distance,30.0,15.0,logs/main/medium/full_space_bo/seed_19.csv
Full BO,full_space_bo,large,80-D,0,300,0.0,1,False,,0.0,0.0,0.0,0,0.078159,367.866649,distance,30.0,15.0,logs/main/large/full_space_bo/seed_0.csv
Full BO,full_space_bo,large,80-D,1,300,0.0,1,False,,0.0,0.0,0.0,0,0.036952,347.587885,distance,30.0,15.0,logs/main/large/full_space_bo/seed_1.csv
Full BO,full_space_bo,large,80-D,2,300,4.761811,2,True,2.0,0.003333,0.025,7.9615,1,0.06978,319.968905,distance,30.0,15.0,logs/main/large/full_space_bo/seed_2.csv
