iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.08372869994491339,bo,1,large
2,0.0,0.0,False,0,1,0.08639919990673661,bo,1,large
3,0.0,0.0,False,0,1,0.0897220999468118,bo,1,large
4,0.0,0.0,False,2,1,0.09275899990461767,bo,1,large
5,0.0,0.0,False,0,1,0.09509819990489632,bo,1,large
6,0.0,0.0,False,0,1,0.09765989996958524,bo,1,large
7,0.0,0.0,False,0,1,0.1001153999241069,bo,1,large
8,0.0,0.0,False,1,1,0.10288859996944666,bo,1,large
9,0.0,0.0,False,0,1,0.10524909989908338,bo,1,large
10,0.0,0.0,False,0,1,0.107572199893184,bo,1,large
11,0.0,0.0,False,0,1,0.11002229992300272,bo,1,large
12,0.0,0.0,False,0,1,0.11231839994434267,bo,1,large
13,0.0,0.0,False,0,1,0.11463749990798533,bo,1,large
14,0.0,0.0,False,0,1,0.11692149995360523,bo,1,large
15,0.0,0.0,False,1,1,0.11934589990414679,bo,1,large
16,0.0,0.0,False,1,1,0.12174859992228448,bo,1,large
17,0.0,0.0,False,0,1,0.1248493999009952,bo,1,large
18,0.0,0.0,False,0,1,0.12730709998868406,bo,1,large
19,0.0,0.0,False,0,1,0.12972909992095083,bo,1,large
20,0.0,0.0,False,1,1,0.320614599972032,bo,1,large
21,0.0,0.0,False,0,1,0.5102981999516487,bo,1,large
22,0.0,0.0,False,0,1,0.6946718998951837,bo,1,large
23,0.0,0.0,False,0,1,0.8685479999985546,bo,1,large
24,0.0,0.0,False,0,1,1.0502987999934703,bo,1,large
25,0.0,0.0,False,0,1,1.238485399982892,bo,1,large
26,0.0,0.0,False,0,1,1.4409725998993963,bo,1,large
27,0.0,0.0,False,0,1,1.6382154999300838,bo,1,large
28,0.0,0.0,False,0,1,1.8327151999110356,bo,1,large
29,0.0,0.0,False,0,1,2.0246655999217182,bo,1,large
30,0.0,0.0,False,1,1,2.216459299903363,bo,1,large
31,0.0,0.0,False,0,1,2.4746427999343723,bo,1,large
32,0.0,0.0,False,0,1,2.6726101998938248,bo,1,large
33,0.0,0.0,False,1,1,2.873496799962595,bo,1,large
34,0.0,0.0,False,0,1,3.066562099964358,bo,1,large
35,0.0,0.0,False,0,1,3.2550694999517873,bo,1,large
36,0.0,0.0,False,0,1,3.466397799900733,bo,1,large
37,0.0,0.0,False,1,1,3.6797001999802887,bo,1,large
38,0.0,0.0,False,0,1,3.884803199907765,bo,1,large
39,0.0,0.0,False,1,1,4.085719899972901,bo,1,large
40,0.0,0.0,False,0,1,4.283109699958004,bo,1,large
41,0.0,0.0,False,0,1,4.525140399928205,bo,1,large
42,0.0,0.0,False,0,1,4.775838399888016,bo,1,large
43,0.0,0.0,False,0,1,5.034294999903068,bo,1,large
44,0.0,0.0,False,0,1,5.27992609993089,bo,1,large
45,0.0,0.0,False,0,1,5.538085299893282,bo,1,large
46,0.0,0.0,False,0,1,5.828264099895023,bo,1,large
47,0.0,0.0,False,0,1,6.107806799933314,bo,1,large
48,0.0,0.0,False,0,1,6.395956799970008,bo,1,large
49,0.0,0.0,False,0,1,6.6682798999827355,bo,1,large
50,0.0,0.0,False,0,1,6.960074599948712,bo,1,large
51,0.0,0.0,False,0,1,7.255922299926169,bo,1,large
52,0.0,0.0,False,0,1,7.55813339992892,bo,1,large
53,0.0,0.0,False,0,1,7.84313850000035,bo,1,large
54,0.0,0.0,False,0,1,8.153869199915789,bo,1,large
55,0.0,0.0,False,0,1,8.488109199912287,bo,1,large
56,0.0,0.0,False,0,1,8.806852099951357,bo,1,large
57,0.0,0.0,False,0,1,9.112363399937749,bo,1,large
58,0.0,0.0,False,0,1,9.48051179992035,bo,1,large
59,0.0,0.0,False,0,1,9.839377099997364,bo,1,large
60,0.0,0.0,False,0,1,10.183080999995582,bo,1,large
61,0.0,0.0,False,0,1,10.509976099943742,bo,1,large
62,0.0,0.0,False,0,1,10.883407399989665,bo,1,large
63,0.0,0.0,False,0,1,11.260240099974908,bo,1,large
64,0.0,0.0,False,0,1,11.61378719995264,bo,1,large
65,0.0,0.0,False,0,1,11.998243999900296,bo,1,large
66,0.0,0.0,False,0,1,12.385120199993253,bo,1,large
67,0.0,0.0,False,0,1,12.772431899909861,bo,1,large
