iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0038084000116214156,greedy_reward_density,3,large
2,0.0,0.0,False,0,0,0.0076274999883025885,greedy_reward_density,3,large
3,0.0,0.0,False,0,0,0.011421500006690621,greedy_reward_density,3,large
4,0.0,0.0,False,0,0,0.015624399995431304,greedy_reward_density,3,large
5,0.0,0.0,False,0,0,0.019566700095310807,greedy_reward_density,3,large
6,0.0,0.0,False,0,0,0.023488900042138994,greedy_reward_density,3,large
7,0.0,0.0,False,0,0,0.02738169999793172,greedy_reward_density,3,large
8,0.0,0.0,False,0,0,0.03174470004159957,greedy_reward_density,3,large
9,0.0,0.0,False,0,0,0.03856650006491691,greedy_reward_density,3,large
10,0.0,0.0,False,0,0,0.04750970005989075,greedy_reward_density,3,large
11,0.0,0.0,False,0,0,0.0514440000988543,greedy_reward_density,3,large
12,0.0,0.0,False,0,0,0.05542370001785457,greedy_reward_density,3,large
13,0.0,0.0,False,0,0,0.06097530003171414,greedy_reward_density,3,large
14,0.0,0.0,False,0,0,0.06510000000707805,greedy_reward_density,3,large
15,0.0,0.0,False,0,0,0.0691170000936836,greedy_reward_density,3,large
16,0.0,0.0,False,0,0,0.07323490001726896,greedy_reward_density,3,large
17,0.0,0.0,False,0,0,0.07757130009122193,greedy_reward_density,3,large
18,0.0,0.0,False,0,0,0.0816439000191167,greedy_reward_density,3,large
19,0.0,0.0,False,0,0,0.08587599999736995,greedy_reward_density,3,large
20,0.0,0.0,False,0,0,0.0899782000342384,greedy_reward_density,3,large
21,0.0,0.0,False,0,0,0.0942480000667274,greedy_reward_density,3,large
22,0.0,0.0,False,0,0,0.0983926000772044,greedy_reward_density,3,large
23,0.0,0.0,False,0,0,0.1024579000659287,greedy_reward_density,3,large
24,0.0,0.0,False,0,0,0.10618820006493479,greedy_reward_density,3,large
25,0.0,0.0,False,0,0,0.11025370005518198,greedy_reward_density,3,large
26,0.0,0.0,False,0,0,0.11424670007545501,greedy_reward_density,3,large
27,0.0,0.0,False,0,0,0.11801390000618994,greedy_reward_density,3,large
28,0.0,0.0,False,0,0,0.12168109999038279,greedy_reward_density,3,large
29,0.0,0.0,False,0,0,0.12576970004010946,greedy_reward_density,3,large
30,0.0,0.0,False,0,0,0.1296066000359133,greedy_reward_density,3,large
31,0.0,0.0,False,0,0,0.13341300003230572,greedy_reward_density,3,large
32,0.0,0.0,False,0,0,0.13723590003792197,greedy_reward_density,3,large
