iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.03817760001402348,hsbo,1,large
2,0.0,0.0,False,0,1,0.03848190000280738,hsbo,1,large
3,0.0,0.0,False,0,1,0.03877480002120137,hsbo,1,large
4,0.0,0.0,False,0,1,0.03906400001142174,hsbo,1,large
5,0.0,0.0,False,0,1,0.039402400027029216,hsbo,1,large
6,0.0,0.0,False,0,1,0.03971409995574504,hsbo,1,large
7,0.0,0.0,False,0,1,0.04024080000817776,hsbo,1,large
8,0.0,0.0,False,0,1,0.04056500003207475,hsbo,1,large
9,0.0,0.0,False,0,1,0.040845599956810474,hsbo,1,large
10,0.0,0.0,False,0,1,0.041123999981209636,hsbo,1,large
11,0.0,0.0,False,0,1,0.08770689996890724,hsbo,1,large
12,0.0,0.0,False,0,1,0.08799390005879104,hsbo,1,large
13,0.0,0.0,False,0,1,0.08827840001322329,hsbo,1,large
14,0.0,0.0,False,0,1,0.08856629999354482,hsbo,1,large
15,0.0,0.0,False,0,1,0.13512220000848174,hsbo,1,large
16,0.0,0.0,False,1,1,0.13540829997509718,hsbo,1,large
17,0.0,0.0,False,0,1,0.13568109995685518,hsbo,1,large
18,0.0,0.0,False,1,1,0.13595240004360676,hsbo,1,large
19,0.0,0.0,False,1,1,0.18454829999245703,hsbo,1,large
20,0.0,0.0,False,0,1,0.18483659997582436,hsbo,1,large
21,0.0,0.0,False,0,1,0.2027838999638334,hsbo,1,large
22,0.0,0.0,False,0,1,0.203071300056763,hsbo,1,large
23,0.0,0.0,False,0,1,0.20335880003403872,hsbo,1,large
24,0.0,0.0,False,0,1,0.20370750001166016,hsbo,1,large
25,0.0,0.0,False,0,1,0.203994799987413,hsbo,1,large
26,0.0,0.0,False,1,1,0.20428159995935857,hsbo,1,large
27,0.0,0.0,False,0,1,0.2045656000263989,hsbo,1,large
28,0.0,0.0,False,0,1,0.2048499999800697,hsbo,1,large
29,0.0,0.0,False,0,1,0.20513140002731234,hsbo,1,large
30,0.0,0.0,False,1,1,0.20541090006008744,hsbo,1,large
31,0.0,0.0,False,0,1,0.2527358999941498,hsbo,1,large
32,0.0,0.0,False,1,1,0.2530242999782786,hsbo,1,large
33,0.0,0.0,False,2,1,0.25330580002628267,hsbo,1,large
34,0.0,0.0,False,0,1,0.25358400004915893,hsbo,1,large
35,0.0,0.0,False,0,1,0.3028088000137359,hsbo,1,large
36,0.0,0.0,False,0,1,0.3030826000031084,hsbo,1,large
37,0.0,0.0,False,0,1,0.3033539999742061,hsbo,1,large
38,0.0,0.0,False,0,1,0.303618700010702,hsbo,1,large
39,0.0,0.0,False,0,1,0.3520424000453204,hsbo,1,large
40,0.0,0.0,False,0,1,0.3523154000286013,hsbo,1,large
41,0.0,0.0,False,2,1,0.3691844999557361,hsbo,1,large
42,0.0,0.0,False,0,1,0.3694680000189692,hsbo,1,large
43,0.0,0.0,False,0,1,0.3697365999687463,hsbo,1,large
44,0.0,0.0,False,0,1,0.36999969999305904,hsbo,1,large
45,0.0,0.0,False,1,1,0.37027089996263385,hsbo,1,large
46,0.0,0.0,False,0,1,0.3705367000075057,hsbo,1,large
47,0.0,0.0,False,1,1,0.37080899998545647,hsbo,1,large
48,0.0,0.0,False,1,1,0.3710826999740675,hsbo,1,large
49,0.0,0.0,False,1,1,0.3713526000501588,hsbo,1,large
50,0.0,0.0,False,0,1,0.37162170000374317,hsbo,1,large
51,0.0,0.0,False,1,1,0.4178661999758333,hsbo,1,large
52,0.0,0.0,False,0,1,0.4181493000360206,hsbo,1,large
53,0.0,0.0,False,0,1,0.4184188999934122,hsbo,1,large
54,0.0,0.0,False,0,1,0.41868690005503595,hsbo,1,large
55,0.0,0.0,False,0,1,0.46549039997626096,hsbo,1,large
56,0.0,0.0,False,0,1,0.4657700000097975,hsbo,1,large
57,0.0,0.0,False,0,1,0.4660384999588132,hsbo,1,large
58,0.0,0.0,False,0,1,0.46630510000977665,hsbo,1,large
59,0.0,0.0,False,0,1,0.5135898999869823,hsbo,1,large
60,0.0,0.0,False,1,1,0.513881599996239,hsbo,1,large
61,0.0,0.0,False,1,1,0.5312919999705628,hsbo,1,large
62,0.0,0.0,False,0,1,0.5315845999866724,hsbo,1,large
63,0.0,0.0,False,1,1,0.5318700999487191,hsbo,1,large
64,0.0,0.0,False,0,1,0.5321477999677882,hsbo,1,large
65,0.0,0.0,False,1,1,0.5324335000477731,hsbo,1,large
66,0.0,0.0,False,0,1,0.5327114999527112,hsbo,1,large
67,0.0,0.0,False,0,1,0.5329897999763489,hsbo,1,large
68,0.0,0.0,False,0,1,0.5332656999817118,hsbo,1,large
69,0.0,0.0,False,0,1,0.5335443000076339,hsbo,1,large
70,0.0,0.0,False,0,1,0.5338202000129968,hsbo,1,large
71,0.0,0.0,False,0,1,0.5800160999642685,hsbo,1,large
72,0.0,0.0,False,0,1,0.5803039000602439,hsbo,1,large
73,0.0,0.0,False,0,1,0.5805855999933556,hsbo,1,large
74,0.0,0.0,False,1,1,0.5808679000474513,hsbo,1,large
75,0.0,0.0,False,0,1,0.624977600062266,hsbo,1,large
76,0.0,0.0,False,1,1,0.6252669000532478,hsbo,1,large
77,0.0,0.0,False,0,1,0.6255462999688461,hsbo,1,large
78,0.0,0.0,False,0,1,0.6258207999635488,hsbo,1,large
79,0.0,0.0,False,0,1,0.6712890999624506,hsbo,1,large
80,0.0,0.0,False,0,1,0.6715619000606239,hsbo,1,large
81,0.0,0.0,False,4,1,0.6877400999655947,hsbo,1,large
82,0.0,0.0,False,1,1,0.6880268000531942,hsbo,1,large
83,0.0,0.0,False,0,1,0.6883092999923974,hsbo,1,large
84,0.0,0.0,False,0,1,0.6885968999704346,hsbo,1,large
85,0.0,0.0,False,0,1,0.6888739999849349,hsbo,1,large
86,0.0,0.0,False,0,1,0.6891389000229537,hsbo,1,large
87,0.0,0.0,False,0,1,0.6894071999704465,hsbo,1,large
88,0.0,0.0,False,0,1,0.6896724000107497,hsbo,1,large
89,0.0,0.0,False,0,1,0.6899381000548601,hsbo,1,large
90,0.0,0.0,False,1,1,0.6902047999901697,hsbo,1,large
91,0.0,0.0,False,0,1,0.7362805999582633,hsbo,1,large
92,0.0,0.0,False,0,1,0.7365685000550002,hsbo,1,large
93,0.0,0.0,False,0,1,0.736908599967137,hsbo,1,large
94,0.0,0.0,False,1,1,0.7373402999946848,hsbo,1,large
95,0.0,0.0,False,0,1,0.7825959000037983,hsbo,1,large
96,0.0,0.0,False,1,1,0.7828845999902114,hsbo,1,large
97,0.0,0.0,False,0,1,0.7831675000488758,hsbo,1,large
98,0.0,0.0,False,0,1,0.7834431000519544,hsbo,1,large
99,0.0,0.0,False,0,1,0.8277738000033423,hsbo,1,large
100,0.0,0.0,False,0,1,0.8280483999988064,hsbo,1,large
101,0.0,0.0,False,1,1,0.8450942999916151,hsbo,1,large
102,0.0,0.0,False,0,1,0.8453816999681294,hsbo,1,large
103,0.0,0.0,False,1,1,0.845666200038977,hsbo,1,large
104,0.0,0.0,False,0,1,0.8459449999500066,hsbo,1,large
105,0.0,0.0,False,1,1,0.8462281000101939,hsbo,1,large
106,0.0,0.0,False,0,1,0.8465043000178412,hsbo,1,large
107,0.0,0.0,False,0,1,0.8467832000460476,hsbo,1,large
108,0.0,0.0,False,1,1,0.8470608999487013,hsbo,1,large
109,0.0,0.0,False,0,1,0.8473402999807149,hsbo,1,large
