iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.044521600008010864,bo,3,medium
2,0.0,0.0,False,0,0,0.04601259995251894,bo,3,medium
3,0.0,0.0,False,0,0,0.04736409999895841,bo,3,medium
4,0.0,0.0,False,1,0,0.04889910004567355,bo,3,medium
5,0.0,0.0,False,0,0,0.05030969996005297,bo,3,medium
6,0.0,0.0,False,0,0,0.05168400006368756,bo,3,medium
7,0.0,0.0,False,0,0,0.05311259999871254,bo,3,medium
8,0.0,0.0,False,0,0,0.054642400005832314,bo,3,medium
9,0.0,0.0,False,0,0,0.05606269999407232,bo,3,medium
10,0.0,0.0,False,0,0,0.05750210001133382,bo,3,medium
11,0.0,0.0,False,1,0,0.059032200020737946,bo,3,medium
12,0.0,0.0,False,0,0,0.06113080005161464,bo,3,medium
13,0.0,0.0,False,0,0,0.06273490004241467,bo,3,medium
14,0.0,0.0,False,0,0,0.06410219997633249,bo,3,medium
15,0.0,0.0,False,0,0,0.06562829995527864,bo,3,medium
16,0.0,0.0,False,0,0,0.06718120002187788,bo,3,medium
17,0.0,0.0,False,0,0,0.0688302000053227,bo,3,medium
18,0.0,0.0,False,0,0,0.07019290002062917,bo,3,medium
19,0.0,0.0,False,0,0,0.07168629998341203,bo,3,medium
20,0.0,0.0,False,0,0,0.17313799995463341,bo,3,medium
21,0.0,0.0,False,0,0,0.278684200020507,bo,3,medium
22,0.0,0.0,False,0,0,0.3809169000014663,bo,3,medium
23,0.0,0.0,False,0,0,0.4841646000277251,bo,3,medium
24,0.0,0.0,False,0,0,0.5858362000435591,bo,3,medium
25,0.0,0.0,False,0,0,0.6928736000554636,bo,3,medium
26,0.0,0.0,False,0,0,0.8469709999626502,bo,3,medium
27,0.0,0.0,False,0,0,0.9547924000071362,bo,3,medium
28,0.0,0.0,False,0,0,1.0640241999644786,bo,3,medium
29,0.0,0.0,False,0,0,1.168948599952273,bo,3,medium
30,0.0,0.0,False,0,0,1.2700074999593198,bo,3,medium
31,0.0,0.0,False,0,0,1.380196399986744,bo,3,medium
32,0.0,0.0,False,0,0,1.4928736999863759,bo,3,medium
33,0.0,0.0,False,0,0,1.6121464000316337,bo,3,medium
34,0.0,0.0,False,0,0,1.7358037000522017,bo,3,medium
35,0.0,0.0,False,0,0,1.855084600043483,bo,3,medium
36,0.0,0.0,False,0,0,1.9807307999581099,bo,3,medium
37,0.0,0.0,False,0,0,2.106489700032398,bo,3,medium
38,0.0,0.0,False,1,0,2.239220999996178,bo,3,medium
39,0.0,0.0,False,0,0,2.369895900017582,bo,3,medium
40,0.0,0.0,False,0,0,2.501094000064768,bo,3,medium
41,0.0,0.0,False,0,0,2.630472799995914,bo,3,medium
42,0.0,0.0,False,0,0,2.7616976000135764,bo,3,medium
43,0.0,0.0,False,0,0,2.901962000061758,bo,3,medium
44,0.0,0.0,False,0,0,3.038088300032541,bo,3,medium
45,0.0,0.0,False,0,0,3.178508299984969,bo,3,medium
46,0.0,0.0,False,0,0,3.312618299969472,bo,3,medium
47,0.0,0.0,False,0,0,3.449141800054349,bo,3,medium
48,0.0,0.0,False,0,0,3.5964455000357702,bo,3,medium
49,0.0,0.0,False,0,0,3.7416824999963865,bo,3,medium
50,0.0,0.0,False,1,0,3.8921140000456944,bo,3,medium
51,0.0,0.0,False,0,0,4.034982900018804,bo,3,medium
52,0.0,0.0,False,0,0,4.1871220000321046,bo,3,medium
53,0.0,0.0,False,0,0,4.370361699955538,bo,3,medium
54,0.0,0.0,False,0,0,4.521153699955903,bo,3,medium
55,0.0,0.0,False,0,0,4.68570070003625,bo,3,medium
56,0.0,0.0,False,0,0,4.870974099962041,bo,3,medium
57,0.0,0.0,False,1,0,5.076188700040802,bo,3,medium
58,0.0,0.0,False,0,0,5.290830299956724,bo,3,medium
59,0.0,0.0,False,1,0,5.499773500021547,bo,3,medium
60,0.0,0.0,False,0,0,5.715379500063136,bo,3,medium
61,0.0,0.0,False,0,0,5.931733699981123,bo,3,medium
62,0.0,0.0,False,0,0,6.156604000017978,bo,3,medium
63,0.0,0.0,False,0,0,6.37552650005091,bo,3,medium
64,0.0,0.0,False,0,0,6.601880099973641,bo,3,medium
65,0.0,0.0,False,0,0,6.834173599956557,bo,3,medium
66,0.0,0.0,False,1,0,7.065972300013527,bo,3,medium
67,0.0,0.0,False,0,0,7.314165999996476,bo,3,medium
68,0.0,0.0,False,0,0,7.5557572999969125,bo,3,medium
69,0.0,0.0,False,0,0,7.801720299990848,bo,3,medium
70,0.0,0.0,False,0,0,8.045399300055578,bo,3,medium
71,0.0,0.0,False,0,0,8.294066100032069,bo,3,medium
72,0.0,0.0,False,0,0,8.550112499971874,bo,3,medium
73,0.0,0.0,False,0,0,8.804444000008516,bo,3,medium
74,0.0,0.0,False,0,0,9.07307160005439,bo,3,medium
75,0.0,0.0,False,0,0,9.348568900022656,bo,3,medium
76,0.0,0.0,False,0,0,9.624316900037229,bo,3,medium
77,0.0,0.0,False,1,0,9.898297799983993,bo,3,medium
78,0.0,0.0,False,0,0,10.176762099959888,bo,3,medium
79,0.0,0.0,False,0,0,10.505073699983768,bo,3,medium
80,0.0,0.0,False,0,0,10.793576700030826,bo,3,medium
81,0.0,0.0,False,0,0,11.085540700005367,bo,3,medium
82,0.0,0.0,False,0,0,11.388823700021021,bo,3,medium
83,0.0,0.0,False,0,0,11.688912200042978,bo,3,medium
84,0.0,0.0,False,0,0,12.011103500030003,bo,3,medium
85,0.0,0.0,False,0,0,12.327294999966398,bo,3,medium
86,0.0,0.0,False,0,0,12.649468200048432,bo,3,medium
87,0.0,0.0,False,0,0,12.981674000038765,bo,3,medium
88,0.0,0.0,False,0,0,13.310998099972494,bo,3,medium
89,0.0,0.0,False,0,0,13.643877199967392,bo,3,medium
90,0.0,0.0,False,0,0,13.993332599988207,bo,3,medium
91,0.0,0.0,False,0,0,14.33986459998414,bo,3,medium
92,0.0,0.0,False,0,0,14.686211099964567,bo,3,medium
93,0.0,0.0,False,0,0,15.040521400049329,bo,3,medium
94,0.0,0.0,False,0,0,15.398009399999864,bo,3,medium
