iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0010846999939531088,greedy_distance,3,medium
2,0.0,0.0,False,1,0,0.002082000020891428,greedy_distance,3,medium
3,0.0,0.0,False,0,0,0.003104600007645786,greedy_distance,3,medium
4,0.0,0.0,False,0,0,0.004116900032386184,greedy_distance,3,medium
5,0.0,0.0,False,0,0,0.005104899988509715,greedy_distance,3,medium
6,0.0,0.0,False,0,0,0.006095399963669479,greedy_distance,3,medium
7,0.0,0.0,False,0,0,0.007468299940228462,greedy_distance,3,medium
8,0.0,0.0,False,0,0,0.008602399961091578,greedy_distance,3,medium
9,0.0,0.0,False,0,0,0.009786900016479194,greedy_distance,3,medium
10,0.0,0.0,False,0,0,0.010830899933353066,greedy_distance,3,medium
11,0.0,0.0,False,0,0,0.011829899973236024,greedy_distance,3,medium
12,0.0,0.0,False,0,0,0.012794499984011054,greedy_distance,3,medium
13,0.0,0.0,False,0,0,0.01393020001705736,greedy_distance,3,medium
14,0.0,0.0,False,0,0,0.015053999959491193,greedy_distance,3,medium
15,0.0,0.0,False,0,0,0.016017199959605932,greedy_distance,3,medium
16,0.0,0.0,False,0,0,0.017052399925887585,greedy_distance,3,medium
17,0.0,0.0,False,0,0,0.01806949998717755,greedy_distance,3,medium
18,0.0,0.0,False,0,0,0.019551699981093407,greedy_distance,3,medium
19,0.0,0.0,False,0,0,0.020866399980150163,greedy_distance,3,medium
20,0.0,0.0,False,0,0,0.021928900037892163,greedy_distance,3,medium
21,0.0,0.0,False,0,0,0.023003699956461787,greedy_distance,3,medium
22,0.0,0.0,False,0,0,0.023995099938474596,greedy_distance,3,medium
23,0.0,0.0,False,0,0,0.025014800019562244,greedy_distance,3,medium
24,0.0,0.0,False,0,0,0.026522899977862835,greedy_distance,3,medium
25,0.0,0.0,False,2,0,0.02751639997586608,greedy_distance,3,medium
26,0.0,0.0,False,0,0,0.028798899962566793,greedy_distance,3,medium
27,0.0,0.0,False,0,0,0.029958699946291745,greedy_distance,3,medium
28,0.0,0.0,False,0,0,0.03120560001116246,greedy_distance,3,medium
29,0.0,0.0,False,0,0,0.032988499966450036,greedy_distance,3,medium
30,0.0,0.0,False,0,0,0.0345396000193432,greedy_distance,3,medium
31,0.0,0.0,False,0,0,0.03594109998084605,greedy_distance,3,medium
32,0.0,0.0,False,0,0,0.03718720003962517,greedy_distance,3,medium
33,0.0,0.0,False,0,0,0.03880919993389398,greedy_distance,3,medium
34,0.0,0.0,False,1,0,0.03998859995044768,greedy_distance,3,medium
35,0.0,0.0,False,0,0,0.041054800036363304,greedy_distance,3,medium
36,0.0,0.0,False,0,0,0.042124300030991435,greedy_distance,3,medium
37,0.0,0.0,False,0,0,0.04312519996892661,greedy_distance,3,medium
38,0.0,0.0,False,0,0,0.04440509993582964,greedy_distance,3,medium
39,0.0,0.0,False,0,0,0.04552329995203763,greedy_distance,3,medium
40,0.0,0.0,False,0,0,0.04662010003812611,greedy_distance,3,medium
41,0.0,0.0,False,0,0,0.04787080001551658,greedy_distance,3,medium
42,0.0,0.0,False,0,0,0.04906340001616627,greedy_distance,3,medium
43,0.0,0.0,False,0,0,0.05011509999167174,greedy_distance,3,medium
44,0.0,0.0,False,0,0,0.05134929995983839,greedy_distance,3,medium
45,0.0,0.0,False,0,0,0.05245970003306866,greedy_distance,3,medium
46,0.0,0.0,False,0,0,0.05347689997870475,greedy_distance,3,medium
47,0.0,0.0,False,0,0,0.054456999991089106,greedy_distance,3,medium
48,0.0,0.0,False,0,0,0.05542769993189722,greedy_distance,3,medium
49,0.0,0.0,False,0,0,0.05662389995995909,greedy_distance,3,medium
50,0.0,0.0,False,0,0,0.057677999953739345,greedy_distance,3,medium
51,0.0,0.0,False,0,0,0.05869330000132322,greedy_distance,3,medium
52,0.0,0.0,False,0,0,0.059664899948984385,greedy_distance,3,medium
53,0.0,0.0,False,0,0,0.06062130001373589,greedy_distance,3,medium
54,0.0,0.0,False,0,0,0.061950900009833276,greedy_distance,3,medium
55,0.0,0.0,False,0,0,0.06325220002327114,greedy_distance,3,medium
56,0.0,0.0,False,1,0,0.06427219999022782,greedy_distance,3,medium
57,0.0,0.0,False,0,0,0.06528530002105981,greedy_distance,3,medium
58,0.0,0.0,False,0,0,0.06631819996982813,greedy_distance,3,medium
59,0.0,0.0,False,0,0,0.06729639996774495,greedy_distance,3,medium
60,0.0,0.0,False,1,0,0.06836279993876815,greedy_distance,3,medium
61,0.0,0.0,False,0,0,0.06938140001147985,greedy_distance,3,medium
62,0.0,0.0,False,0,0,0.07040910003706813,greedy_distance,3,medium
63,0.0,0.0,False,0,0,0.07143310003448278,greedy_distance,3,medium
64,0.0,0.0,False,0,0,0.0723519999301061,greedy_distance,3,medium
65,0.0,0.0,False,0,0,0.07334869995247573,greedy_distance,3,medium
66,0.0,0.0,False,0,0,0.0743889999575913,greedy_distance,3,medium
67,0.0,0.0,False,0,0,0.07532119995448738,greedy_distance,3,medium
68,0.0,0.0,False,0,0,0.07621959992684424,greedy_distance,3,medium
69,0.0,0.0,False,0,0,0.07722370000556111,greedy_distance,3,medium
70,0.0,0.0,False,0,0,0.07822999998461455,greedy_distance,3,medium
71,0.0,0.0,False,0,0,0.07948610000312328,greedy_distance,3,medium
72,0.0,0.0,False,0,0,0.08071300003211945,greedy_distance,3,medium
73,0.0,0.0,False,0,0,0.08179680001921952,greedy_distance,3,medium
74,0.0,0.0,False,1,0,0.08292229997459799,greedy_distance,3,medium
75,0.0,0.0,False,0,0,0.08399840001948178,greedy_distance,3,medium
76,0.0,0.0,False,0,0,0.08701250003650784,greedy_distance,3,medium
