iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,115.54568255753325,115.54568255753325,True,4,4,0.006860799971036613,hsbo,6,medium
2,0.0,115.54568255753325,False,0,4,0.007040100055746734,hsbo,6,medium
3,0.0,115.54568255753325,False,0,4,0.007201000000350177,hsbo,6,medium
4,0.0,115.54568255753325,False,0,4,0.007357300026342273,hsbo,6,medium
5,0.0,115.54568255753325,False,2,4,0.007518899976275861,hsbo,6,medium
6,0.0,115.54568255753325,False,1,4,0.007681600051000714,hsbo,6,medium
7,0.0,115.54568255753325,False,0,4,0.007837999961338937,hsbo,6,medium
8,0.0,115.54568255753325,False,0,4,0.007994999992661178,hsbo,6,medium
9,0.0,115.54568255753325,False,0,4,0.008174599963240325,hsbo,6,medium
10,0.0,115.54568255753325,False,0,4,0.008339700056239963,hsbo,6,medium
11,0.0,115.54568255753325,False,0,4,0.08712230005767196,hsbo,6,medium
12,0.0,115.54568255753325,False,1,4,0.08729359996505082,hsbo,6,medium
13,0.0,115.54568255753325,False,1,4,0.08745180000551045,hsbo,6,medium
14,0.0,115.54568255753325,False,2,4,0.08760970004368573,hsbo,6,medium
15,0.0,115.54568255753325,False,1,4,0.13022829999681562,hsbo,6,medium
16,0.0,115.54568255753325,False,0,4,0.13038400001823902,hsbo,6,medium
17,0.0,115.54568255753325,False,0,4,0.1305352000053972,hsbo,6,medium
18,0.0,115.54568255753325,False,1,4,0.13068960001692176,hsbo,6,medium
19,0.0,115.54568255753325,False,0,4,0.17314279999118298,hsbo,6,medium
20,0.0,115.54568255753325,False,0,4,0.17330539994873106,hsbo,6,medium
21,85.61604945045377,115.54568255753325,True,3,4,0.17819700005929917,hsbo,6,medium
22,0.0,115.54568255753325,False,0,4,0.17836470005568117,hsbo,6,medium
23,0.0,115.54568255753325,False,0,4,0.17852830002084374,hsbo,6,medium
24,0.0,115.54568255753325,False,1,4,0.17868280003312975,hsbo,6,medium
25,0.0,115.54568255753325,False,0,4,0.1788366000400856,hsbo,6,medium
26,0.0,115.54568255753325,False,1,4,0.17899609997402877,hsbo,6,medium
27,0.0,115.54568255753325,False,0,4,0.17915680003352463,hsbo,6,medium
28,0.0,115.54568255753325,False,0,4,0.1793092000298202,hsbo,6,medium
29,0.0,115.54568255753325,False,0,4,0.17946010001469404,hsbo,6,medium
30,0.0,115.54568255753325,False,1,4,0.17961660004220903,hsbo,6,medium
31,0.0,115.54568255753325,False,0,4,0.25651179999113083,hsbo,6,medium
32,0.0,115.54568255753325,False,0,4,0.25667060003615916,hsbo,6,medium
33,0.0,115.54568255753325,False,0,4,0.256821500021033,hsbo,6,medium
34,0.0,115.54568255753325,False,0,4,0.25696879997849464,hsbo,6,medium
35,0.0,115.54568255753325,False,0,4,0.304046000004746,hsbo,6,medium
36,0.0,115.54568255753325,False,0,4,0.3042126999935135,hsbo,6,medium
37,0.0,115.54568255753325,False,1,4,0.30437449994497,hsbo,6,medium
38,0.0,115.54568255753325,False,0,4,0.30452949996106327,hsbo,6,medium
39,0.0,115.54568255753325,False,0,4,0.3566857000114396,hsbo,6,medium
40,0.0,115.54568255753325,False,2,4,0.35702969995327294,hsbo,6,medium
41,0.0,115.54568255753325,False,1,4,0.362184299970977,hsbo,6,medium
42,0.0,115.54568255753325,False,1,4,0.36235389998182654,hsbo,6,medium
43,0.0,115.54568255753325,False,0,4,0.3625128000276163,hsbo,6,medium
44,0.0,115.54568255753325,False,0,4,0.36267099995166063,hsbo,6,medium
45,0.0,115.54568255753325,False,0,4,0.3628313000081107,hsbo,6,medium
46,0.0,115.54568255753325,False,0,4,0.3629870000295341,hsbo,6,medium
47,0.0,115.54568255753325,False,0,4,0.3631362000014633,hsbo,6,medium
48,0.0,115.54568255753325,False,0,4,0.3632849999703467,hsbo,6,medium
