iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.04341089993249625,bo,9,medium
2,0.0,0.0,False,0,0,0.04465499997604638,bo,9,medium
3,0.0,0.0,False,0,0,0.04587159992661327,bo,9,medium
4,0.0,0.0,False,0,0,0.04709129990078509,bo,9,medium
5,0.0,0.0,False,0,0,0.04831260000355542,bo,9,medium
6,0.0,0.0,False,0,0,0.04953899991232902,bo,9,medium
7,0.0,0.0,False,0,0,0.050770699977874756,bo,9,medium
8,0.0,0.0,False,0,0,0.051997399888932705,bo,9,medium
9,0.0,0.0,False,0,0,0.05322369991336018,bo,9,medium
10,0.0,0.0,False,0,0,0.0549598999787122,bo,9,medium
11,0.0,0.0,False,0,0,0.05626519990619272,bo,9,medium
12,0.0,0.0,False,0,0,0.05763029993977398,bo,9,medium
13,0.0,0.0,False,0,0,0.05990969995036721,bo,9,medium
14,0.0,0.0,False,0,0,0.06186399993021041,bo,9,medium
15,0.0,0.0,False,0,0,0.06312469998374581,bo,9,medium
16,0.0,0.0,False,0,0,0.06448629999067634,bo,9,medium
17,0.0,0.0,False,0,0,0.06573789997491986,bo,9,medium
18,0.0,0.0,False,0,0,0.06735289993230253,bo,9,medium
19,0.0,0.0,False,1,0,0.06858749990351498,bo,9,medium
20,0.0,0.0,False,0,0,0.16996919992379844,bo,9,medium
21,0.0,0.0,False,0,0,0.27118189993780106,bo,9,medium
22,0.0,0.0,False,0,0,0.37723979994188994,bo,9,medium
23,0.0,0.0,False,0,0,0.48128289997112006,bo,9,medium
24,0.0,0.0,False,0,0,0.5895444999914616,bo,9,medium
25,0.0,0.0,False,0,0,0.693947899970226,bo,9,medium
26,0.0,0.0,False,0,0,0.7984413999365643,bo,9,medium
27,0.0,0.0,False,0,0,0.9028682999778539,bo,9,medium
28,0.0,0.0,False,0,0,1.0120184998959303,bo,9,medium
29,0.0,0.0,False,0,0,1.125632599927485,bo,9,medium
30,0.0,0.0,False,0,0,1.2341398999560624,bo,9,medium
31,0.0,0.0,False,0,0,1.3491336998995394,bo,9,medium
32,0.0,0.0,False,1,0,1.4604752999730408,bo,9,medium
33,0.0,0.0,False,0,0,1.5877952999435365,bo,9,medium
34,0.0,0.0,False,0,0,1.7175977999577299,bo,9,medium
35,0.0,0.0,False,0,0,1.8516310999402776,bo,9,medium
36,0.0,0.0,False,0,0,1.9901181999593973,bo,9,medium
37,0.0,0.0,False,0,0,2.129485399927944,bo,9,medium
38,0.0,0.0,False,0,0,2.2695346999680623,bo,9,medium
39,0.0,0.0,False,0,0,2.41720299993176,bo,9,medium
40,0.0,0.0,False,0,0,2.5602561999112368,bo,9,medium
41,0.0,0.0,False,0,0,2.706453499966301,bo,9,medium
42,0.0,0.0,False,0,0,2.8583982998970896,bo,9,medium
43,0.0,0.0,False,0,0,3.013514699996449,bo,9,medium
44,0.0,0.0,False,0,0,3.1934482998913154,bo,9,medium
45,0.0,0.0,False,0,0,3.3363597999559715,bo,9,medium
46,0.0,0.0,False,0,0,3.4814413998974487,bo,9,medium
47,0.0,0.0,False,0,0,3.6310395000036806,bo,9,medium
48,0.0,0.0,False,0,0,3.7878902999218553,bo,9,medium
49,0.0,0.0,False,0,0,3.9462000998901203,bo,9,medium
50,0.0,0.0,False,1,0,4.111208199989051,bo,9,medium
51,0.0,0.0,False,0,0,4.278947199927643,bo,9,medium
52,0.0,0.0,False,0,0,4.446608899976127,bo,9,medium
53,0.0,0.0,False,0,0,4.613339199917391,bo,9,medium
54,0.0,0.0,False,1,0,4.789102299953811,bo,9,medium
55,0.0,0.0,False,0,0,4.953623199951835,bo,9,medium
56,0.0,0.0,False,0,0,5.131296599982306,bo,9,medium
57,0.0,0.0,False,0,0,5.312060399912298,bo,9,medium
58,0.0,0.0,False,0,0,5.527461999910884,bo,9,medium
59,0.0,0.0,False,1,0,5.752335099969059,bo,9,medium
60,0.0,0.0,False,0,0,5.983775199973024,bo,9,medium
