iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0002300000051036477,ga,6,medium
2,0.0,0.0,False,0,0,0.0003816999960690737,ga,6,medium
3,0.0,0.0,False,0,0,0.0005235000280663371,ga,6,medium
4,0.0,0.0,False,0,0,0.0008676999714225531,ga,6,medium
5,0.0,0.0,False,0,0,0.0010209999745711684,ga,6,medium
6,0.0,0.0,False,0,0,0.0012156999437138438,ga,6,medium
7,0.0,0.0,False,1,0,0.0014045999851077795,ga,6,medium
8,0.0,0.0,False,0,0,0.0015632000286132097,ga,6,medium
9,0.0,0.0,False,1,0,0.0017076999647542834,ga,6,medium
10,0.0,0.0,False,0,0,0.0018843000289052725,ga,6,medium
11,0.0,0.0,False,0,0,0.0020318999886512756,ga,6,medium
12,0.0,0.0,False,0,0,0.0021708999993279576,ga,6,medium
13,0.0,0.0,False,1,0,0.0023113000206649303,ga,6,medium
14,0.0,0.0,False,0,0,0.0024501000298187137,ga,6,medium
15,0.0,0.0,False,0,0,0.002587100025266409,ga,6,medium
16,0.0,0.0,False,1,0,0.002727799932472408,ga,6,medium
17,0.0,0.0,False,0,0,0.002866499940864742,ga,6,medium
18,0.0,0.0,False,0,0,0.0030053999507799745,ga,6,medium
19,0.0,0.0,False,0,0,0.00314539996907115,ga,6,medium
20,0.0,0.0,False,1,0,0.0032878000056371093,ga,6,medium
21,0.0,0.0,False,0,0,0.0034959999611601233,ga,6,medium
22,0.0,0.0,False,0,0,0.0037275999784469604,ga,6,medium
23,0.0,0.0,False,0,0,0.003896899987012148,ga,6,medium
24,0.0,0.0,False,0,0,0.004039400024339557,ga,6,medium
25,0.0,0.0,False,0,0,0.004178900038823485,ga,6,medium
26,0.0,0.0,False,0,0,0.004319199942983687,ga,6,medium
27,0.0,0.0,False,0,0,0.004638899932615459,ga,6,medium
28,0.0,0.0,False,0,0,0.004798799986019731,ga,6,medium
29,0.0,0.0,False,0,0,0.004941400024108589,ga,6,medium
30,0.0,0.0,False,0,0,0.005079900030978024,ga,6,medium
31,0.0,0.0,False,0,0,0.005219099926762283,ga,6,medium
32,0.0,0.0,False,0,0,0.005354900029487908,ga,6,medium
33,0.0,0.0,False,0,0,0.0054926000302657485,ga,6,medium
34,0.0,0.0,False,0,0,0.005629500024951994,ga,6,medium
35,0.0,0.0,False,0,0,0.005766000016592443,ga,6,medium
36,0.0,0.0,False,0,0,0.00590280001051724,ga,6,medium
37,0.0,0.0,False,0,0,0.006038599996827543,ga,6,medium
38,0.0,0.0,False,0,0,0.006174699985422194,ga,6,medium
39,0.0,0.0,False,0,0,0.006310399970971048,ga,6,medium
40,0.0,0.0,False,0,0,0.00644639995880425,ga,6,medium
41,0.0,0.0,False,0,0,0.006716000032611191,ga,6,medium
42,0.0,0.0,False,0,0,0.006884000031277537,ga,6,medium
43,0.0,0.0,False,0,0,0.007029999978840351,ga,6,medium
44,0.0,0.0,False,0,0,0.007164299953728914,ga,6,medium
45,0.0,0.0,False,0,0,0.007298499927856028,ga,6,medium
46,0.0,0.0,False,0,0,0.007429299992509186,ga,6,medium
47,0.0,0.0,False,0,0,0.007560599944554269,ga,6,medium
48,0.0,0.0,False,0,0,0.007691200007684529,ga,6,medium
49,0.0,0.0,False,0,0,0.008841900038532913,ga,6,medium
50,0.0,0.0,False,0,0,0.00897700001951307,ga,6,medium
51,0.0,0.0,False,0,0,0.009110999992117286,ga,6,medium
52,0.0,0.0,False,0,0,0.009242699947208166,ga,6,medium
53,0.0,0.0,False,0,0,0.009373900014907122,ga,6,medium
54,0.0,0.0,False,0,0,0.009503699955530465,ga,6,medium
55,0.0,0.0,False,0,0,0.009633200010284781,ga,6,medium
56,0.0,0.0,False,0,0,0.00976219994481653,ga,6,medium
57,0.0,0.0,False,1,0,0.00989570003002882,ga,6,medium
58,0.0,0.0,False,0,0,0.010027699987404048,ga,6,medium
59,0.0,0.0,False,0,0,0.010158699937164783,ga,6,medium
60,0.0,0.0,False,0,0,0.010288899997249246,ga,6,medium
61,0.0,0.0,False,0,0,0.01041999994777143,ga,6,medium
62,0.0,0.0,False,0,0,0.010549900005571544,ga,6,medium
63,0.0,0.0,False,0,0,0.010679899947717786,ga,6,medium
64,0.0,0.0,False,0,0,0.0108098000055179,ga,6,medium
65,0.0,0.0,False,0,0,0.010938899940811098,ga,6,medium
66,0.0,0.0,False,0,0,0.011069500003941357,ga,6,medium
67,0.0,0.0,False,0,0,0.011197999934665859,ga,6,medium
68,0.0,0.0,False,0,0,0.011326599982567132,ga,6,medium
69,0.0,0.0,False,0,0,0.0114558000350371,ga,6,medium
70,0.0,0.0,False,0,0,0.011585199972614646,ga,6,medium
71,0.0,0.0,False,0,0,0.011714100022800267,ga,6,medium
72,0.0,0.0,False,0,0,0.01184379996266216,ga,6,medium
73,0.0,0.0,False,0,0,0.011971800005994737,ga,6,medium
74,0.0,0.0,False,0,0,0.012100699939765036,ga,6,medium
75,0.0,0.0,False,1,0,0.012233900022692978,ga,6,medium
76,0.0,0.0,False,0,0,0.01236379996407777,ga,6,medium
77,0.0,0.0,False,1,0,0.012497599935159087,ga,6,medium
78,0.0,0.0,False,0,0,0.012634599930606782,ga,6,medium
79,0.0,0.0,False,0,0,0.01276990002952516,ga,6,medium
80,0.0,0.0,False,0,0,0.012900999980047345,ga,6,medium
81,0.0,0.0,False,0,0,0.01303070003632456,ga,6,medium
82,0.0,0.0,False,0,0,0.013159199967049062,ga,6,medium
83,0.0,0.0,False,0,0,0.013289100024849176,ga,6,medium
84,0.0,0.0,False,0,0,0.013418299960903823,ga,6,medium
85,0.0,0.0,False,0,0,0.0135463000042364,ga,6,medium
86,0.0,0.0,False,1,0,0.013680799980647862,ga,6,medium
87,0.0,0.0,False,0,0,0.0138113999273628,ga,6,medium
88,0.0,0.0,False,0,0,0.013941399985924363,ga,6,medium
89,0.0,0.0,False,0,0,0.014071099925786257,ga,6,medium
90,0.0,0.0,False,0,0,0.014201599988155067,ga,6,medium
91,0.0,0.0,False,0,0,0.014331199927255511,ga,6,medium
92,0.0,0.0,False,0,0,0.014460699982009828,ga,6,medium
93,0.0,0.0,False,0,0,0.014589700032956898,ga,6,medium
94,0.0,0.0,False,0,0,0.01472269999794662,ga,6,medium
95,0.0,0.0,False,0,0,0.014853299944661558,ga,6,medium
96,0.0,0.0,False,1,0,0.014986800029873848,ga,6,medium
97,0.0,0.0,False,0,0,0.01609930000267923,ga,6,medium
98,0.0,0.0,False,1,0,0.016400999971665442,ga,6,medium
99,0.0,0.0,False,0,0,0.0165476999245584,ga,6,medium
100,0.0,0.0,False,1,0,0.016689199954271317,ga,6,medium
101,0.0,0.0,False,0,0,0.016832199995405972,ga,6,medium
102,0.0,0.0,False,0,0,0.0169643999543041,ga,6,medium
103,0.0,0.0,False,0,0,0.01709490001667291,ga,6,medium
104,0.0,0.0,False,0,0,0.01722649997100234,ga,6,medium
105,0.0,0.0,False,0,0,0.01735700003337115,ga,6,medium
106,0.0,0.0,False,0,0,0.01748739997856319,ga,6,medium
107,0.0,0.0,False,0,0,0.017617999925278127,ga,6,medium
108,0.0,0.0,False,0,0,0.0177467999747023,ga,6,medium
109,0.0,0.0,False,0,0,0.017875900026410818,ga,6,medium
110,0.0,0.0,False,0,0,0.01800609997007996,ga,6,medium
111,0.0,0.0,False,0,0,0.01813510002102703,ga,6,medium
112,0.0,0.0,False,0,0,0.01826499996241182,ga,6,medium
113,0.0,0.0,False,0,0,0.01839390001259744,ga,6,medium
114,0.0,0.0,False,0,0,0.018521799938753247,ga,6,medium
115,0.0,0.0,False,0,0,0.018658699933439493,ga,6,medium
116,0.0,0.0,False,0,0,0.018793900031596422,ga,6,medium
117,0.0,0.0,False,0,0,0.018926899996586144,ga,6,medium
118,0.0,0.0,False,0,0,0.019056699937209487,ga,6,medium
119,0.0,0.0,False,0,0,0.0191865999950096,ga,6,medium
120,0.0,0.0,False,0,0,0.019318199949339032,ga,6,medium
121,0.0,0.0,False,0,0,0.019448600010946393,ga,6,medium
122,0.0,0.0,False,0,0,0.01957759994547814,ga,6,medium
123,0.0,0.0,False,0,0,0.019708000007085502,ga,6,medium
124,0.0,0.0,False,1,0,0.019841199973598123,ga,6,medium
125,0.0,0.0,False,0,0,0.019981299992650747,ga,6,medium
126,0.0,0.0,False,0,0,0.020223199971951544,ga,6,medium
127,0.0,0.0,False,0,0,0.02037489996291697,ga,6,medium
128,0.0,0.0,False,0,0,0.020521500031463802,ga,6,medium
129,0.0,0.0,False,0,0,0.02066059992648661,ga,6,medium
130,0.0,0.0,False,0,0,0.020799399935640395,ga,6,medium
131,0.0,0.0,False,0,0,0.020937399938702583,ga,6,medium
132,0.0,0.0,False,0,0,0.021073099924251437,ga,6,medium
133,0.0,0.0,False,0,0,0.021208400023169816,ga,6,medium
134,0.0,0.0,False,0,0,0.021343700005672872,ga,6,medium
