iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0010384999914094806,greedy_distance,7,medium
2,0.0,0.0,False,0,0,0.001973400008864701,greedy_distance,7,medium
3,0.0,0.0,False,0,0,0.0029902999522164464,greedy_distance,7,medium
4,0.0,0.0,False,0,0,0.003902300028130412,greedy_distance,7,medium
5,0.0,0.0,False,1,0,0.004790000035427511,greedy_distance,7,medium
6,0.0,0.0,False,0,0,0.005681599956005812,greedy_distance,7,medium
7,0.0,0.0,False,0,0,0.006645699962973595,greedy_distance,7,medium
8,0.0,0.0,False,0,0,0.007606100058183074,greedy_distance,7,medium
9,0.0,0.0,False,0,0,0.009375100024044514,greedy_distance,7,medium
10,0.0,0.0,False,0,0,0.010415100026875734,greedy_distance,7,medium
11,0.0,0.0,False,1,0,0.01137269998434931,greedy_distance,7,medium
12,0.0,0.0,False,0,0,0.012277600006200373,greedy_distance,7,medium
13,0.0,0.0,False,0,0,0.013212500023655593,greedy_distance,7,medium
14,0.0,0.0,False,0,0,0.014123799977824092,greedy_distance,7,medium
15,0.0,0.0,False,0,0,0.01503700006287545,greedy_distance,7,medium
16,0.0,0.0,False,0,0,0.016011100029572845,greedy_distance,7,medium
17,0.0,0.0,False,0,0,0.016949899960309267,greedy_distance,7,medium
18,0.0,0.0,False,2,0,0.01781470002606511,greedy_distance,7,medium
19,0.0,0.0,False,0,0,0.01894820004235953,greedy_distance,7,medium
20,0.0,0.0,False,0,0,0.01982839999254793,greedy_distance,7,medium
21,0.0,0.0,False,1,0,0.0206772000528872,greedy_distance,7,medium
22,0.0,0.0,False,0,0,0.021553299971856177,greedy_distance,7,medium
23,0.0,0.0,False,0,0,0.02240660006646067,greedy_distance,7,medium
24,0.0,0.0,False,0,0,0.02330850006546825,greedy_distance,7,medium
25,0.0,0.0,False,0,0,0.02423600002657622,greedy_distance,7,medium
26,0.0,0.0,False,0,0,0.025292000034824014,greedy_distance,7,medium
27,0.0,0.0,False,1,0,0.026196900056675076,greedy_distance,7,medium
28,0.0,0.0,False,0,0,0.027094700024463236,greedy_distance,7,medium
29,0.0,0.0,False,0,0,0.02792839996982366,greedy_distance,7,medium
30,0.0,0.0,False,0,0,0.0287978999549523,greedy_distance,7,medium
31,0.0,0.0,False,0,0,0.02966780005954206,greedy_distance,7,medium
32,0.0,0.0,False,0,0,0.030596300028264523,greedy_distance,7,medium
33,0.0,0.0,False,0,0,0.031535299960523844,greedy_distance,7,medium
34,0.0,0.0,False,0,0,0.03243699995800853,greedy_distance,7,medium
35,0.0,0.0,False,0,0,0.03332529996987432,greedy_distance,7,medium
36,0.0,0.0,False,0,0,0.034220000030472875,greedy_distance,7,medium
37,0.0,0.0,False,0,0,0.035105900024063885,greedy_distance,7,medium
38,0.0,0.0,False,0,0,0.03598559997044504,greedy_distance,7,medium
39,0.0,0.0,False,0,0,0.036897100042551756,greedy_distance,7,medium
40,0.0,0.0,False,0,0,0.03777170006651431,greedy_distance,7,medium
41,0.0,0.0,False,0,0,0.03867569996509701,greedy_distance,7,medium
42,0.0,0.0,False,1,0,0.0395651999861002,greedy_distance,7,medium
43,0.0,0.0,False,0,0,0.04057409998495132,greedy_distance,7,medium
44,0.0,0.0,False,0,0,0.041550999972969294,greedy_distance,7,medium
45,0.0,0.0,False,0,0,0.04244019999168813,greedy_distance,7,medium
46,0.0,0.0,False,0,0,0.04332699999213219,greedy_distance,7,medium
47,0.0,0.0,False,0,0,0.04419579997193068,greedy_distance,7,medium
48,0.0,0.0,False,0,0,0.04506030003540218,greedy_distance,7,medium
49,0.0,0.0,False,1,0,0.045932100038044155,greedy_distance,7,medium
50,0.0,0.0,False,0,0,0.047135200002230704,greedy_distance,7,medium
51,0.0,0.0,False,0,0,0.04810340004041791,greedy_distance,7,medium
52,0.0,0.0,False,0,0,0.0490039000287652,greedy_distance,7,medium
53,0.0,0.0,False,0,0,0.04989130003377795,greedy_distance,7,medium
54,0.0,0.0,False,0,0,0.0507598000112921,greedy_distance,7,medium
55,0.0,0.0,False,0,0,0.051633400027640164,greedy_distance,7,medium
56,0.0,0.0,False,0,0,0.05253430001903325,greedy_distance,7,medium
57,0.0,0.0,False,1,0,0.05343830003403127,greedy_distance,7,medium
58,0.0,0.0,False,0,0,0.05433650000486523,greedy_distance,7,medium
59,0.0,0.0,False,0,0,0.05521969997789711,greedy_distance,7,medium
60,0.0,0.0,False,0,0,0.056094200001098216,greedy_distance,7,medium
61,0.0,0.0,False,0,0,0.0569530000211671,greedy_distance,7,medium
62,0.0,0.0,False,0,0,0.05783089995384216,greedy_distance,7,medium
63,0.0,0.0,False,0,0,0.05871180002577603,greedy_distance,7,medium
64,0.0,0.0,False,0,0,0.05961080000270158,greedy_distance,7,medium
65,0.0,0.0,False,0,0,0.06052609998732805,greedy_distance,7,medium
66,0.0,0.0,False,0,0,0.061419200035743415,greedy_distance,7,medium
67,0.0,0.0,False,0,0,0.06252280005719513,greedy_distance,7,medium
68,0.0,0.0,False,0,0,0.06368629995267838,greedy_distance,7,medium
69,0.0,0.0,False,1,0,0.06469729996751994,greedy_distance,7,medium
70,0.0,0.0,False,0,0,0.06573729997035116,greedy_distance,7,medium
71,0.0,0.0,False,0,0,0.0667004999704659,greedy_distance,7,medium
72,0.0,0.0,False,0,0,0.0681713999947533,greedy_distance,7,medium
73,0.0,0.0,False,0,0,0.06928709999192506,greedy_distance,7,medium
74,0.0,0.0,False,0,0,0.07063950004521757,greedy_distance,7,medium
75,0.0,0.0,False,1,0,0.07183290005195886,greedy_distance,7,medium
76,0.0,0.0,False,0,0,0.07283059996552765,greedy_distance,7,medium
77,0.0,0.0,False,0,0,0.07409740006551147,greedy_distance,7,medium
78,0.0,0.0,False,0,0,0.07506880001164973,greedy_distance,7,medium
79,0.0,0.0,False,0,0,0.0759924000594765,greedy_distance,7,medium
80,0.0,0.0,False,0,0,0.07706210005562752,greedy_distance,7,medium
81,0.0,0.0,False,0,0,0.07804589997977018,greedy_distance,7,medium
82,0.0,0.0,False,0,0,0.07894679997116327,greedy_distance,7,medium
83,0.0,0.0,False,0,0,0.08004749997053295,greedy_distance,7,medium
84,0.0,0.0,False,0,0,0.08098359999712557,greedy_distance,7,medium
85,0.0,0.0,False,0,0,0.08186060003936291,greedy_distance,7,medium
86,0.0,0.0,False,0,0,0.08270370005629957,greedy_distance,7,medium
87,0.0,0.0,False,0,0,0.08361540001351386,greedy_distance,7,medium
88,0.0,0.0,False,1,0,0.08451519999653101,greedy_distance,7,medium
89,0.0,0.0,False,0,0,0.08566169999539852,greedy_distance,7,medium
90,0.0,0.0,False,0,0,0.08662940002977848,greedy_distance,7,medium
91,0.0,0.0,False,0,0,0.08752129995264113,greedy_distance,7,medium
92,0.0,0.0,False,0,0,0.0884259999729693,greedy_distance,7,medium
93,0.0,0.0,False,0,0,0.08929719997104257,greedy_distance,7,medium
94,0.0,0.0,False,0,0,0.09020570002030581,greedy_distance,7,medium
95,0.0,0.0,False,0,0,0.09117040003184229,greedy_distance,7,medium
96,0.0,0.0,False,1,0,0.09236580005381256,greedy_distance,7,medium
97,0.0,0.0,False,0,0,0.09338710003066808,greedy_distance,7,medium
98,0.0,0.0,False,0,0,0.09455549996346235,greedy_distance,7,medium
99,0.0,0.0,False,0,0,0.09555440000258386,greedy_distance,7,medium
100,0.0,0.0,False,0,0,0.09646689996588975,greedy_distance,7,medium
101,0.0,0.0,False,0,0,0.09762120002415031,greedy_distance,7,medium
102,0.0,0.0,False,0,0,0.09855989995412529,greedy_distance,7,medium
103,0.0,0.0,False,0,0,0.09945900004822761,greedy_distance,7,medium
104,0.0,0.0,False,0,0,0.10035209998022765,greedy_distance,7,medium
105,0.0,0.0,False,0,0,0.10122219996992499,greedy_distance,7,medium
106,0.0,0.0,False,0,0,0.10210600006394088,greedy_distance,7,medium
107,0.0,0.0,False,0,0,0.10295930004213005,greedy_distance,7,medium
108,0.0,0.0,False,0,0,0.10389979998581111,greedy_distance,7,medium
109,0.0,0.0,False,0,0,0.10476480005308986,greedy_distance,7,medium
110,0.0,0.0,False,0,0,0.1056078999536112,greedy_distance,7,medium
111,0.0,0.0,False,0,0,0.10646399995312095,greedy_distance,7,medium
112,0.0,0.0,False,1,0,0.10733709996566176,greedy_distance,7,medium
113,0.0,0.0,False,0,0,0.10820440005045384,greedy_distance,7,medium
114,0.0,0.0,False,0,0,0.10952100006397814,greedy_distance,7,medium
115,0.0,0.0,False,0,0,0.11066380003467202,greedy_distance,7,medium
