iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,3,3,0.008873300044797361,hsbo,9,medium
2,0.0,0.0,False,1,3,0.009031100082211196,hsbo,9,medium
3,0.0,0.0,False,0,3,0.009176200022920966,hsbo,9,medium
4,0.0,0.0,False,0,3,0.009346300037577748,hsbo,9,medium
5,0.0,0.0,False,1,3,0.009498400031588972,hsbo,9,medium
6,0.0,0.0,False,0,3,0.00964810000732541,hsbo,9,medium
7,0.0,0.0,False,0,3,0.00978910003323108,hsbo,9,medium
8,0.0,0.0,False,0,3,0.009928600047715008,hsbo,9,medium
9,0.0,0.0,False,0,3,0.010066900053061545,hsbo,9,medium
10,0.0,0.0,False,0,3,0.01020550006069243,hsbo,9,medium
11,0.0,0.0,False,0,3,0.021090500056743622,hsbo,9,medium
12,0.0,0.0,False,1,3,0.021245600073598325,hsbo,9,medium
13,0.0,0.0,False,1,3,0.021423100028187037,hsbo,9,medium
14,0.0,0.0,False,1,3,0.021910300012677908,hsbo,9,medium
15,0.0,0.0,False,0,3,0.03314100007992238,hsbo,9,medium
16,0.0,0.0,False,0,3,0.03329510008916259,hsbo,9,medium
17,0.0,0.0,False,0,3,0.033461300074122846,hsbo,9,medium
18,0.0,0.0,False,0,3,0.03378390008583665,hsbo,9,medium
19,0.0,0.0,False,0,3,0.0477820000378415,hsbo,9,medium
20,0.0,0.0,False,1,3,0.047933900030329823,hsbo,9,medium
21,0.0,0.0,False,2,3,0.051958900061436,hsbo,9,medium
22,0.0,0.0,False,1,3,0.05219410010613501,hsbo,9,medium
23,0.0,0.0,False,0,3,0.05235370004083961,hsbo,9,medium
24,9.548769924051442,9.548769924051442,True,2,2,0.05258020001929253,hsbo,9,medium
25,0.0,9.548769924051442,False,1,2,0.05273810005746782,hsbo,9,medium
26,0.0,9.548769924051442,False,0,2,0.052888100035488605,hsbo,9,medium
27,0.0,9.548769924051442,False,0,2,0.053039100021123886,hsbo,9,medium
28,0.0,9.548769924051442,False,0,2,0.05318700009956956,hsbo,9,medium
29,0.0,9.548769924051442,False,0,2,0.053335900069214404,hsbo,9,medium
30,0.0,9.548769924051442,False,2,2,0.05348500004038215,hsbo,9,medium
31,0.0,9.548769924051442,False,0,2,0.09661870007403195,hsbo,9,medium
32,0.0,9.548769924051442,False,0,2,0.09676870005205274,hsbo,9,medium
33,0.0,9.548769924051442,False,0,2,0.09691060008481145,hsbo,9,medium
34,0.0,9.548769924051442,False,0,2,0.09705189999658614,hsbo,9,medium
35,0.0,9.548769924051442,False,0,2,0.1369965000776574,hsbo,9,medium
36,0.0,9.548769924051442,False,0,2,0.13715390011202544,hsbo,9,medium
37,0.0,9.548769924051442,False,0,2,0.13730310008395463,hsbo,9,medium
38,0.0,9.548769924051442,False,1,2,0.1374557000817731,hsbo,9,medium
39,0.0,9.548769924051442,False,0,2,0.18256540002766997,hsbo,9,medium
40,0.0,9.548769924051442,False,1,2,0.18272110004909337,hsbo,9,medium
41,0.0,9.548769924051442,False,0,2,0.18715980008710176,hsbo,9,medium
42,0.0,9.548769924051442,False,0,2,0.18731000006664544,hsbo,9,medium
43,0.0,9.548769924051442,False,0,2,0.1874632000690326,hsbo,9,medium
44,0.0,9.548769924051442,False,0,2,0.18761580006685108,hsbo,9,medium
45,0.0,9.548769924051442,False,0,2,0.18776410003192723,hsbo,9,medium
46,0.0,9.548769924051442,False,0,2,0.18790980009362102,hsbo,9,medium
47,0.0,9.548769924051442,False,0,2,0.18805710005108267,hsbo,9,medium
48,0.0,9.548769924051442,False,0,2,0.18820440000854433,hsbo,9,medium
49,0.0,9.548769924051442,False,0,2,0.18834610003978014,hsbo,9,medium
50,0.0,9.548769924051442,False,1,2,0.1884942000033334,hsbo,9,medium
51,0.0,9.548769924051442,False,0,2,0.20018750010058284,hsbo,9,medium
52,0.0,9.548769924051442,False,0,2,0.20035380008630455,hsbo,9,medium
53,0.0,9.548769924051442,False,0,2,0.20050810009706765,hsbo,9,medium
54,0.0,9.548769924051442,False,0,2,0.20065900008194149,hsbo,9,medium
55,0.0,9.548769924051442,False,0,2,0.2120177000761032,hsbo,9,medium
56,0.0,9.548769924051442,False,0,2,0.21216860006097704,hsbo,9,medium
57,0.0,9.548769924051442,False,0,2,0.2123116001021117,hsbo,9,medium
