iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,1,1,0.00026540004182606936,pso,9,medium
2,0.0,0.0,False,1,1,0.0005776999751105905,pso,9,medium
3,0.0,0.0,False,0,1,0.0010470000561326742,pso,9,medium
4,0.0,0.0,False,0,1,0.001243300037458539,pso,9,medium
5,0.0,0.0,False,0,1,0.0013992000604048371,pso,9,medium
6,0.0,0.0,False,0,1,0.001572399982251227,pso,9,medium
7,0.0,0.0,False,0,1,0.0018228000262752175,pso,9,medium
8,0.0,0.0,False,0,1,0.0020776999881491065,pso,9,medium
9,0.0,0.0,False,0,1,0.0023665999760851264,pso,9,medium
10,0.0,0.0,False,2,1,0.0027407000306993723,pso,9,medium
11,0.0,0.0,False,0,1,0.0029148999601602554,pso,9,medium
12,0.0,0.0,False,0,1,0.0030666000675410032,pso,9,medium
13,0.0,0.0,False,0,1,0.003212600015103817,pso,9,medium
14,0.0,0.0,False,0,1,0.0033585999626666307,pso,9,medium
15,0.0,0.0,False,0,1,0.0035071000456809998,pso,9,medium
16,0.0,0.0,False,0,1,0.0036576000275090337,pso,9,medium
17,0.0,0.0,False,0,1,0.003872400033287704,pso,9,medium
18,0.0,0.0,False,0,1,0.004187399987131357,pso,9,medium
19,0.0,0.0,False,0,1,0.0043487000511959195,pso,9,medium
20,0.0,0.0,False,0,1,0.0044997000368312,pso,9,medium
21,0.0,0.0,False,0,1,0.004837400047108531,pso,9,medium
22,0.0,0.0,False,0,1,0.005029699997976422,pso,9,medium
23,0.0,0.0,False,0,1,0.005183000001125038,pso,9,medium
24,0.0,0.0,False,0,1,0.005329000065103173,pso,9,medium
25,0.0,0.0,False,0,1,0.005475500016473234,pso,9,medium
26,0.0,0.0,False,0,1,0.005621599964797497,pso,9,medium
27,0.0,0.0,False,0,1,0.005808499990962446,pso,9,medium
28,0.0,0.0,False,0,1,0.005974899977445602,pso,9,medium
29,0.0,0.0,False,0,1,0.006127099972218275,pso,9,medium
30,0.0,0.0,False,0,1,0.006272100028581917,pso,9,medium
31,0.0,0.0,False,0,1,0.006709799985401332,pso,9,medium
32,0.0,0.0,False,0,1,0.006950399954803288,pso,9,medium
33,0.0,0.0,False,0,1,0.007220400031656027,pso,9,medium
34,0.0,0.0,False,0,1,0.007646700018085539,pso,9,medium
35,0.0,0.0,False,0,1,0.007821200066246092,pso,9,medium
36,0.0,0.0,False,0,1,0.00797260005492717,pso,9,medium
37,0.0,0.0,False,0,1,0.00811910000629723,pso,9,medium
38,0.0,0.0,False,1,1,0.008270599995739758,pso,9,medium
39,0.0,0.0,False,1,1,0.008420399972237647,pso,9,medium
40,0.0,0.0,False,0,1,0.008570200065150857,pso,9,medium
41,0.0,0.0,False,0,1,0.008718700031749904,pso,9,medium
42,0.0,0.0,False,0,1,0.008872700040228665,pso,9,medium
43,0.0,0.0,False,1,1,0.009017199976369739,pso,9,medium
44,0.0,0.0,False,0,1,0.009156899992376566,pso,9,medium
45,0.0,0.0,False,0,1,0.009303800063207746,pso,9,medium
46,0.0,0.0,False,0,1,0.009445499978028238,pso,9,medium
47,0.0,0.0,False,0,1,0.009587800013832748,pso,9,medium
48,0.0,0.0,False,0,1,0.009732100064866245,pso,9,medium
49,0.0,0.0,False,1,1,0.009928800049237907,pso,9,medium
50,0.0,0.0,False,0,1,0.010075199999846518,pso,9,medium
51,0.0,0.0,False,1,1,0.01022309996187687,pso,9,medium
52,0.0,0.0,False,0,1,0.010366200003772974,pso,9,medium
53,0.0,0.0,False,0,1,0.010509500047191978,pso,9,medium
