iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00015659991186112165,ga,6,small
2,0.0,0.0,False,0,0,0.0002559999702498317,ga,6,small
3,0.0,0.0,False,0,0,0.00033219996839761734,ga,6,small
4,0.0,0.0,False,0,0,0.0004059999482706189,ga,6,small
5,0.0,0.0,False,0,0,0.00047829991672188044,ga,6,small
6,0.0,0.0,False,0,0,0.0005494999932125211,ga,6,small
7,0.0,0.0,False,0,0,0.0006198999471962452,ga,6,small
8,0.0,0.0,False,0,0,0.0006909000221639872,ga,6,small
9,0.0,0.0,False,0,0,0.0007615999784320593,ga,6,small
10,0.0,0.0,False,0,0,0.0008328999392688274,ga,6,small
11,0.0,0.0,False,0,0,0.0009025000035762787,ga,6,small
12,0.0,0.0,False,0,0,0.0009731999598443508,ga,6,small
13,0.0,0.0,False,0,0,0.0010431999107822776,ga,6,small
14,0.0,0.0,False,0,0,0.0011137999827042222,ga,6,small
15,0.0,0.0,False,0,0,0.0011835999321192503,ga,6,small
16,0.0,0.0,False,0,0,0.0012527999933809042,ga,6,small
17,16.37076151452152,16.37076151452152,True,1,1,0.0013272999785840511,ga,6,small
18,0.0,16.37076151452152,False,0,1,0.0013998999493196607,ga,6,small
19,0.0,16.37076151452152,False,0,1,0.001470100018195808,ga,6,small
20,0.0,16.37076151452152,False,1,1,0.0015444000018760562,ga,6,small
21,0.0,16.37076151452152,False,0,1,0.0016160999657586217,ga,6,small
22,0.0,16.37076151452152,False,0,1,0.0016861999174579978,ga,6,small
23,0.0,16.37076151452152,False,0,1,0.001756099984049797,ga,6,small
24,0.0,16.37076151452152,False,0,1,0.0018259999342262745,ga,6,small
25,0.0,16.37076151452152,False,0,1,0.001895699999295175,ga,6,small
26,0.0,16.37076151452152,False,0,1,0.001966899959370494,ga,6,small
27,0.0,16.37076151452152,False,0,1,0.00203699991106987,ga,6,small
28,0.0,16.37076151452152,False,0,1,0.002107399981468916,ga,6,small
29,0.0,16.37076151452152,False,0,1,0.0021767999278381467,ga,6,small
30,0.0,16.37076151452152,False,0,1,0.0022465999936684966,ga,6,small
31,0.0,16.37076151452152,False,0,1,0.002314999932423234,ga,6,small
32,0.0,16.37076151452152,False,0,1,0.00238389999140054,ga,6,small
33,0.0,16.37076151452152,False,0,1,0.0024532999377697706,ga,6,small
34,0.0,16.37076151452152,False,0,1,0.002521999995224178,ga,6,small
35,0.0,16.37076151452152,False,1,1,0.0025951999705284834,ga,6,small
36,0.0,16.37076151452152,False,0,1,0.002665799926035106,ga,6,small
37,16.37076151452152,16.37076151452152,True,1,1,0.003644899930804968,ga,6,small
38,0.0,16.37076151452152,False,0,1,0.0037228999426588416,ga,6,small
39,0.0,16.37076151452152,False,1,1,0.0038027999689802527,ga,6,small
40,0.0,16.37076151452152,False,0,1,0.0038796999724581838,ga,6,small
41,0.0,16.37076151452152,False,0,1,0.003954199957661331,ga,6,small
42,0.0,16.37076151452152,False,0,1,0.004028599942103028,ga,6,small
43,0.0,16.37076151452152,False,0,1,0.004103099927306175,ga,6,small
44,0.0,16.37076151452152,False,0,1,0.004177300026640296,ga,6,small
45,0.0,16.37076151452152,False,0,1,0.004249399993568659,ga,6,small
46,0.0,16.37076151452152,False,0,1,0.004319599946029484,ga,6,small
47,0.0,16.37076151452152,False,0,1,0.004390500020235777,ga,6,small
48,0.0,16.37076151452152,False,0,1,0.004461499978788197,ga,6,small
49,0.0,16.37076151452152,False,0,1,0.004531799932010472,ga,6,small
50,0.0,16.37076151452152,False,0,1,0.004601699998602271,ga,6,small
51,0.0,16.37076151452152,False,0,1,0.0046712999464944005,ga,6,small
52,0.0,16.37076151452152,False,0,1,0.00474110001232475,ga,6,small
53,0.0,16.37076151452152,False,0,1,0.004811599967069924,ga,6,small
54,0.0,16.37076151452152,False,0,1,0.004882399924099445,ga,6,small
55,0.0,16.37076151452152,False,0,1,0.004953099996782839,ga,6,small
56,0.0,16.37076151452152,False,0,1,0.005023499950766563,ga,6,small
57,0.0,16.37076151452152,False,0,1,0.005094300024211407,ga,6,small
58,0.0,16.37076151452152,False,0,1,0.005164199974387884,ga,6,small
59,0.0,16.37076151452152,False,0,1,0.005236499942839146,ga,6,small
60,2.9876973183063438,16.37076151452152,True,1,1,0.005309999920427799,ga,6,small
61,0.0,16.37076151452152,False,1,1,0.005384100019000471,ga,6,small
62,0.0,16.37076151452152,False,0,1,0.0054552999790757895,ga,6,small
63,0.0,16.37076151452152,False,0,1,0.0055250999284908175,ga,6,small
64,0.0,16.37076151452152,False,0,1,0.005594699992798269,ga,6,small
65,0.0,16.37076151452152,False,1,1,0.005666699958965182,ga,6,small
66,0.0,16.37076151452152,False,0,1,0.005739399930462241,ga,6,small
67,0.0,16.37076151452152,False,0,1,0.005809700000099838,ga,6,small
68,0.0,16.37076151452152,False,1,1,0.005882099969312549,ga,6,small
69,0.0,16.37076151452152,False,0,1,0.005952399922534823,ga,6,small
70,0.0,16.37076151452152,False,0,1,0.006022599991410971,ga,6,small
71,0.0,16.37076151452152,False,0,1,0.006092499941587448,ga,6,small
72,0.0,16.37076151452152,False,0,1,0.006162100005894899,ga,6,small
73,16.37076151452152,16.37076151452152,True,1,1,0.0070853999350219965,ga,6,small
74,2.9876973183063438,16.37076151452152,True,1,1,0.007163099944591522,ga,6,small
75,0.0,16.37076151452152,False,0,1,0.007236599922180176,ga,6,small
76,0.0,16.37076151452152,False,0,1,0.0073084000032395124,ga,6,small
77,0.0,16.37076151452152,False,0,1,0.0073787999572232366,ga,6,small
78,0.0,16.37076151452152,False,0,1,0.007450199918821454,ga,6,small
79,0.0,16.37076151452152,False,0,1,0.00752210000064224,ga,6,small
80,0.0,16.37076151452152,False,0,1,0.007593699963763356,ga,6,small
81,0.0,16.37076151452152,False,0,1,0.00766409991774708,ga,6,small
82,0.0,16.37076151452152,False,0,1,0.007735299994237721,ga,6,small
83,0.0,16.37076151452152,False,0,1,0.007805799948982894,ga,6,small
84,0.0,16.37076151452152,False,1,1,0.007878799922764301,ga,6,small
85,11.99494206390083,16.37076151452152,True,1,1,0.007953100022859871,ga,6,small
86,0.0,16.37076151452152,False,0,1,0.008025399991311133,ga,6,small
87,0.0,16.37076151452152,False,0,1,0.00809829996433109,ga,6,small
88,0.0,16.37076151452152,False,0,1,0.008171599940396845,ga,6,small
89,0.0,16.37076151452152,False,0,1,0.008244699914939702,ga,6,small
90,0.0,16.37076151452152,False,0,1,0.008318400010466576,ga,6,small
91,0.0,16.37076151452152,False,0,1,0.008390499977394938,ga,6,small
92,0.0,16.37076151452152,False,0,1,0.008463599951937795,ga,6,small
93,0.0,16.37076151452152,False,0,1,0.008535099914297462,ga,6,small
94,0.0,16.37076151452152,False,0,1,0.008607600000686944,ga,6,small
95,0.0,16.37076151452152,False,0,1,0.008679699967615306,ga,6,small
96,0.0,16.37076151452152,False,0,1,0.008751099929213524,ga,6,small
97,0.0,16.37076151452152,False,0,1,0.008823800017125905,ga,6,small
98,0.0,16.37076151452152,False,1,1,0.008899700012989342,ga,6,small
99,0.0,16.37076151452152,False,0,1,0.008971499977633357,ga,6,small
100,0.0,16.37076151452152,False,0,1,0.009044399950653315,ga,6,small
101,0.0,16.37076151452152,False,0,1,0.009115200024098158,ga,6,small
102,0.0,16.37076151452152,False,0,1,0.00918749999254942,ga,6,small
103,0.0,16.37076151452152,False,1,1,0.009261799976229668,ga,6,small
104,0.0,16.37076151452152,False,0,1,0.009334199945442379,ga,6,small
105,0.0,16.37076151452152,False,0,1,0.00940659991465509,ga,6,small
106,0.0,16.37076151452152,False,0,1,0.009477399988099933,ga,6,small
107,0.0,16.37076151452152,False,0,1,0.009547799942083657,ga,6,small
108,0.0,16.37076151452152,False,0,1,0.009639499941840768,ga,6,small
109,16.37076151452152,16.37076151452152,True,1,1,0.010687300004065037,ga,6,small
110,11.99494206390083,16.37076151452152,True,1,1,0.010773499961942434,ga,6,small
111,2.9876973183063438,16.37076151452152,True,1,1,0.01085419999435544,ga,6,small
112,0.0,16.37076151452152,False,0,1,0.010930699994787574,ga,6,small
113,0.0,16.37076151452152,False,0,1,0.011008600005879998,ga,6,small
114,0.0,16.37076151452152,False,0,1,0.01108389999717474,ga,6,small
115,0.0,16.37076151452152,False,0,1,0.011158899986185133,ga,6,small
116,0.0,16.37076151452152,False,0,1,0.011232999968342483,ga,6,small
117,0.0,16.37076151452152,False,0,1,0.011306799948215485,ga,6,small
118,0.0,16.37076151452152,False,0,1,0.011379099916666746,ga,6,small
119,0.0,16.37076151452152,False,0,1,0.011452600010670722,ga,6,small
120,1.9565886014723501,16.37076151452152,True,1,1,0.011527199996635318,ga,6,small
121,1.422873255103763,16.37076151452152,True,1,1,0.011600199970416725,ga,6,small
122,0.0,16.37076151452152,False,0,1,0.011675199959427118,ga,6,small
123,0.0,16.37076151452152,False,1,1,0.0117519999621436,ga,6,small
124,0.0,16.37076151452152,False,0,1,0.01182749995496124,ga,6,small
125,2.534939902850059,16.37076151452152,True,1,1,0.011906699975952506,ga,6,small
126,0.0,16.37076151452152,False,0,1,0.011983599979430437,ga,6,small
127,0.0,16.37076151452152,False,0,1,0.01205869996920228,ga,6,small
128,0.0,16.37076151452152,False,0,1,0.012133499956689775,ga,6,small
129,0.0,16.37076151452152,False,0,1,0.01220819994341582,ga,6,small
130,0.0,16.37076151452152,False,0,1,0.0122853999491781,ga,6,small
131,0.0,16.37076151452152,False,0,1,0.012359799933619797,ga,6,small
132,0.0,16.37076151452152,False,0,1,0.012433599913492799,ga,6,small
133,0.0,16.37076151452152,False,0,1,0.012509000021964312,ga,6,small
134,0.0,16.37076151452152,False,0,1,0.012583800009451807,ga,6,small
135,0.0,16.37076151452152,False,0,1,0.012656199978664517,ga,6,small
136,0.0,16.37076151452152,False,0,1,0.012730599963106215,ga,6,small
137,0.0,16.37076151452152,False,0,1,0.01280989998485893,ga,6,small
138,0.0,16.37076151452152,False,0,1,0.012885099975392222,ga,6,small
139,0.0,16.37076151452152,False,0,1,0.012959999963641167,ga,6,small
140,0.0,16.37076151452152,False,0,1,0.01303349994122982,ga,6,small
141,0.0,16.37076151452152,False,0,1,0.013108499930240214,ga,6,small
142,0.0,16.37076151452152,False,0,1,0.013184799929149449,ga,6,small
143,10.23403312304352,16.37076151452152,True,1,1,0.013261199928820133,ga,6,small
144,0.0,16.37076151452152,False,1,1,0.013337899930775166,ga,6,small
145,16.37076151452152,16.37076151452152,True,1,1,0.014322099974378943,ga,6,small
146,11.99494206390083,16.37076151452152,True,1,1,0.014401699998416007,ga,6,small
147,10.23403312304352,16.37076151452152,True,1,1,0.014477399992756546,ga,6,small
148,2.9876973183063438,16.37076151452152,True,1,1,0.01455369999166578,ga,6,small
149,0.0,16.37076151452152,False,0,1,0.01462639996316284,ga,6,small
150,0.0,16.37076151452152,False,0,1,0.014701999956741929,ga,6,small
