iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.0004290000069886446,greedy_reward_density,5,small
2,0.0,0.0,False,0,0,0.000762399984523654,greedy_reward_density,5,small
3,0.0,0.0,False,0,0,0.0010837999871000648,greedy_reward_density,5,small
4,0.0,0.0,False,0,0,0.0014034000923857093,greedy_reward_density,5,small
5,0.0,0.0,False,0,0,0.0017099999822676182,greedy_reward_density,5,small
6,0.0,0.0,False,0,0,0.002017199993133545,greedy_reward_density,5,small
7,0.0,0.0,False,0,0,0.002323900000192225,greedy_reward_density,5,small
8,0.0,0.0,False,0,0,0.002643299987539649,greedy_reward_density,5,small
9,0.0,0.0,False,0,0,0.002977200085297227,greedy_reward_density,5,small
10,0.0,0.0,False,0,0,0.003306600032374263,greedy_reward_density,5,small
11,0.0,0.0,False,0,0,0.003631400060839951,greedy_reward_density,5,small
12,0.0,0.0,False,0,0,0.003956500091589987,greedy_reward_density,5,small
13,0.0,0.0,False,0,0,0.00428039999678731,greedy_reward_density,5,small
14,0.0,0.0,False,0,0,0.004613500088453293,greedy_reward_density,5,small
15,0.0,0.0,False,0,0,0.004958300036378205,greedy_reward_density,5,small
16,0.0,0.0,False,0,0,0.005317200091667473,greedy_reward_density,5,small
17,0.0,0.0,False,0,0,0.00568360008765012,greedy_reward_density,5,small
18,0.0,0.0,False,0,0,0.006022099987603724,greedy_reward_density,5,small
19,0.0,0.0,False,0,0,0.006389699992723763,greedy_reward_density,5,small
20,0.0,0.0,False,0,0,0.006728400010615587,greedy_reward_density,5,small
21,0.0,0.0,False,0,0,0.007065000012516975,greedy_reward_density,5,small
22,0.0,0.0,False,0,0,0.007412100094370544,greedy_reward_density,5,small
23,0.0,0.0,False,0,0,0.007731400080956519,greedy_reward_density,5,small
24,0.0,0.0,False,0,0,0.00804069999139756,greedy_reward_density,5,small
25,0.0,0.0,False,0,0,0.008340500062331557,greedy_reward_density,5,small
26,0.0,0.0,False,0,0,0.008650400093756616,greedy_reward_density,5,small
27,0.0,0.0,False,0,0,0.008987000095658004,greedy_reward_density,5,small
28,0.0,0.0,False,0,0,0.009318200056441128,greedy_reward_density,5,small
29,0.0,0.0,False,0,0,0.00964250008109957,greedy_reward_density,5,small
