iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00019750010687857866,pso,5,small
2,0.0,0.0,False,0,0,0.00035720004234462976,pso,5,small
3,0.0,0.0,False,0,0,0.00045060005504637957,pso,5,small
4,0.0,0.0,False,0,0,0.0005360000068321824,pso,5,small
5,0.0,0.0,False,1,0,0.0006271000020205975,pso,5,small
6,0.0,0.0,False,0,0,0.0007156000938266516,pso,5,small
7,0.0,0.0,False,0,0,0.0007993000326678157,pso,5,small
8,0.0,0.0,False,0,0,0.0008809000719338655,pso,5,small
9,0.0,0.0,False,0,0,0.0009623001096770167,pso,5,small
10,0.0,0.0,False,0,0,0.0010443000355735421,pso,5,small
11,0.0,0.0,False,0,0,0.0011266000801697373,pso,5,small
12,0.0,0.0,False,0,0,0.0012103000190109015,pso,5,small
13,0.0,0.0,False,0,0,0.0012957000872120261,pso,5,small
14,0.0,0.0,False,0,0,0.0013863000785931945,pso,5,small
15,0.0,0.0,False,0,0,0.0014727000379934907,pso,5,small
16,0.0,0.0,False,0,0,0.0015533000696450472,pso,5,small
17,0.0,0.0,False,0,0,0.0016317000845447183,pso,5,small
18,0.0,0.0,False,0,0,0.0017122001154348254,pso,5,small
19,0.0,0.0,False,0,0,0.0017920000245794654,pso,5,small
20,0.0,0.0,False,0,0,0.0018720000516623259,pso,5,small
21,0.0,0.0,False,0,0,0.0019819000735878944,pso,5,small
22,0.0,0.0,False,0,0,0.0020665000192821026,pso,5,small
23,0.0,0.0,False,0,0,0.0021481000585481524,pso,5,small
24,0.0,0.0,False,0,0,0.0022298000985756516,pso,5,small
25,0.0,0.0,False,0,0,0.0023078001104295254,pso,5,small
26,0.0,0.0,False,0,0,0.002387800021097064,pso,5,small
27,0.0,0.0,False,0,0,0.002467100042849779,pso,5,small
28,0.0,0.0,False,0,0,0.0025468000676482916,pso,5,small
29,14.832427629337804,14.832427629337804,True,1,1,0.0027009000768885016,pso,5,small
30,0.0,14.832427629337804,False,0,1,0.0027904000598937273,pso,5,small
31,0.0,14.832427629337804,False,0,1,0.002872600103728473,pso,5,small
32,58.53282817409695,58.53282817409695,True,2,2,0.0029694000259041786,pso,5,small
33,0.0,58.53282817409695,False,0,2,0.0030534000834450126,pso,5,small
34,0.0,58.53282817409695,False,0,2,0.0031374000245705247,pso,5,small
35,0.0,58.53282817409695,False,0,2,0.003218000056222081,pso,5,small
36,0.0,58.53282817409695,False,0,2,0.0032976000802591443,pso,5,small
37,0.0,58.53282817409695,False,0,2,0.0034160000504925847,pso,5,small
38,0.0,58.53282817409695,False,0,2,0.003498000092804432,pso,5,small
39,0.0,58.53282817409695,False,0,2,0.003577800001949072,pso,5,small
40,0.0,58.53282817409695,False,0,2,0.003673100029118359,pso,5,small
41,0.0,58.53282817409695,False,0,2,0.0037569000851362944,pso,5,small
42,0.0,58.53282817409695,False,0,2,0.003842500038444996,pso,5,small
43,0.0,58.53282817409695,False,0,2,0.003931200015358627,pso,5,small
44,0.0,58.53282817409695,False,0,2,0.004017700091935694,pso,5,small
45,0.0,58.53282817409695,False,0,2,0.004099500016309321,pso,5,small
46,0.0,58.53282817409695,False,1,2,0.004182600066997111,pso,5,small
47,0.0,58.53282817409695,False,1,2,0.004265100113116205,pso,5,small
48,0.0,58.53282817409695,False,0,2,0.004342700005508959,pso,5,small
49,0.0,58.53282817409695,False,1,2,0.00442260003183037,pso,5,small
50,0.0,58.53282817409695,False,0,2,0.004506400087848306,pso,5,small
51,0.0,58.53282817409695,False,0,2,0.004587700008414686,pso,5,small
52,0.0,58.53282817409695,False,0,2,0.004664600011892617,pso,5,small
53,0.0,58.53282817409695,False,0,2,0.004740600008517504,pso,5,small
54,0.0,58.53282817409695,False,0,2,0.004817600012756884,pso,5,small
55,0.0,58.53282817409695,False,0,2,0.004895900026895106,pso,5,small
56,19.970729944658522,58.53282817409695,True,1,2,0.004977500066161156,pso,5,small
57,0.0,58.53282817409695,False,0,2,0.005058700102381408,pso,5,small
58,0.0,58.53282817409695,False,0,2,0.005138500011526048,pso,5,small
59,0.0,58.53282817409695,False,0,2,0.005218600039370358,pso,5,small
60,0.0,58.53282817409695,False,0,2,0.005297800060361624,pso,5,small
61,0.0,58.53282817409695,False,0,2,0.005374000058509409,pso,5,small
62,0.0,58.53282817409695,False,0,2,0.005450800061225891,pso,5,small
63,0.0,58.53282817409695,False,0,2,0.005526300054043531,pso,5,small
64,0.0,58.53282817409695,False,1,2,0.005650000064633787,pso,5,small
65,0.0,58.53282817409695,False,0,2,0.005728700081817806,pso,5,small
66,0.0,58.53282817409695,False,0,2,0.005807500099763274,pso,5,small
67,0.0,58.53282817409695,False,1,2,0.0058883000165224075,pso,5,small
68,0.0,58.53282817409695,False,0,2,0.005965700023807585,pso,5,small
69,0.0,58.53282817409695,False,0,2,0.006042900029569864,pso,5,small
70,0.0,58.53282817409695,False,0,2,0.006120200036093593,pso,5,small
71,0.0,58.53282817409695,False,0,2,0.006195600028149784,pso,5,small
72,0.0,58.53282817409695,False,0,2,0.006272200029343367,pso,5,small
73,0.0,58.53282817409695,False,0,2,0.0064289000583812594,pso,5,small
74,0.0,58.53282817409695,False,0,2,0.006512000109069049,pso,5,small
75,0.0,58.53282817409695,False,0,2,0.006829400081187487,pso,5,small
76,0.0,58.53282817409695,False,0,2,0.007051700027659535,pso,5,small
77,0.0,58.53282817409695,False,0,2,0.00725860008969903,pso,5,small
