iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.2849826000165194,bo,0,small
2,0.0,0.0,False,0,0,0.28571319999173284,bo,0,small
3,0.0,0.0,False,0,0,0.2864035000093281,bo,0,small
4,0.0,0.0,False,0,0,0.2870533000677824,bo,0,small
5,0.0,0.0,False,0,0,0.287686700001359,bo,0,small
6,0.0,0.0,False,0,0,0.2883345000445843,bo,0,small
7,0.0,0.0,False,0,0,0.2889600000344217,bo,0,small
8,0.0,0.0,False,0,0,0.2895684000104666,bo,0,small
9,0.0,0.0,False,0,0,0.3444510999834165,bo,0,small
10,0.0,0.0,False,0,0,0.4274885000195354,bo,0,small
11,0.0,0.0,False,0,0,0.5019997999770567,bo,0,small
12,0.0,0.0,False,0,0,0.5721329000080004,bo,0,small
13,0.0,0.0,False,1,0,0.6470774000044912,bo,0,small
14,0.0,0.0,False,0,0,0.7009979999857023,bo,0,small
15,0.0,0.0,False,0,0,0.7539541000733152,bo,0,small
16,0.0,0.0,False,0,0,0.8094678000779822,bo,0,small
17,0.0,0.0,False,0,0,0.8653335999697447,bo,0,small
18,0.0,0.0,False,0,0,0.9453855999745429,bo,0,small
19,0.0,0.0,False,0,0,1.032690200023353,bo,0,small
20,0.0,0.0,False,0,0,1.0934846000745893,bo,0,small
21,0.0,0.0,False,0,0,1.1517406000057235,bo,0,small
22,0.0,0.0,False,0,0,1.2198175999801606,bo,0,small
23,0.0,0.0,False,0,0,1.3108589000767097,bo,0,small
24,0.0,0.0,False,0,0,1.3712168000638485,bo,0,small
25,0.0,0.0,False,0,0,1.4327752999961376,bo,0,small
26,0.0,0.0,False,0,0,1.5059677000390366,bo,0,small
27,0.0,0.0,False,0,0,1.610625799978152,bo,0,small
28,0.0,0.0,False,0,0,1.7114549999823794,bo,0,small
29,0.0,0.0,False,0,0,1.7920652000466362,bo,0,small
30,0.0,0.0,False,0,0,1.8869514999678358,bo,0,small
31,0.0,0.0,False,0,0,1.9538265999872237,bo,0,small
32,0.0,0.0,False,0,0,2.022741600056179,bo,0,small
33,0.0,0.0,False,1,0,2.0965271000750363,bo,0,small
34,0.0,0.0,False,0,0,2.1756680000107735,bo,0,small
35,0.0,0.0,False,0,0,2.2528576999902725,bo,0,small
36,0.0,0.0,False,0,0,2.3268446000292897,bo,0,small
37,0.0,0.0,False,0,0,2.4355487000430003,bo,0,small
38,0.0,0.0,False,0,0,2.5448389999801293,bo,0,small
39,0.0,0.0,False,0,0,2.651134300045669,bo,0,small
40,0.0,0.0,False,0,0,2.7454565999796614,bo,0,small
41,0.0,0.0,False,0,0,2.8266473000403494,bo,0,small
42,0.0,0.0,False,0,0,2.918033199966885,bo,0,small
43,0.0,0.0,False,0,0,3.0022226000437513,bo,0,small
44,0.0,0.0,False,0,0,3.0871694000670686,bo,0,small
45,0.0,0.0,False,0,0,3.1724944000598043,bo,0,small
46,0.0,0.0,False,0,0,3.293451300007291,bo,0,small
47,0.0,0.0,False,0,0,3.393069199984893,bo,0,small
48,0.0,0.0,False,0,0,3.4797813000623137,bo,0,small
49,0.0,0.0,False,0,0,3.5708401000592858,bo,0,small
50,0.0,0.0,False,0,0,3.690925500006415,bo,0,small
51,0.0,0.0,False,0,0,3.7988799000158906,bo,0,small
52,0.0,0.0,False,0,0,3.9022956000408158,bo,0,small
53,0.0,0.0,False,0,0,4.027723800041713,bo,0,small
54,0.0,0.0,False,0,0,4.14376720006112,bo,0,small
55,0.0,0.0,False,0,0,4.262472699978389,bo,0,small
56,0.0,0.0,False,0,0,4.3765836000675336,bo,0,small
57,0.0,0.0,False,0,0,4.503872500034049,bo,0,small
58,0.0,0.0,False,0,0,4.604778700042516,bo,0,small
59,0.0,0.0,False,0,0,4.768015700043179,bo,0,small
60,0.0,0.0,False,0,0,4.911046099965461,bo,0,small
61,0.0,0.0,False,0,0,5.055121000041254,bo,0,small
62,0.0,0.0,False,0,0,5.193210800061934,bo,0,small
63,0.0,0.0,False,0,0,5.312855700030923,bo,0,small
64,0.0,0.0,False,0,0,5.465394500060938,bo,0,small
65,0.0,0.0,False,0,0,5.588154099998064,bo,0,small
66,0.0,0.0,False,0,0,5.704802399966866,bo,0,small
67,0.0,0.0,False,0,0,5.821936000022106,bo,0,small
68,0.0,0.0,False,0,0,5.975146500044502,bo,0,small
69,0.0,0.0,False,0,0,6.124817300005816,bo,0,small
70,0.0,0.0,False,0,0,6.280912299989723,bo,0,small
71,0.0,0.0,False,0,0,6.452771799988113,bo,0,small
72,0.0,0.0,False,0,0,6.647267400054261,bo,0,small
73,0.0,0.0,False,0,0,6.817912900005467,bo,0,small
74,0.0,0.0,False,0,0,7.0361269999993965,bo,0,small
75,0.0,0.0,False,0,0,7.2376063000410795,bo,0,small
76,0.0,0.0,False,0,0,7.384648700011894,bo,0,small
77,0.0,0.0,False,0,0,7.6159388000378385,bo,0,small
78,0.0,0.0,False,0,0,7.815705000073649,bo,0,small
79,0.0,0.0,False,1,0,7.979813700076193,bo,0,small
80,0.0,0.0,False,0,0,8.148798800073564,bo,0,small
