iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.00014659995213150978,ga,0,small
2,0.0,0.0,False,0,0,0.0002473999047651887,ga,0,small
3,0.0,0.0,False,0,0,0.00033029995393007994,ga,0,small
4,0.0,0.0,False,0,0,0.00040179991628974676,ga,0,small
5,0.0,0.0,False,0,0,0.0004734999965876341,ga,0,small
6,0.0,0.0,False,0,0,0.0005491999909281731,ga,0,small
7,0.0,0.0,False,0,0,0.0006335999350994825,ga,0,small
8,0.0,0.0,False,0,0,0.0007067999104037881,ga,0,small
9,0.0,0.0,False,0,0,0.0007769999792799354,ga,0,small
10,0.0,0.0,False,0,0,0.0008471999317407608,ga,0,small
11,0.0,0.0,False,0,0,0.0009194999001920223,ga,0,small
12,0.0,0.0,False,0,0,0.0009908999782055616,ga,0,small
13,0.0,0.0,False,0,0,0.0010627999436110258,ga,0,small
14,0.0,0.0,False,0,0,0.0011344999074935913,ga,0,small
15,0.0,0.0,False,0,0,0.0012051999801769853,ga,0,small
16,0.0,0.0,False,1,0,0.001281999982893467,ga,0,small
17,4.164848422194305,4.164848422194305,True,1,1,0.0013592999894171953,ga,0,small
18,0.0,4.164848422194305,False,0,1,0.0014327999670058489,ga,0,small
19,0.0,4.164848422194305,False,0,1,0.0015050999354571104,ga,0,small
20,0.0,4.164848422194305,False,0,1,0.001576799899339676,ga,0,small
21,0.0,4.164848422194305,False,0,1,0.00164899998344481,ga,0,small
22,0.0,4.164848422194305,False,0,1,0.0017195999389514327,ga,0,small
23,0.0,4.164848422194305,False,0,1,0.0017915999051183462,ga,0,small
24,0.0,4.164848422194305,False,0,1,0.0018632999854162335,ga,0,small
25,0.0,4.164848422194305,False,0,1,0.0019353999523445964,ga,0,small
26,0.0,4.164848422194305,False,0,1,0.002010699943639338,ga,0,small
27,0.0,4.164848422194305,False,0,1,0.0020856999326497316,ga,0,small
28,0.0,4.164848422194305,False,0,1,0.002159199910238385,ga,0,small
29,0.0,4.164848422194305,False,0,1,0.0022340998984873295,ga,0,small
30,0.0,4.164848422194305,False,0,1,0.002309899893589318,ga,0,small
31,0.0,4.164848422194305,False,0,1,0.0023840999929234385,ga,0,small
32,0.0,4.164848422194305,False,0,1,0.0024579999735578895,ga,0,small
33,0.0,4.164848422194305,False,0,1,0.002531199948862195,ga,0,small
34,0.0,4.164848422194305,False,0,1,0.002606599940918386,ga,0,small
35,0.0,4.164848422194305,False,0,1,0.002677499898709357,ga,0,small
36,0.0,4.164848422194305,False,0,1,0.0027481999713927507,ga,0,small
37,4.164848422194305,4.164848422194305,True,1,1,0.0038929999573156238,ga,0,small
38,0.0,4.164848422194305,False,0,1,0.00414259999524802,ga,0,small
