iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,runtime_sec,method,seed,scale
1,0.0,0.0,False,0,0,0.000269399955868721,pso,1,small
2,0.0,0.0,False,0,0,0.00038620003033429384,pso,1,small
3,0.0,0.0,False,0,0,0.00047009997069835663,pso,1,small
4,0.0,0.0,False,0,0,0.0005514000076800585,pso,1,small
5,0.0,0.0,False,0,0,0.0006344000576063991,pso,1,small
6,0.0,0.0,False,0,0,0.0007151999743655324,pso,1,small
7,0.0,0.0,False,0,0,0.0007961000083014369,pso,1,small
8,0.0,0.0,False,0,0,0.000874800025485456,pso,1,small
9,0.0,0.0,False,0,0,0.0009542000479996204,pso,1,small
10,0.0,0.0,False,0,0,0.0010334999533370137,pso,1,small
11,0.0,0.0,False,0,0,0.001114899991080165,pso,1,small
12,0.0,0.0,False,0,0,0.0011950000189244747,pso,1,small
13,0.0,0.0,False,0,0,0.0012753000482916832,pso,1,small
14,0.0,0.0,False,0,0,0.001353900064714253,pso,1,small
15,0.0,0.0,False,0,0,0.0014318999601528049,pso,1,small
16,0.0,0.0,False,0,0,0.001511799986474216,pso,1,small
17,0.0,0.0,False,0,0,0.0015870999777689576,pso,1,small
18,0.0,0.0,False,1,0,0.0016694000223651528,pso,1,small
19,0.0,0.0,False,0,0,0.0017482000403106213,pso,1,small
20,0.0,0.0,False,0,0,0.001826500054448843,pso,1,small
21,0.0,0.0,False,0,0,0.0019064999651163816,pso,1,small
22,0.0,0.0,False,0,0,0.0020050000166520476,pso,1,small
23,0.0,0.0,False,0,0,0.0020819000201299787,pso,1,small
24,0.0,0.0,False,1,0,0.0021765000419691205,pso,1,small
25,0.0,0.0,False,0,0,0.0022580999648198485,pso,1,small
26,0.0,0.0,False,0,0,0.0023490999592468143,pso,1,small
27,0.0,0.0,False,0,0,0.0024268999695777893,pso,1,small
28,0.0,0.0,False,0,0,0.0025053999852389097,pso,1,small
29,0.0,0.0,False,0,0,0.0025833999970927835,pso,1,small
30,0.0,0.0,False,0,0,0.002662000013515353,pso,1,small
31,0.0,0.0,False,0,0,0.0027364999987185,pso,1,small
32,0.0,0.0,False,0,0,0.0028108999831601977,pso,1,small
33,0.0,0.0,False,0,0,0.00288609997369349,pso,1,small
34,0.0,0.0,False,0,0,0.002962699974887073,pso,1,small
35,0.0,0.0,False,0,0,0.0030372999608516693,pso,1,small
36,0.0,0.0,False,0,0,0.0031113000586628914,pso,1,small
37,0.0,0.0,False,0,0,0.003217600053176284,pso,1,small
38,0.0,0.0,False,0,0,0.003291000030003488,pso,1,small
39,0.0,0.0,False,0,0,0.003365500015206635,pso,1,small
40,21.128243146079996,21.128243146079996,True,1,1,0.0034443000331521034,pso,1,small
41,0.0,21.128243146079996,False,0,1,0.003519000019878149,pso,1,small
42,0.0,21.128243146079996,False,0,1,0.00359139998909086,pso,1,small
43,0.0,21.128243146079996,False,0,1,0.003664499963633716,pso,1,small
44,0.0,21.128243146079996,False,0,1,0.0037366000469774008,pso,1,small
45,0.0,21.128243146079996,False,0,1,0.003815400064922869,pso,1,small
46,0.0,21.128243146079996,False,0,1,0.0038923999527469277,pso,1,small
47,0.0,21.128243146079996,False,0,1,0.003976200008764863,pso,1,small
48,0.0,21.128243146079996,False,0,1,0.004054100019857287,pso,1,small
49,0.0,21.128243146079996,False,0,1,0.0041316000279039145,pso,1,small
50,0.0,21.128243146079996,False,0,1,0.004207200021483004,pso,1,small
51,0.0,21.128243146079996,False,0,1,0.004283700021915138,pso,1,small
52,0.0,21.128243146079996,False,0,1,0.0043611000292003155,pso,1,small
53,0.0,21.128243146079996,False,0,1,0.0044380000326782465,pso,1,small
54,0.0,21.128243146079996,False,0,1,0.004514700034633279,pso,1,small
55,0.0,21.128243146079996,False,0,1,0.004591300035826862,pso,1,small
56,0.0,21.128243146079996,False,0,1,0.0046669000294059515,pso,1,small
57,0.0,21.128243146079996,False,0,1,0.0047432000283151865,pso,1,small
58,0.0,21.128243146079996,False,0,1,0.0048726999666541815,pso,1,small
59,0.0,21.128243146079996,False,0,1,0.005165099981240928,pso,1,small
60,0.0,21.128243146079996,False,0,1,0.0053116000490263104,pso,1,small
61,0.0,21.128243146079996,False,0,1,0.0053903000662103295,pso,1,small
62,0.0,21.128243146079996,False,0,1,0.005468399962410331,pso,1,small
63,0.0,21.128243146079996,False,0,1,0.005547799984924495,pso,1,small
64,0.0,21.128243146079996,False,0,1,0.0056220999686047435,pso,1,small
65,0.0,21.128243146079996,False,0,1,0.005695700063370168,pso,1,small
66,0.0,21.128243146079996,False,0,1,0.005770400050096214,pso,1,small
67,0.0,21.128243146079996,False,0,1,0.005843900027684867,pso,1,small
68,0.0,21.128243146079996,False,0,1,0.005917700007557869,pso,1,small
69,0.0,21.128243146079996,False,0,1,0.005992999998852611,pso,1,small
70,0.0,21.128243146079996,False,0,1,0.006064999965019524,pso,1,small
71,0.0,21.128243146079996,False,0,1,0.006150300032459199,pso,1,small
72,0.0,21.128243146079996,False,0,1,0.006221599993295968,pso,1,small
73,0.0,21.128243146079996,False,0,1,0.006328699993900955,pso,1,small
74,0.0,21.128243146079996,False,0,1,0.006400699960067868,pso,1,small
75,0.0,21.128243146079996,False,0,1,0.006472500041127205,pso,1,small
76,0.0,21.128243146079996,False,0,1,0.006543800001963973,pso,1,small
77,0.0,21.128243146079996,False,0,1,0.00662580004427582,pso,1,small
78,0.0,21.128243146079996,False,0,1,0.006709099980071187,pso,1,small
79,0.0,21.128243146079996,False,0,1,0.006848599994555116,pso,1,small
80,0.0,21.128243146079996,False,0,1,0.006980600068345666,pso,1,small
