"eval_idx","utility","served_count","served_ratio","success_flag","first_feasible_flag","window_feasible_attempts","rate_feasible_attempts","transmission_feasible_attempts","outage_count","duplicate_count","conflict_count","energy_cost","best_so_far","runtime_sec","method","seed","scale","iteration","current_reward","best_reward","feasible","served_tasks","best_served_tasks","channel_model","window_width","rate_threshold_mbps","experiment","budget"
"1","0.0","0","0.0","False","False","2","0","0","0","0","0","215.70653825543263","0.0","0.0007546999986516312","full_space_bo","1","medium","1","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"2","0.0","0","0.0","False","False","0","0","0","0","0","1","238.97769771159338","0.0","0.0014068999953451566","full_space_bo","1","medium","2","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"3","0.0","0","0.0","False","False","1","0","0","1","0","0","282.6469214382862","0.0","0.0020444999972824007","full_space_bo","1","medium","3","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"4","0.0","0","0.0","False","False","2","0","0","0","0","3","204.29576396599285","0.0","0.0026912999965134077","full_space_bo","1","medium","4","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"5","0.0","0","0.0","False","False","3","0","0","0","0","0","203.01724681586876","0.0","0.0033196000003954396","full_space_bo","1","medium","5","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"6","0.0","0","0.0","False","False","3","0","0","0","0","0","290.97350376970667","0.0","0.0039447000017389655","full_space_bo","1","medium","6","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"7","0.0","0","0.0","False","False","1","0","0","0","0","0","165.07972466565548","0.0","0.004564099996059667","full_space_bo","1","medium","7","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"8","0.0","0","0.0","False","False","2","0","0","0","0","0","230.21209137978911","0.0","0.00518490000104066","full_space_bo","1","medium","8","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"9","0.0","0","0.0","False","False","0","0","0","0","0","0","211.1647260087161","0.0","0.005805199994938448","full_space_bo","1","medium","9","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
"10","0.0","0","0.0","False","False","1","0","0","1","0","1","266.08376113386765","0.0","0.006429399996704888","full_space_bo","1","medium","10","0.0","0.0","False","0","0","distance","30.0","15.0","ablation","300"
