eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,0,0,3,422.6627696897742,0.0,0.0008171000008587725,full_space_bo,0,large,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
2,0.0,0,0.0,False,False,4,0,0,0,0,4,387.0658583872597,0.0,0.0013688999970327131,full_space_bo,0,large,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
3,0.0,0,0.0,False,False,6,0,0,1,0,2,380.207555947126,0.0,0.0019208999947295524,full_space_bo,0,large,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
4,0.0,0,0.0,False,False,4,0,0,0,0,3,382.7497557493467,0.0,0.00245349999750033,full_space_bo,0,large,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
5,0.0,0,0.0,False,False,1,0,0,1,0,1,379.0105351057121,0.0,0.002929399997810833,full_space_bo,0,large,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
6,0.0,0,0.0,False,False,2,0,0,0,0,1,358.79558149925003,0.0,0.00337990000116406,full_space_bo,0,large,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
7,0.0,0,0.0,False,False,3,0,0,1,0,2,372.31592330489644,0.0,0.0038619999977527186,full_space_bo,0,large,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
8,0.0,0,0.0,False,False,3,0,0,0,0,2,304.54050793925956,0.0,0.004371199996967334,full_space_bo,0,large,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
9,0.0,0,0.0,False,False,5,0,0,0,0,3,424.45213541731124,0.0,0.004828500001167413,full_space_bo,0,large,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
10,0.0,0,0.0,False,False,1,0,0,0,0,6,386.39211475068277,0.0,0.005279500001051929,full_space_bo,0,large,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
11,0.0,0,0.0,False,False,4,0,0,0,0,2,378.34916410628534,0.0,0.005747199997131247,full_space_bo,0,large,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
12,0.0,0,0.0,False,False,2,0,0,0,0,0,380.28041292467054,0.0,0.006225999997695908,full_space_bo,0,large,12,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
13,0.0,0,0.0,False,False,2,0,0,0,0,2,386.18983949518196,0.0,0.0067483999955584295,full_space_bo,0,large,13,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
14,0.0,0,0.0,False,False,5,0,0,1,0,1,286.5380729103176,0.0,0.007296799994946923,full_space_bo,0,large,14,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
15,0.0,0,0.0,False,False,2,0,0,1,0,0,400.6192340703718,0.0,0.00789719999738736,full_space_bo,0,large,15,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
16,0.0,0,0.0,False,False,4,0,0,0,0,3,336.587278794535,0.0,0.008561099995858967,full_space_bo,0,large,16,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
17,0.0,0,0.0,False,False,9,0,0,0,0,0,291.0460074770073,0.0,0.009251399998902343,full_space_bo,0,large,17,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
18,0.0,0,0.0,False,False,3,0,0,0,0,3,348.0362664853388,0.0,0.009948599996278062,full_space_bo,0,large,18,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
19,0.0,0,0.0,False,False,5,0,0,0,0,1,363.93498385877945,0.0,0.010707900000852533,full_space_bo,0,large,19,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
20,0.0,0,0.0,False,False,8,0,0,0,0,0,338.25231307272406,0.0,0.011709599995811004,full_space_bo,0,large,20,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
21,0.0,0,0.0,False,False,4,0,0,0,0,0,424.8164792446231,0.0,0.012685299996519461,full_space_bo,0,large,21,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
22,0.0,0,0.0,False,False,1,0,0,0,0,2,373.9506609175012,0.0,0.01356619999569375,full_space_bo,0,large,22,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
23,0.0,1,0.025,False,False,3,1,1,1,0,2,341.17343392852393,0.0,0.01442020000104094,full_space_bo,0,large,23,0.0,0.0,False,1,0,distance,30.0,15.0,main,300
24,0.0,0,0.0,False,False,2,0,0,0,0,1,359.9707498252508,0.0,0.015234399994369596,full_space_bo,0,large,24,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
25,0.0,0,0.0,False,False,1,0,0,0,0,0,308.47166739295494,0.0,0.016246099999989383,full_space_bo,0,large,25,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
26,0.0,0,0.0,False,False,7,0,0,0,0,4,371.9155324316479,0.0,0.017041999999491964,full_space_bo,0,large,26,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
27,0.0,0,0.0,False,False,4,0,0,0,0,3,284.1875474169699,0.0,0.017772899998817593,full_space_bo,0,large,27,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
28,0.0,0,0.0,False,False,4,0,0,1,0,2,346.05681551622956,0.0,0.018467299996700604,full_space_bo,0,large,28,0.0,0.0,False,0,0,distance,30.0,15.0,main,300
