"eval_idx","utility","served_count","served_ratio","success_flag","first_feasible_flag","window_feasible_attempts","rate_feasible_attempts","transmission_feasible_attempts","outage_count","duplicate_count","conflict_count","energy_cost","best_so_far","runtime_sec","method","seed","scale","iteration","current_reward","best_reward","feasible","served_tasks","best_served_tasks","channel_model","window_width","rate_threshold_mbps","experiment","budget"
"1","0.0","0","0.0","False","False","2","0","0","0","0","0","233.48797306143143","0.0","0.00041509999573463574","full_space_bo","0","medium","1","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"2","0.0","0","0.0","False","False","3","0","0","0","0","0","187.117307914403","0.0","0.0006701000020257197","full_space_bo","0","medium","2","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"3","0.0","0","0.0","False","False","2","0","0","0","0","4","226.66634196788328","0.0","0.000992599998426158","full_space_bo","0","medium","3","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"4","0.0","0","0.0","False","False","0","0","0","0","0","1","229.91458075521547","0.0","0.0012275999979465269","full_space_bo","0","medium","4","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"5","0.0","0","0.0","False","False","0","0","0","0","0","0","242.78731208908033","0.0","0.0014510999972117133","full_space_bo","0","medium","5","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"6","0.0","0","0.0","False","False","1","0","0","0","0","1","256.9375247700236","0.0","0.0016739999991841614","full_space_bo","0","medium","6","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"7","0.0","0","0.0","False","False","2","0","0","0","0","1","226.0671543519981","0.0","0.00189459999819519","full_space_bo","0","medium","7","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"8","0.0","0","0.0","False","False","1","0","0","0","0","1","263.754595788293","0.0","0.002115399998729117","full_space_bo","0","medium","8","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"9","0.0","0","0.0","False","False","0","0","0","0","0","1","236.85736425347932","0.0","0.002336400000785943","full_space_bo","0","medium","9","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"10","0.0","0","0.0","False","False","0","0","0","0","0","0","250.59251592451324","0.0","0.0025540999995428137","full_space_bo","0","medium","10","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"11","0.0","0","0.0","False","False","3","0","0","1","0","1","138.4604604845721","0.0","0.002775200002361089","full_space_bo","0","medium","11","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"12","0.0","0","0.0","False","False","1","0","0","1","0","0","251.61358356084529","0.0","0.0029939000014564954","full_space_bo","0","medium","12","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"13","0.0","0","0.0","False","False","5","0","0","1","0","0","237.50365278559067","0.0","0.0032129000028362498","full_space_bo","0","medium","13","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"14","0.0","0","0.0","False","False","1","0","0","0","0","1","207.25310211972038","0.0","0.00343099999736296","full_space_bo","0","medium","14","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"15","0.0","0","0.0","False","False","1","0","0","0","0","1","210.70490546285146","0.0","0.00364879999688128","full_space_bo","0","medium","15","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"16","0.0","0","0.0","False","False","0","0","0","0","0","1","164.5244262720842","0.0","0.0038681000005453825","full_space_bo","0","medium","16","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"17","0.0","0","0.0","False","False","3","0","0","0","0","0","249.36305873166162","0.0","0.004089000001840759","full_space_bo","0","medium","17","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"18","0.0","0","0.0","False","False","1","0","0","0","0","2","245.03773387627876","0.0","0.004308700001274701","full_space_bo","0","medium","18","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"19","0.0","0","0.0","False","False","2","0","0","0","0","0","191.44776588177146","0.0","0.0045259999969857745","full_space_bo","0","medium","19","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"20","0.0","0","0.0","False","False","5","0","0","0","0","1","223.0999249916693","0.0","0.004745999998704065","full_space_bo","0","medium","20","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"21","0.0","0","0.0","False","False","2","0","0","1","0","2","240.67620690108777","0.0","0.005011900000681635","full_space_bo","0","medium","21","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"22","0.0","0","0.0","False","False","0","0","0","0","0","0","208.2970651259713","0.0","0.005255800002487376","full_space_bo","0","medium","22","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"23","0.0","0","0.0","False","False","3","0","0","0","0","1","246.37501718059355","0.0","0.005491199997777585","full_space_bo","0","medium","23","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"24","0.0","0","0.0","False","False","0","0","0","0","0","0","201.42385873763362","0.0","0.005725499999243766","full_space_bo","0","medium","24","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"25","0.0","0","0.0","False","False","0","0","0","0","0","1","227.30344152166973","0.0","0.005959499998425599","full_space_bo","0","medium","25","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"26","0.0","0","0.0","False","False","3","0","0","1","0","0","162.10803791334922","0.0","0.006194699999468867","full_space_bo","0","medium","26","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"27","0.0","0","0.0","False","False","0","0","0","0","0","0","170.26196074283183","0.0","0.006430599998566322","full_space_bo","0","medium","27","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"28","0.0","0","0.0","False","False","0","0","0","0","0","1","208.77722150689627","0.0","0.006665100001555402","full_space_bo","0","medium","28","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"29","0.0","0","0.0","False","False","0","0","0","0","0","1","221.1787865063581","0.0","0.007103299998561852","full_space_bo","0","medium","29","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"30","0.0","0","0.0","False","False","2","0","0","0","0","0","217.68468889205207","0.0","0.007359299997915514","full_space_bo","0","medium","30","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"31","0.0","0","0.0","False","False","2","0","0","0","0","0","217.47142252708255","0.0","0.007596299998112954","full_space_bo","0","medium","31","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"32","0.0","0","0.0","False","False","1","0","0","0","0","3","181.36363395548688","0.0","0.007836400000087451","full_space_bo","0","medium","32","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"33","0.0","0","0.0","False","False","0","0","0","0","0","0","192.81215273397612","0.0","0.008068999995884951","full_space_bo","0","medium","33","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"34","0.0","0","0.0","False","False","1","0","0","0","0","0","106.88678790884684","0.0","0.00830889999633655","full_space_bo","0","medium","34","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"35","0.0","0","0.0","False","False","2","0","0","0","0","0","233.2720741122853","0.0","0.008547400000679772","full_space_bo","0","medium","35","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"36","0.0","0","0.0","False","False","0","0","0","0","0","1","258.35499844020524","0.0","0.008782299999438692","full_space_bo","0","medium","36","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"37","0.0","0","0.0","False","False","3","0","0","1","0","0","199.19511440069877","0.0","0.009016899995913263","full_space_bo","0","medium","37","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"38","0.0","0","0.0","False","False","3","0","0","0","0","0","218.0585233766595","0.0","0.009249399998225272","full_space_bo","0","medium","38","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"39","0.0","0","0.0","False","False","0","0","0","0","0","0","214.8335539209707","0.0","0.009485800001129974","full_space_bo","0","medium","39","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"40","0.0","0","0.0","False","False","2","0","0","0","0","0","215.8599229722883","0.0","0.009718200002680533","full_space_bo","0","medium","40","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"41","0.0","0","0.0","False","False","1","0","0","0","0","0","271.3383632912417","0.0","0.009949499995855149","full_space_bo","0","medium","41","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"42","0.0","0","0.0","False","False","2","0","0","0","0","0","213.90721141958272","0.0","0.010296000000380445","full_space_bo","0","medium","42","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"43","0.0","0","0.0","False","False","1","0","0","0","0","0","236.75512151963906","0.0","0.010804999998072162","full_space_bo","0","medium","43","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"44","0.0","0","0.0","False","False","1","0","0","0","0","1","206.39479435532107","0.0","0.011251199997786898","full_space_bo","0","medium","44","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"45","0.0","0","0.0","False","False","1","0","0","0","0","0","225.9751333233676","0.0","0.011529600000358187","full_space_bo","0","medium","45","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"46","0.0","0","0.0","False","False","1","0","0","0","0","1","109.9386952577731","0.0","0.011806099995737895","full_space_bo","0","medium","46","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"47","0.0","0","0.0","False","False","3","0","0","0","0","0","232.90964653802115","0.0","0.012057699997967575","full_space_bo","0","medium","47","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
"48","0.0","0","0.0","False","False","0","0","0","0","0","0","195.2335351779016","0.0","0.012297200002649333","full_space_bo","0","medium","48","0.0","0.0","False","0","0","distance","30.0","15.0","rate_high","300"
