eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,269.9350903873382,0.0,0.0005975999956717715,full_space_bo,6,medium,1,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
2,0.0,0,0.0,False,False,1,0,0,1,0,0,197.4129759987754,0.0,0.0010278999980073422,full_space_bo,6,medium,2,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
3,0.0,0,0.0,False,False,1,0,0,0,0,1,299.09838298526734,0.0,0.0014378000050783157,full_space_bo,6,medium,3,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
4,0.0,0,0.0,False,False,2,0,0,0,0,1,247.6967867446326,0.0,0.001836900002672337,full_space_bo,6,medium,4,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
5,0.0,0,0.0,False,False,0,0,0,0,0,1,258.916192590798,0.0,0.0022198000078788027,full_space_bo,6,medium,5,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
6,0.0,0,0.0,False,False,1,0,0,0,0,0,288.7191501952907,0.0,0.0026021999947261065,full_space_bo,6,medium,6,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
7,0.0,0,0.0,False,False,2,0,0,0,0,0,238.51554462813047,0.0,0.002969599998323247,full_space_bo,6,medium,7,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
8,0.0,0,0.0,False,False,1,0,0,0,0,3,200.70684120542606,0.0,0.00333360000513494,full_space_bo,6,medium,8,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
9,0.0,0,0.0,False,False,2,0,0,0,0,2,209.15514467994987,0.0,0.0036885000008624047,full_space_bo,6,medium,9,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
10,0.0,0,0.0,False,False,0,0,0,0,0,0,238.2199630982815,0.0,0.004041199994389899,full_space_bo,6,medium,10,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
11,0.0,0,0.0,False,False,0,0,0,0,0,1,248.97213928224966,0.0,0.004394500007038005,full_space_bo,6,medium,11,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
12,0.0,0,0.0,False,False,2,0,0,0,0,0,277.25927364149624,0.0,0.00490640000498388,full_space_bo,6,medium,12,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
13,0.0,0,0.0,False,False,1,0,0,0,0,0,239.9819709442198,0.0,0.005288800006383099,full_space_bo,6,medium,13,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
14,0.0,0,0.0,False,False,1,0,0,0,0,0,186.09353297203404,0.0,0.005627399994409643,full_space_bo,6,medium,14,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
15,0.0,0,0.0,False,False,0,0,0,0,0,0,200.1243799099326,0.0,0.005957300003501587,full_space_bo,6,medium,15,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
16,0.0,0,0.0,False,False,2,0,0,0,0,1,195.36020127986143,0.0,0.006286500007263385,full_space_bo,6,medium,16,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
17,0.0,0,0.0,False,False,3,0,0,0,0,0,267.9047503051743,0.0,0.006627900002058595,full_space_bo,6,medium,17,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
18,0.0,0,0.0,False,False,0,0,0,0,0,1,259.59577022646806,0.0,0.006974699994316325,full_space_bo,6,medium,18,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
19,0.0,0,0.0,False,False,1,0,0,0,0,1,226.0245828053059,0.0,0.007321900004171766,full_space_bo,6,medium,19,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
20,0.0,0,0.0,False,False,3,0,0,0,0,0,249.16507383492183,0.0,0.007688099998631515,full_space_bo,6,medium,20,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
21,0.0,0,0.0,False,False,2,0,0,0,0,1,218.2341422607199,0.0,0.008118800004012883,full_space_bo,6,medium,21,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
22,0.0,0,0.0,False,False,1,0,0,0,0,0,205.40376797999096,0.0,0.008530299994163215,full_space_bo,6,medium,22,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
23,0.0,0,0.0,False,False,0,0,0,0,0,1,226.8255111088881,0.0,0.00896229999489151,full_space_bo,6,medium,23,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
24,0.0,0,0.0,False,False,2,0,0,0,0,2,215.60746425692713,0.0,0.009536400000797585,full_space_bo,6,medium,24,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
25,0.0,0,0.0,False,False,0,0,0,0,0,1,226.08085163495537,0.0,0.010063900001114234,full_space_bo,6,medium,25,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
26,0.0,0,0.0,False,False,2,0,0,0,0,0,211.53700132375758,0.0,0.010874200001126155,full_space_bo,6,medium,26,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
27,0.0,0,0.0,False,False,2,0,0,0,0,0,176.4993998097386,0.0,0.011752899998100474,full_space_bo,6,medium,27,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
28,0.0,0,0.0,False,False,2,0,0,0,0,1,218.6313989337645,0.0,0.012251000007381663,full_space_bo,6,medium,28,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
29,0.0,0,0.0,False,False,1,0,0,0,0,0,256.6946714680169,0.0,0.012740699996356852,full_space_bo,6,medium,29,0.0,0.0,False,0,0,distance,30.0,8.0,rate_low,300
