eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,3,0,0,0,0,1,184.88940619898074,0.0,0.002275600010761991,full_space_bo,5,medium,1,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
2,0.0,0,0.0,False,False,0,0,0,0,0,1,195.2916819544131,0.0,0.004570500008412637,full_space_bo,5,medium,2,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
3,0.0,0,0.0,False,False,1,0,0,0,0,0,189.70808350245863,0.0,0.0060427999997045845,full_space_bo,5,medium,3,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
4,0.0,0,0.0,False,False,2,0,0,0,0,1,281.7080399629287,0.0,0.007880300006945617,full_space_bo,5,medium,4,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
5,0.0,0,0.0,False,False,3,0,0,0,0,1,220.11501393933867,0.0,0.010179800010519102,full_space_bo,5,medium,5,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
6,0.0,0,0.0,False,False,2,0,0,1,0,1,151.44817297668152,0.0,0.011918900010641664,full_space_bo,5,medium,6,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
7,0.0,0,0.0,False,False,2,0,0,0,0,1,211.45976298319783,0.0,0.01339670000015758,full_space_bo,5,medium,7,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
8,0.0,0,0.0,False,False,0,0,0,0,0,1,269.0588668381452,0.0,0.014882500006933697,full_space_bo,5,medium,8,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
9,0.0,0,0.0,False,False,2,0,0,0,0,1,223.4255158549974,0.0,0.0179305000056047,full_space_bo,5,medium,9,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
10,0.0,0,0.0,False,False,0,0,0,0,0,1,174.30491308463493,0.0,0.019489300000714138,full_space_bo,5,medium,10,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
11,0.0,0,0.0,False,False,4,0,0,0,0,1,216.28983778218537,0.0,0.020892900007311255,full_space_bo,5,medium,11,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
12,0.0,0,0.0,False,False,1,0,0,0,0,1,238.81231768615396,0.0,0.02243500000622589,full_space_bo,5,medium,12,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
13,0.0,0,0.0,False,False,1,0,0,0,0,0,270.79447732092484,0.0,0.02396960000623949,full_space_bo,5,medium,13,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
14,0.0,0,0.0,False,False,1,0,0,0,0,0,188.21947847457056,0.0,0.025444600003538653,full_space_bo,5,medium,14,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
15,0.0,0,0.0,False,False,3,0,0,0,0,0,228.3771256667968,0.0,0.026857300006668083,full_space_bo,5,medium,15,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
16,0.0,0,0.0,False,False,2,0,0,0,0,1,212.2071220050856,0.0,0.028502500004833564,full_space_bo,5,medium,16,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
17,0.0,0,0.0,False,False,3,0,0,0,0,1,233.81041969454137,0.0,0.029949600007967092,full_space_bo,5,medium,17,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
18,0.0,0,0.0,False,False,0,0,0,0,0,2,237.0032095462394,0.0,0.03135150000161957,full_space_bo,5,medium,18,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
19,0.0,0,0.0,False,False,2,0,0,0,0,0,179.52441827788556,0.0,0.0330928000039421,full_space_bo,5,medium,19,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
20,0.0,0,0.0,False,False,1,0,0,0,0,0,313.55303080854725,0.0,0.03453660001105163,full_space_bo,5,medium,20,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
21,0.0,0,0.0,False,False,1,0,0,0,0,0,246.705107256246,0.0,0.036116400005994365,full_space_bo,5,medium,21,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
22,0.0,0,0.0,False,False,0,0,0,0,0,0,240.98987243545992,0.0,0.0375252000085311,full_space_bo,5,medium,22,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
23,0.0,0,0.0,False,False,3,0,0,0,0,1,202.09683248718605,0.0,0.038927900008275174,full_space_bo,5,medium,23,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
24,0.0,0,0.0,False,False,0,0,0,0,0,1,230.04353231933365,0.0,0.040309100004378706,full_space_bo,5,medium,24,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
25,0.0,0,0.0,False,False,3,0,0,0,0,0,225.62986626271865,0.0,0.04171910000150092,full_space_bo,5,medium,25,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
26,0.0,0,0.0,False,False,1,0,0,0,0,2,183.5097267478582,0.0,0.04314540000632405,full_space_bo,5,medium,26,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
27,0.0,0,0.0,False,False,2,0,0,1,0,2,233.06764847481773,0.0,0.044565000003785826,full_space_bo,5,medium,27,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
28,0.0,0,0.0,False,False,0,0,0,0,0,1,220.09578716430207,0.0,0.04602500000328291,full_space_bo,5,medium,28,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
29,0.0,0,0.0,False,False,3,0,0,1,0,1,214.6906377948813,0.0,0.047444600000744686,full_space_bo,5,medium,29,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
30,0.0,0,0.0,False,False,2,0,0,0,0,2,198.53256695365872,0.0,0.04939810000360012,full_space_bo,5,medium,30,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
31,0.0,0,0.0,False,False,3,0,0,0,0,0,163.4657352865536,0.0,0.05111330001091119,full_space_bo,5,medium,31,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
32,0.0,0,0.0,False,False,0,0,0,0,0,0,225.6093250349585,0.0,0.05361500001163222,full_space_bo,5,medium,32,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
33,0.0,0,0.0,False,False,2,0,0,0,0,0,232.6016231429908,0.0,0.0551945000042906,full_space_bo,5,medium,33,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
34,0.0,0,0.0,False,False,1,0,0,0,0,0,240.51123220993068,0.0,0.05663910000293981,full_space_bo,5,medium,34,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
35,0.0,0,0.0,False,False,3,0,0,0,0,0,195.63270750519615,0.0,0.058460500004002824,full_space_bo,5,medium,35,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
36,0.0,0,0.0,False,False,0,0,0,0,0,0,282.63489651797454,0.0,0.06001710001146421,full_space_bo,5,medium,36,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
37,0.0,0,0.0,False,False,2,0,0,0,0,0,253.8265690200747,0.0,0.0615760000073351,full_space_bo,5,medium,37,0.0,0.0,False,0,0,distance,30.0,12.0,rate_medium,300
