"eval_idx","utility","served_count","served_ratio","success_flag","first_feasible_flag","window_feasible_attempts","rate_feasible_attempts","transmission_feasible_attempts","outage_count","duplicate_count","conflict_count","energy_cost","best_so_far","runtime_sec","method","seed","scale","iteration","current_reward","best_reward","feasible","served_tasks","best_served_tasks","channel_model","window_width","rate_threshold_mbps","experiment","budget"
"1","0.0","0","0.0","False","False","3","0","0","1","0","1","327.0115274669139","0.0","0.0007467000032193027","full_space_bo","4","medium","1","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"2","0.0","0","0.0","False","False","2","0","0","0","0","2","216.04381928151454","0.0","0.001448200004233513","full_space_bo","4","medium","2","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"3","0.0","0","0.0","False","False","1","0","0","0","0","1","160.53769869976333","0.0","0.002084899999317713","full_space_bo","4","medium","3","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"4","0.0","0","0.0","False","False","2","0","0","0","0","0","253.23509760281678","0.0","0.0027157000004081056","full_space_bo","4","medium","4","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"5","0.0","0","0.0","False","False","0","0","0","0","0","0","256.80170790103585","0.0","0.0033421000043745153","full_space_bo","4","medium","5","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"6","0.0","0","0.0","False","False","3","0","0","0","0","0","326.7091163212117","0.0","0.0039699000044493005","full_space_bo","4","medium","6","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"7","0.0","0","0.0","False","False","4","0","0","0","0","1","189.3130960542964","0.0","0.004906599999230821","full_space_bo","4","medium","7","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"8","0.0","0","0.0","False","False","3","0","0","1","0","0","257.953734926547","0.0","0.005766900001617614","full_space_bo","4","medium","8","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"9","0.0","0","0.0","False","False","2","0","0","0","0","1","211.01952999093746","0.0","0.0064115999994101","full_space_bo","4","medium","9","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"10","0.0","0","0.0","False","False","1","0","0","0","0","1","182.90401573525537","0.0","0.007044800004223362","full_space_bo","4","medium","10","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"11","0.0","0","0.0","False","False","3","0","0","1","0","0","220.60480667016947","0.0","0.007677499997953419","full_space_bo","4","medium","11","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"12","0.0","0","0.0","False","False","3","0","0","0","0","1","208.8594459513148","0.0","0.008306100004119799","full_space_bo","4","medium","12","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
"13","0.0","0","0.0","False","False","0","0","0","0","0","0","226.80733098845045","0.0","0.008929299998271745","full_space_bo","4","medium","13","0.0","0.0","False","0","0","distance","30.0","15.0","window_medium","300"
