eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,269.9350903873382,0.0,0.0005264000064926222,full_space_bo,6,medium,1,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
2,0.0,0,0.0,False,False,0,0,0,0,0,0,197.4129759987754,0.0,0.000898300000699237,full_space_bo,6,medium,2,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
3,0.0,0,0.0,False,False,1,0,0,0,0,1,299.09838298526734,0.0,0.0012301000097068027,full_space_bo,6,medium,3,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
4,0.0,0,0.0,False,False,0,0,0,0,0,1,247.6967867446326,0.0,0.0015552000113530084,full_space_bo,6,medium,4,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
5,0.0,0,0.0,False,False,0,0,0,0,0,1,258.916192590798,0.0,0.0018753000040305778,full_space_bo,6,medium,5,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
6,0.0,0,0.0,False,False,1,0,0,0,0,0,288.7191501952907,0.0,0.0021871000062674284,full_space_bo,6,medium,6,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
7,0.0,0,0.0,False,False,1,0,0,0,0,0,238.51554462813047,0.0,0.0024870000052032992,full_space_bo,6,medium,7,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
8,0.0,0,0.0,False,False,1,0,0,0,0,3,200.70684120542606,0.0,0.002961900012451224,full_space_bo,6,medium,8,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
9,0.0,0,0.0,False,False,0,0,0,0,0,2,209.15514467994987,0.0,0.003272400004789233,full_space_bo,6,medium,9,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
10,0.0,0,0.0,False,False,0,0,0,0,0,0,238.2199630982815,0.0,0.0035626000026240945,full_space_bo,6,medium,10,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
11,0.0,0,0.0,False,False,0,0,0,0,0,1,248.97213928224966,0.0,0.0038457000046037138,full_space_bo,6,medium,11,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
12,0.0,0,0.0,False,False,0,0,0,0,0,0,277.25927364149624,0.0,0.004125400009797886,full_space_bo,6,medium,12,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
13,0.0,0,0.0,False,False,1,0,0,0,0,0,239.9819709442198,0.0,0.004390200003399514,full_space_bo,6,medium,13,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
14,0.0,0,0.0,False,False,0,0,0,0,0,0,186.09353297203404,0.0,0.004674300012993626,full_space_bo,6,medium,14,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
15,0.0,0,0.0,False,False,0,0,0,0,0,0,200.1243799099326,0.0,0.004960400008712895,full_space_bo,6,medium,15,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
16,0.0,0,0.0,False,False,1,0,0,0,0,1,195.36020127986143,0.0,0.005241100006969646,full_space_bo,6,medium,16,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
17,0.0,0,0.0,False,False,2,0,0,0,0,0,267.9047503051743,0.0,0.00553530000615865,full_space_bo,6,medium,17,0.0,0.0,False,0,0,distance,15.0,15.0,window_narrow,300
