eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,5,0,0,0,0,0,269.9350903873382,0.0,0.0009532999974908307,full_space_bo,6,medium,1,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
2,0.0,0,0.0,False,False,3,0,0,1,0,0,197.4129759987754,0.0,0.0016050999984145164,full_space_bo,6,medium,2,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
3,0.0,0,0.0,False,False,5,0,0,0,0,1,299.09838298526734,0.0,0.00223129999358207,full_space_bo,6,medium,3,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
4,0.0,0,0.0,False,False,4,0,0,0,0,1,247.6967867446326,0.0,0.002862599998479709,full_space_bo,6,medium,4,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
5,0.0,0,0.0,False,False,2,0,0,0,0,1,258.916192590798,0.0,0.003483699998469092,full_space_bo,6,medium,5,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
6,0.0,0,0.0,False,False,3,0,0,0,0,0,288.7191501952907,0.0,0.0042095999961020425,full_space_bo,6,medium,6,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
7,0.0,0,0.0,False,False,2,0,0,0,0,0,238.51554462813047,0.0,0.004840900000999682,full_space_bo,6,medium,7,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
8,0.0,0,0.0,False,False,2,0,0,0,0,3,200.70684120542606,0.0,0.005462200002511963,full_space_bo,6,medium,8,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
9,0.0,0,0.0,False,False,4,0,0,0,0,2,209.15514467994987,0.0,0.006501399999251589,full_space_bo,6,medium,9,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
10,0.0,0,0.0,False,False,1,0,0,0,0,0,238.2199630982815,0.0,0.0072284999914700165,full_space_bo,6,medium,10,0.0,0.0,False,0,0,distance,60.0,15.0,window_wide,300
