eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,1,0,0,0,0,3,422.6627696897742,0.0,0.000535300001502037,rs,0,large,1,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
2,0.0,0,0.0,False,False,4,0,0,0,0,4,387.0658583872597,0.0,0.0009753999984241091,rs,0,large,2,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
3,0.0,0,0.0,False,False,6,0,0,1,0,2,380.207555947126,0.0,0.0014061000038054772,rs,0,large,3,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
4,0.0,0,0.0,False,False,4,0,0,0,0,3,382.7497557493467,0.0,0.0018189999973401427,rs,0,large,4,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
5,0.0,0,0.0,False,False,1,0,0,1,0,1,379.0105351057121,0.0,0.0022220000028028153,rs,0,large,5,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
6,0.0,0,0.0,False,False,2,0,0,0,0,1,358.79558149925003,0.0,0.0026288000008207746,rs,0,large,6,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
7,0.0,0,0.0,False,False,3,0,0,1,0,2,372.31592330489644,0.0,0.0030547999995178543,rs,0,large,7,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
8,0.0,0,0.0,False,False,3,0,0,0,0,2,304.54050793925956,0.0,0.003475600002275314,rs,0,large,8,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
9,0.0,0,0.0,False,False,5,0,0,0,0,3,424.45213541731124,0.0,0.0038879999992786907,rs,0,large,9,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
10,0.0,0,0.0,False,False,1,0,0,0,0,6,386.39211475068277,0.0,0.004291999997803941,rs,0,large,10,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
11,0.0,0,0.0,False,False,4,0,0,0,0,2,378.34916410628534,0.0,0.004699999997683335,rs,0,large,11,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
12,0.0,0,0.0,False,False,2,0,0,0,0,0,380.28041292467054,0.0,0.005104600000777282,rs,0,large,12,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
13,0.0,0,0.0,False,False,2,0,0,0,0,2,386.18983949518196,0.0,0.005688400000508409,rs,0,large,13,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
14,0.0,0,0.0,False,False,5,0,0,1,0,1,286.5380729103176,0.0,0.0062466000017593615,rs,0,large,14,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
15,0.0,0,0.0,False,False,2,0,0,1,0,0,400.6192340703718,0.0,0.006690900001558475,rs,0,large,15,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
16,0.0,0,0.0,False,False,4,0,0,0,0,3,336.587278794535,0.0,0.007108899997547269,rs,0,large,16,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
17,0.0,0,0.0,False,False,9,0,0,0,0,0,291.0460074770073,0.0,0.007516500001656823,rs,0,large,17,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
18,0.0,0,0.0,False,False,3,0,0,0,0,3,348.0362664853388,0.0,0.007920600000943523,rs,0,large,18,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
19,0.0,0,0.0,False,False,5,0,0,0,0,1,363.93498385877945,0.0,0.008326900002430193,rs,0,large,19,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
20,0.0,0,0.0,False,False,8,0,0,0,0,0,338.25231307272406,0.0,0.00873880000290228,rs,0,large,20,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
21,0.0,0,0.0,False,False,4,0,0,0,0,0,424.8164792446231,0.0,0.009178200001770165,rs,0,large,21,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
22,0.0,0,0.0,False,False,1,0,0,0,0,2,373.9506609175012,0.0,0.009606500003428664,rs,0,large,22,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
23,13.318646411604217,2,0.05,True,True,3,2,2,0,0,2,341.17343392852393,13.318646411604217,0.01002909999806434,rs,0,large,23,13.318646411604217,13.318646411604217,True,2,2,distance,30.0,13.0,sparsity,2000
24,0.0,0,0.0,False,False,2,0,0,0,0,1,359.9707498252508,13.318646411604217,0.010438600002089515,rs,0,large,24,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
25,0.0,0,0.0,False,False,1,0,0,0,0,0,308.47166739295494,13.318646411604217,0.010841800001799129,rs,0,large,25,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
26,0.0,0,0.0,False,False,7,0,0,0,0,4,371.9155324316479,13.318646411604217,0.011250800002017058,rs,0,large,26,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
27,0.0,0,0.0,False,False,4,0,0,0,0,3,284.1875474169699,13.318646411604217,0.011653699999442324,rs,0,large,27,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
28,0.0,0,0.0,False,False,4,0,0,1,0,2,346.05681551622956,13.318646411604217,0.012059499997121748,rs,0,large,28,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
29,0.0,0,0.0,False,False,2,0,0,0,0,2,308.74592920590476,13.318646411604217,0.012466599997424055,rs,0,large,29,0.0,13.318646411604217,False,0,2,distance,30.0,13.0,sparsity,2000
