eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.00036859999818261713,rs,0,medium,1,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0006825000018579885,rs,0,medium,2,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.0009180999986710958,rs,0,medium,3,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0011469999953988008,rs,0,medium,4,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.0013719999988097697,rs,0,medium,5,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0015994999994290993,rs,0,medium,6,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0018584999997983687,rs,0,medium,7,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.0021111999958520755,rs,0,medium,8,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.0023480999952880666,rs,0,medium,9,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.0025711999987834133,rs,0,medium,10,0.0,0.0,False,0,0,distance,30.0,13.0,sparsity,2000
