eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,0,0,0,0,0,0,134.47232702747527,0.0,0.00031180000223685056,rs,0,small,1,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
2,0.0,0,0.0,False,False,0,0,0,0,0,0,104.91935858258869,0.0,0.00046580000343965366,rs,0,small,2,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
3,0.0,0,0.0,False,False,0,0,0,0,0,0,164.48452233106798,0.0,0.0005836999989696778,rs,0,small,3,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
4,0.0,0,0.0,False,False,0,0,0,0,0,0,106.02591817132168,0.0,0.0007493000011891127,rs,0,small,4,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
5,0.0,0,0.0,False,False,0,0,0,0,0,0,138.6291852251285,0.0,0.0009013000017148443,rs,0,small,5,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
6,0.0,0,0.0,False,False,2,0,0,0,0,0,160.3995164193764,0.0,0.0010162000035052188,rs,0,small,6,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
7,0.0,0,0.0,False,False,0,0,0,0,0,0,127.44622385785028,0.0,0.0011287000015727244,rs,0,small,7,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
8,0.0,0,0.0,False,False,1,0,0,0,0,0,140.92776547843178,0.0,0.001240700003108941,rs,0,small,8,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
9,0.0,0,0.0,False,False,0,0,0,0,0,0,96.89767576125334,0.0,0.001354100000753533,rs,0,small,9,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
10,0.0,0,0.0,False,False,0,0,0,0,0,0,137.06265122616557,0.0,0.0014682000037282705,rs,0,small,10,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
11,0.0,0,0.0,False,False,0,0,0,0,0,0,147.99399018620772,0.0,0.001578499999595806,rs,0,small,11,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
12,0.0,0,0.0,False,False,1,0,0,0,0,0,163.22843904238078,0.0,0.0016908000034163706,rs,0,small,12,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
13,0.0,0,0.0,False,False,1,0,0,0,0,0,207.08811149240304,0.0,0.0018352999977651052,rs,0,small,13,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
14,0.0,0,0.0,False,False,2,0,0,0,0,0,91.72958753691054,0.0,0.0019578999999794178,rs,0,small,14,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
15,0.0,0,0.0,False,False,0,0,0,0,0,0,186.42544895168209,0.0,0.002071100003377069,rs,0,small,15,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
16,0.0,0,0.0,False,False,0,0,0,0,0,0,147.26492963173413,0.0,0.0021785999997518957,rs,0,small,16,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
17,0.0,0,0.0,False,False,3,0,0,0,0,0,131.29393052286952,0.0,0.002284700000018347,rs,0,small,17,0.0,0.0,False,0,0,distance,30.0,14.0,sparsity,2000
18,8.388238264377383,1,0.1,True,True,2,1,1,0,0,0,147.0115323940506,8.388238264377383,0.0024678999980096705,rs,0,small,18,8.388238264377383,8.388238264377383,True,1,1,distance,30.0,14.0,sparsity,2000
19,0.0,0,0.0,False,False,4,0,0,0,0,0,119.0631690713346,8.388238264377383,0.002591600001323968,rs,0,small,19,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
20,0.0,0,0.0,False,False,0,0,0,0,0,0,139.4697200333943,8.388238264377383,0.0027049999989685602,rs,0,small,20,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
21,0.0,0,0.0,False,False,1,0,0,0,0,0,127.26232638505834,8.388238264377383,0.00281360000371933,rs,0,small,21,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
22,0.0,0,0.0,False,False,1,0,0,0,0,0,135.32851707069622,8.388238264377383,0.0029187000036472455,rs,0,small,22,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
23,0.0,0,0.0,False,False,0,0,0,0,0,0,127.57491656104507,8.388238264377383,0.0030236000020522624,rs,0,small,23,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
24,0.0,0,0.0,False,False,0,0,0,0,0,1,188.58446699501798,8.388238264377383,0.0031275000001187436,rs,0,small,24,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
25,0.0,0,0.0,False,False,0,0,0,0,0,0,158.38430574806893,8.388238264377383,0.00323210000351537,rs,0,small,25,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
26,0.0,0,0.0,False,False,2,0,0,0,0,0,162.90848689175573,8.388238264377383,0.003365900003700517,rs,0,small,26,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
27,0.0,0,0.0,False,False,0,0,0,0,0,0,121.44508865583688,8.388238264377383,0.003471999996691011,rs,0,small,27,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
28,0.0,0,0.0,False,False,0,0,0,0,0,0,136.35033523769008,8.388238264377383,0.003577199997380376,rs,0,small,28,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
29,0.0,0,0.0,False,False,3,0,0,0,0,0,110.55072650712113,8.388238264377383,0.003680599998915568,rs,0,small,29,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
30,0.0,0,0.0,False,False,0,0,0,0,0,0,116.46303494142599,8.388238264377383,0.003784499996982049,rs,0,small,30,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
31,0.0,0,0.0,False,False,0,0,0,0,0,1,170.9324115062786,8.388238264377383,0.0038875000027474016,rs,0,small,31,0.0,8.388238264377383,False,0,1,distance,30.0,14.0,sparsity,2000
