eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,14,0,0,4,0,1,291.0,0.0,0.01742559999547666,edf_rate_greedy,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,8,0,0,3,0,0,297.3402520943879,0.0,0.03958499999862397,edf_rate_greedy,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,8,0,0,1,0,2,299.5916584875641,0.0,0.05201310000120429,edf_rate_greedy,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,10,0,0,2,0,2,293.0061362799934,0.0,0.06316939999669557,edf_rate_greedy,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,6,0,0,2,0,3,287.5465140305462,0.0,0.07454359999974258,edf_rate_greedy,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,7,0,0,1,0,3,284.3204425661511,0.0,0.08623490000172751,edf_rate_greedy,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,8,0,0,3,0,1,291.5789800082724,0.0,0.09742669999832287,edf_rate_greedy,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,6,0,0,1,0,3,291.37081336628415,0.0,0.10906609999801731,edf_rate_greedy,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,7,0,0,0,0,1,290.1748024869047,0.0,0.12088509999739472,edf_rate_greedy,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,10,0,0,3,0,2,279.1480268568279,0.0,0.13445189999765716,edf_rate_greedy,0,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,8,0,0,1,0,5,286.9811976665238,0.0,0.15343959999881918,edf_rate_greedy,0,medium,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,6,0,0,2,0,1,289.05458525740784,0.0,0.17051340000034543,edf_rate_greedy,0,medium,12,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,4,0,0,1,0,4,282.3907741752196,0.0,0.19166009999753442,edf_rate_greedy,0,medium,13,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,7,0,0,0,0,1,291.8398509435942,0.0,0.2122663999980432,edf_rate_greedy,0,medium,14,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,7,0,0,4,0,0,301.21277191999894,0.0,0.23728100000153063,edf_rate_greedy,0,medium,15,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,12,0,0,3,0,3,298.5530910534637,0.0,0.25450139999884414,edf_rate_greedy,0,medium,16,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,8,0,0,2,0,2,289.3349473009412,0.0,0.27965579999727197,edf_rate_greedy,0,medium,17,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,4,0,0,2,0,2,290.9956345738647,0.0,0.30728970000200206,edf_rate_greedy,0,medium,18,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,7,0,0,1,0,2,287.2151666757911,0.0,0.33210249999683583,edf_rate_greedy,0,medium,19,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,4,0,0,0,0,0,288.1817974113165,0.0,0.3563981999977841,edf_rate_greedy,0,medium,20,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,7,0,0,1,0,2,308.8446237388611,0.0,0.3704158999971696,edf_rate_greedy,0,medium,21,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,6,0,0,0,0,1,291.5830274477151,0.0,0.3824451999971643,edf_rate_greedy,0,medium,22,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,7,0,0,2,0,3,284.43348565214086,0.0,0.39390260000072885,edf_rate_greedy,0,medium,23,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,6,0,0,1,0,1,276.4905303838845,0.0,0.40838329999678535,edf_rate_greedy,0,medium,24,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,5,0,0,1,0,1,302.7510910734126,0.0,0.42155999999522464,edf_rate_greedy,0,medium,25,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,5,0,0,0,0,1,285.8120112627801,0.0,0.44697810000070604,edf_rate_greedy,0,medium,26,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,6,0,0,0,0,2,291.3552588720834,0.0,0.4646982999984175,edf_rate_greedy,0,medium,27,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,5,0,0,1,0,2,297.3872714407134,0.0,0.47658299999602605,edf_rate_greedy,0,medium,28,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,8,0,0,0,0,1,298.6612889955119,0.0,0.4899043999976129,edf_rate_greedy,0,medium,29,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,3,0,0,0,0,2,277.98312516279316,0.0,0.5025113000010606,edf_rate_greedy,0,medium,30,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
31,0.0,0,0.0,False,False,4,0,0,1,0,0,273.8342331600423,0.0,0.5161331999988761,edf_rate_greedy,0,medium,31,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
32,0.0,0,0.0,False,False,9,0,0,0,0,1,296.0755016134533,0.0,0.5286993999980041,edf_rate_greedy,0,medium,32,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
33,0.0,0,0.0,False,False,5,0,0,0,0,1,273.3719202569135,0.0,0.5409402000004775,edf_rate_greedy,0,medium,33,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
34,0.0,0,0.0,False,False,5,0,0,1,0,5,299.19455671399663,0.0,0.5529274000000441,edf_rate_greedy,0,medium,34,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
35,0.0,0,0.0,False,False,4,0,0,0,0,1,262.8098196597789,0.0,0.564198200001556,edf_rate_greedy,0,medium,35,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
36,0.0,0,0.0,False,False,6,0,0,1,0,3,308.6838241355277,0.0,0.5783346999960486,edf_rate_greedy,0,medium,36,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
37,0.0,0,0.0,False,False,3,0,0,0,0,0,293.70815728395894,0.0,0.595880799999577,edf_rate_greedy,0,medium,37,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
38,0.0,0,0.0,False,False,6,0,0,1,0,2,290.20716707883696,0.0,0.6083123999997042,edf_rate_greedy,0,medium,38,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
39,0.0,0,0.0,False,False,4,0,0,0,0,1,294.2660125499851,0.0,0.6218835999970906,edf_rate_greedy,0,medium,39,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
40,0.0,0,0.0,False,False,4,0,0,0,0,2,293.5511080703474,0.0,0.6477665999991586,edf_rate_greedy,0,medium,40,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
