eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,13,0,0,5,0,1,270.0,0.0,0.07406279999850085,ft_hsbo,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,2,0,0,0,0,1,270.0,0.0,0.07435190000251168,ft_hsbo,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,2,0,0,0,0,0,270.0,0.0,0.07462089999899035,ft_hsbo,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,3,0,0,0,0,0,270.0,0.0,0.07487989999935962,ft_hsbo,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,0,0,0,0,0,0,270.0,0.0,0.07514369999989867,ft_hsbo,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,1,0,0,1,0,0,270.0,0.0,0.07542380000086268,ft_hsbo,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,0,0,0,0,0,0,270.0,0.0,0.07570950000081211,ft_hsbo,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,1,0,0,0,0,0,270.0,0.0,0.07596190000185743,ft_hsbo,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,3,0,0,0,0,1,270.0,0.0,0.07619929999782471,ft_hsbo,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,1,0,0,1,0,0,270.0,0.0,0.07643410000309814,ft_hsbo,0,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,3,0,0,2,0,0,270.0,0.0,0.19739020000270102,ft_hsbo,0,medium,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,1,0,0,0,0,0,270.0,0.0,0.19766879999951925,ft_hsbo,0,medium,12,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,4,0,0,1,0,2,270.0,0.0,0.19792340000276454,ft_hsbo,0,medium,13,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,4,0,0,3,0,1,270.0,0.0,0.19817979999788804,ft_hsbo,0,medium,14,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,1,0,0,0,0,1,270.0,0.0,0.31379349999770056,ft_hsbo,0,medium,15,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,1,0,0,0,0,0,270.0,0.0,0.3140337000004365,ft_hsbo,0,medium,16,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,2,0,0,0,0,1,270.0,0.0,0.3142731999978423,ft_hsbo,0,medium,17,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,2,0,0,2,0,0,270.0,0.0,0.3145126000017626,ft_hsbo,0,medium,18,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,2,0,0,1,0,1,270.0,0.0,0.4386127000034321,ft_hsbo,0,medium,19,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,3,0,0,1,0,1,270.0,0.0,0.4388480999987223,ft_hsbo,0,medium,20,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,12,0,0,3,0,1,231.6750614188166,0.0,0.4769888000009814,ft_hsbo,0,medium,21,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,2,0,0,0,0,2,231.6750614188166,0.0,0.4772348000042257,ft_hsbo,0,medium,22,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,7,0,0,2,0,1,231.6750614188166,0.0,0.4774872999987565,ft_hsbo,0,medium,23,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,3,0,0,0,0,0,231.6750614188166,0.0,0.4777109999995446,ft_hsbo,0,medium,24,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,0.0,0.47792840000329306,ft_hsbo,0,medium,25,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,0.0,0.47816469999816036,ft_hsbo,0,medium,26,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,6,0,0,1,0,0,231.6750614188166,0.0,0.47842210000089835,ft_hsbo,0,medium,27,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,0.0,0.4786649000016041,ft_hsbo,0,medium,28,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,0.0,0.47888529999909224,ft_hsbo,0,medium,29,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,0.0,0.47909700000309385,ft_hsbo,0,medium,30,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
31,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,0.0,0.5863422000038554,ft_hsbo,0,medium,31,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
32,0.0,0,0.0,False,False,5,0,0,1,0,2,231.6750614188166,0.0,0.5865780000021914,ft_hsbo,0,medium,32,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
33,0.4398055918374242,1,0.05,True,True,3,1,1,0,0,2,231.6750614188166,0.4398055918374242,0.5868199000033201,ft_hsbo,0,medium,33,0.4398055918374242,0.4398055918374242,True,1,1,distance,30.0,15.0,main,40
34,0.0,0,0.0,False,False,3,0,0,0,0,1,231.6750614188166,0.4398055918374242,0.5870534999994561,ft_hsbo,0,medium,34,0.0,0.4398055918374242,False,0,1,distance,30.0,15.0,main,40
35,0.0,0,0.0,False,False,0,0,0,0,0,2,231.6750614188166,0.4398055918374242,0.9060611000022618,ft_hsbo,0,medium,35,0.0,0.4398055918374242,False,0,1,distance,30.0,15.0,main,40
