eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,2,0,0,0,0,0,233.48797306143143,0.0,0.0003136000013910234,rs,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,3,0,0,0,0,0,187.117307914403,0.0,0.0005374000029405579,rs,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,2,0,0,0,0,4,226.66634196788328,0.0,0.0007497999977204017,rs,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,0,0,0,0,0,1,229.91458075521547,0.0,0.0009588000029907562,rs,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,0,0,0,0,0,0,242.78731208908033,0.0,0.0011654999980237335,rs,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,1,0,0,0,0,1,256.9375247700236,0.0,0.0013723000010941178,rs,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,2,0,0,0,0,1,226.0671543519981,0.0,0.0015772000042488798,rs,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,1,0,0,0,0,1,263.754595788293,0.0,0.001782600003934931,rs,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,0,0,0,0,0,1,236.85736425347932,0.0,0.001987299998290837,rs,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,0,0,0,0,0,0,250.59251592451324,0.0,0.002195200002461206,rs,0,medium,10,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,3,0,0,1,0,1,138.4604604845721,0.0,0.002399099998001475,rs,0,medium,11,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,1,0,0,1,0,0,251.61358356084529,0.0,0.0030074000023887493,rs,0,medium,12,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,5,0,0,1,0,0,237.50365278559067,0.0,0.003544899998814799,rs,0,medium,13,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,1,0,0,0,0,1,207.25310211972038,0.0,0.004021699998702388,rs,0,medium,14,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,1,0,0,0,0,1,210.70490546285146,0.0,0.004460399999516085,rs,0,medium,15,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,0,0,0,0,0,1,164.5244262720842,0.0,0.004769600003783125,rs,0,medium,16,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,3,0,0,0,0,0,249.36305873166162,0.0,0.005026999999245163,rs,0,medium,17,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,1,0,0,0,0,2,245.03773387627876,0.0,0.005283200000121724,rs,0,medium,18,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,2,0,0,0,0,0,191.44776588177146,0.0,0.005542400002013892,rs,0,medium,19,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,5,0,0,0,0,1,223.0999249916693,0.0,0.00590570000349544,rs,0,medium,20,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,2,0,0,1,0,2,240.67620690108777,0.0,0.006182999997690786,rs,0,medium,21,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,0,0,0,0,0,0,208.2970651259713,0.0,0.0063991999995778315,rs,0,medium,22,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,3,0,0,0,0,1,246.37501718059355,0.0,0.006605599999602418,rs,0,medium,23,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,0,0,0,0,0,0,201.42385873763362,0.0,0.006816599998273887,rs,0,medium,24,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,0,0,0,0,0,1,227.30344152166973,0.0,0.007022400001005735,rs,0,medium,25,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,3,0,0,1,0,0,162.10803791334922,0.0,0.007245500004501082,rs,0,medium,26,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,0,0,0,0,0,0,170.26196074283183,0.0,0.0074540999994496815,rs,0,medium,27,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,0,0,0,0,0,1,208.77722150689627,0.0,0.0076766999991377816,rs,0,medium,28,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,0,0,0,0,0,1,221.1787865063581,0.0,0.007898399999248795,rs,0,medium,29,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,2,0,0,0,0,0,217.68468889205207,0.0,0.008356400001503062,rs,0,medium,30,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
31,0.0,0,0.0,False,False,2,0,0,0,0,0,217.47142252708255,0.0,0.008827500001643784,rs,0,medium,31,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
32,0.0,0,0.0,False,False,1,0,0,0,0,3,181.36363395548688,0.0,0.009274900003219955,rs,0,medium,32,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
33,0.0,0,0.0,False,False,0,0,0,0,0,0,192.81215273397612,0.0,0.009714500003610738,rs,0,medium,33,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
34,0.0,0,0.0,False,False,1,0,0,0,0,0,106.88678790884684,0.0,0.010153900002478622,rs,0,medium,34,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
35,0.0,0,0.0,False,False,2,0,0,0,0,0,233.2720741122853,0.0,0.010596400003123563,rs,0,medium,35,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
36,0.0,0,0.0,False,False,0,0,0,0,0,1,258.35499844020524,0.0,0.011035600000468548,rs,0,medium,36,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
37,0.0,0,0.0,False,False,3,0,0,1,0,0,199.19511440069877,0.0,0.011476500003482215,rs,0,medium,37,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
38,0.0,0,0.0,False,False,3,0,0,0,0,0,218.0585233766595,0.0,0.01191330000438029,rs,0,medium,38,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
39,0.0,0,0.0,False,False,0,0,0,0,0,0,214.8335539209707,0.0,0.012352700003248174,rs,0,medium,39,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
40,0.0,0,0.0,False,False,2,0,0,0,0,0,215.8599229722883,0.0,0.012972299999091774,rs,0,medium,40,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
