eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,0.0,0,0.0,False,False,3,0,0,3,0,4,140.05282847480063,0.0,0.026726999996753875,de_rp,0,medium,1,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,4,0,0,0,0,0,187.117307914403,0.0,0.04369990000122925,de_rp,0,medium,2,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,8,0,0,3,0,4,226.66634196788328,0.0,0.05479229999764357,de_rp,0,medium,3,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
4,0.0,0,0.0,False,False,1,0,0,0,0,3,229.91458075521547,0.0,0.06485390000307234,de_rp,0,medium,4,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,3,0,0,0,0,2,242.78731208908033,0.0,0.08208569999987958,de_rp,0,medium,5,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,2,0,0,0,0,1,256.9375247700236,0.0,0.10051329999987502,de_rp,0,medium,6,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,3,0,0,0,0,0,226.0671543519981,0.0,0.1106759999966016,de_rp,0,medium,7,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
8,0.0,0,0.0,False,False,3,0,0,0,0,4,263.754595788293,0.0,0.12262940000073286,de_rp,0,medium,8,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,2,0,0,0,0,2,236.85736425347932,0.0,0.13306719999673078,de_rp,0,medium,9,0.0,0.0,False,0,0,distance,30.0,15.0,main,40
10,8.365057915641701,1,0.05,True,True,2,1,1,0,0,1,250.59251592451324,8.365057915641701,0.14513569999689935,de_rp,0,medium,10,8.365057915641701,8.365057915641701,True,1,1,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,7,0,0,2,0,4,138.4604604845721,8.365057915641701,0.15713230000255862,de_rp,0,medium,11,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,0,0,0,0,0,1,251.61358356084529,8.365057915641701,0.16640370000095572,de_rp,0,medium,12,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
13,0.0,0,0.0,False,False,4,0,0,0,0,2,237.50365278559067,8.365057915641701,0.1762356999970507,de_rp,0,medium,13,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,2,0,0,1,0,1,207.25310211972038,8.365057915641701,0.18682609999814304,de_rp,0,medium,14,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,2,0,0,1,0,3,210.70490546285146,8.365057915641701,0.2050493999995524,de_rp,0,medium,15,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,2,0,0,1,0,2,164.5244262720842,8.365057915641701,0.2266036000000895,de_rp,0,medium,16,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,1,0,0,0,0,1,249.36305873166162,8.365057915641701,0.2481543999965652,de_rp,0,medium,17,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,3,0,0,2,0,1,245.03773387627876,8.365057915641701,0.2653987000012421,de_rp,0,medium,18,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,1,0,0,0,0,2,191.44776588177146,8.365057915641701,0.28324910000083037,de_rp,0,medium,19,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,2,0,0,0,0,3,223.0999249916693,8.365057915641701,0.3030720000024303,de_rp,0,medium,20,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,2,0,0,0,0,1,240.67620690108777,8.365057915641701,0.3251262999983737,de_rp,0,medium,21,0.0,8.365057915641701,False,0,1,distance,30.0,15.0,main,40
