eval_idx,utility,served_count,served_ratio,success_flag,first_feasible_flag,window_feasible_attempts,rate_feasible_attempts,transmission_feasible_attempts,outage_count,duplicate_count,conflict_count,energy_cost,best_so_far,runtime_sec,method,seed,scale,iteration,current_reward,best_reward,feasible,served_tasks,best_served_tasks,channel_model,window_width,rate_threshold_mbps,experiment,budget
1,44.42463760108814,4,0.2,True,True,12,4,4,2,0,0,184.67198449812474,44.42463760108814,0.08334990000003017,ft_hsbo,0,medium,1,44.42463760108814,44.42463760108814,True,4,4,distance,30.0,15.0,main,40
2,0.0,0,0.0,False,False,2,0,0,2,0,0,184.67198449812474,44.42463760108814,0.08361960000183899,ft_hsbo,0,medium,2,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
3,0.0,0,0.0,False,False,3,0,0,2,0,1,184.67198449812474,44.42463760108814,0.08385039999848232,ft_hsbo,0,medium,3,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
4,9.024263229905586,1,0.05,True,False,6,1,1,2,0,1,184.67198449812474,44.42463760108814,0.08409470000333386,ft_hsbo,0,medium,4,9.024263229905586,44.42463760108814,True,1,4,distance,30.0,15.0,main,40
5,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,44.42463760108814,0.08431260000361362,ft_hsbo,0,medium,5,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
6,0.0,0,0.0,False,False,1,0,0,1,0,0,184.67198449812474,44.42463760108814,0.08453939999890281,ft_hsbo,0,medium,6,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
7,0.0,0,0.0,False,False,0,0,0,0,0,0,184.67198449812474,44.42463760108814,0.08475539999926696,ft_hsbo,0,medium,7,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
8,9.873228934582347,1,0.05,True,False,1,1,1,0,0,0,184.67198449812474,44.42463760108814,0.08497969999734778,ft_hsbo,0,medium,8,9.873228934582347,44.42463760108814,True,1,4,distance,30.0,15.0,main,40
9,0.0,0,0.0,False,False,3,0,0,0,0,1,184.67198449812474,44.42463760108814,0.08519279999745777,ft_hsbo,0,medium,9,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
10,0.0,0,0.0,False,False,1,0,0,1,0,0,184.67198449812474,44.42463760108814,0.0854036000018823,ft_hsbo,0,medium,10,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
11,0.0,0,0.0,False,False,2,0,0,2,0,1,184.67198449812474,44.42463760108814,0.42452939999930095,ft_hsbo,0,medium,11,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
12,0.0,0,0.0,False,False,4,0,0,4,0,1,184.67198449812474,44.42463760108814,0.4250144000034197,ft_hsbo,0,medium,12,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
13,7.024263229905586,1,0.05,True,False,5,1,1,1,0,2,184.67198449812474,44.42463760108814,0.42547580000245944,ft_hsbo,0,medium,13,7.024263229905586,44.42463760108814,True,1,4,distance,30.0,15.0,main,40
14,0.0,0,0.0,False,False,1,0,0,1,0,1,184.67198449812474,44.42463760108814,0.42591320000065025,ft_hsbo,0,medium,14,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
15,0.0,0,0.0,False,False,0,0,0,0,0,1,184.67198449812474,44.42463760108814,0.6881084999986342,ft_hsbo,0,medium,15,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
16,0.0,0,0.0,False,False,0,0,0,0,0,1,184.67198449812474,44.42463760108814,0.6883334000012837,ft_hsbo,0,medium,16,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
17,0.0,0,0.0,False,False,3,0,0,1,0,3,184.67198449812474,44.42463760108814,0.6885497999974177,ft_hsbo,0,medium,17,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
18,0.0,0,0.0,False,False,3,0,0,1,0,1,184.67198449812474,44.42463760108814,0.688763400001335,ft_hsbo,0,medium,18,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
19,0.0,0,0.0,False,False,1,0,0,1,0,1,184.67198449812474,44.42463760108814,0.9719022999997833,ft_hsbo,0,medium,19,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
20,0.0,0,0.0,False,False,4,0,0,2,0,1,184.67198449812474,44.42463760108814,0.9723728000026313,ft_hsbo,0,medium,20,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
21,0.0,0,0.0,False,False,13,0,0,4,0,0,231.6750614188166,44.42463760108814,1.0399230999973952,ft_hsbo,0,medium,21,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
22,0.0,0,0.0,False,False,5,0,0,2,0,0,231.6750614188166,44.42463760108814,1.040173399997002,ft_hsbo,0,medium,22,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
23,0.0,0,0.0,False,False,2,0,0,0,0,0,231.6750614188166,44.42463760108814,1.0404151999973692,ft_hsbo,0,medium,23,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
24,0.0,0,0.0,False,False,4,0,0,0,0,0,231.6750614188166,44.42463760108814,1.0406469000008656,ft_hsbo,0,medium,24,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
25,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,44.42463760108814,1.0408660000030068,ft_hsbo,0,medium,25,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
26,0.0,0,0.0,False,False,3,0,0,0,0,1,231.6750614188166,44.42463760108814,1.0410868000035407,ft_hsbo,0,medium,26,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
27,0.0,0,0.0,False,False,2,0,0,1,0,1,231.6750614188166,44.42463760108814,1.0413103000028059,ft_hsbo,0,medium,27,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
28,0.0,0,0.0,False,False,2,0,0,0,0,0,231.6750614188166,44.42463760108814,1.0415296999999555,ft_hsbo,0,medium,28,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
29,0.0,0,0.0,False,False,0,0,0,0,0,1,231.6750614188166,44.42463760108814,1.0417489000028581,ft_hsbo,0,medium,29,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
30,0.0,0,0.0,False,False,0,0,0,0,0,0,231.6750614188166,44.42463760108814,1.0419679999977234,ft_hsbo,0,medium,30,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
31,0.0,0,0.0,False,False,2,0,0,1,0,2,231.6750614188166,44.42463760108814,1.1742022000034922,ft_hsbo,0,medium,31,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
32,0.0,0,0.0,False,False,3,0,0,1,0,3,231.6750614188166,44.42463760108814,1.17479099999764,ft_hsbo,0,medium,32,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
33,0.0,0,0.0,False,False,3,0,0,0,0,2,231.6750614188166,44.42463760108814,1.1751103999995394,ft_hsbo,0,medium,33,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
34,0.0,0,0.0,False,False,2,0,0,1,0,1,231.6750614188166,44.42463760108814,1.1754893000033917,ft_hsbo,0,medium,34,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
35,0.0,0,0.0,False,False,4,0,0,0,0,0,231.6750614188166,44.42463760108814,1.3143771999966702,ft_hsbo,0,medium,35,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
36,0.0,0,0.0,False,False,1,0,0,0,0,1,231.6750614188166,44.42463760108814,1.3146988000007696,ft_hsbo,0,medium,36,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
37,0.0,0,0.0,False,False,1,0,0,1,0,1,231.6750614188166,44.42463760108814,1.3149723000024096,ft_hsbo,0,medium,37,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
38,0.0,0,0.0,False,False,1,0,0,0,0,0,231.6750614188166,44.42463760108814,1.3152464000013424,ft_hsbo,0,medium,38,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
39,0.0,0,0.0,False,False,4,0,0,3,0,0,231.6750614188166,44.42463760108814,1.4425237000032212,ft_hsbo,0,medium,39,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
40,0.0,0,0.0,False,False,1,0,0,1,0,0,231.6750614188166,44.42463760108814,1.4427552999986801,ft_hsbo,0,medium,40,0.0,44.42463760108814,False,0,4,distance,30.0,15.0,main,40
